Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Other ID	Gene Title	UG Cluster	LocusLink	Chromosome
AIM2	NM_004833	0.005678	0.020511965	6.384	5.603	5.568	5.640	0.097	0.144	0.154	0.185	6.384	5.603	5.568	5.640	MmugDNA.4874.1.S1_at	Absent in melanoma 2	Hs.281898	9447	1
AKAP8	AL050160	0.016295	0.041821167	9.738	9.366	9.615	9.683	0.112	0.065	0.042	0.049	9.738	9.366	9.615	9.683	MmugDNA.34990.1.S1_at	A kinase (PRKA) anchor protein 8	Hs.631640	10270	19
ANAPC11	BG180679	0.000071	0.001562747	9.665	10.213	10.097	10.108	0.057	0.071	0.031	0.055	9.665	10.213	10.097	10.108	MmugDNA.28252.1.S1_s_at	APC11 anaphase promoting complex subunit 11 homolog (yeast)	Hs.534456	51529	17
ANAPC4	AA604393	0.003171	0.014154118	10.932	10.377	10.553	10.598	0.094	0.125	0.008	0.043	10.932	10.377	10.553	10.598	MmugDNA.38501.1.S1_at	Anaphase promoting complex subunit 4	Hs.152173	29945	4
ANLN	AK023208	0.000221	0.002849339	3.916	6.660	4.841	5.770	0.105	0.421	0.406	0.126	3.916	6.660	4.841	5.770	MmugDNA.2951.1.S1_s_at	Anillin, actin binding protein	Hs.62180	54443	7
ANLN	AK023208	0.000151	0.002309276	5.321	7.469	6.154	6.556	0.067	0.301	0.305	0.075	5.321	7.469	6.154	6.556	MmugDNA.2951.1.S1_at	Anillin, actin binding protein	Hs.62180	54443	7
ANLN	NM_018685	0.001157	0.007651569	4.994	6.250	5.423	5.374	0.068	0.239	0.199	0.078	4.994	6.250	5.423	5.374	MmugDNA.682.1.S1_at	Anillin, actin binding protein	Hs.62180	54443	7
APBB1	NM_001164	0.002387	0.011855622	10.513	9.701	10.045	10.163	0.032	0.166	0.146	0.039	10.513	9.701	10.045	10.163	MmugDNA.10574.1.S1_at	Amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	Hs.372840	322	11
APPL1	NM_012096	0.004259	0.016979775	10.801	10.523	10.430	10.433	0.015	0.102	0.032	0.068	10.801	10.523	10.430	10.433	MmugDNA.13663.1.S1_at	Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	Hs.476415	26060	3
ARHGEF2	AW299534	0.000264	0.003156062	10.087	9.637	9.822	9.838	0.048	0.051	0.021	0.063	10.087	9.637	9.822	9.838	MmugDNA.18201.1.S1_at	Rho/rac guanine nucleotide exchange factor (GEF) 2	Hs.655209	9181	1
ASPM	AK001380	0.007954	0.025854593	3.283	4.129	3.527	3.420	0.068	0.256	0.109	0.076	3.283	4.129	3.527	3.420	MmugDNA.25197.1.S1_at	Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	Hs.121028	259266	1
ATM	NM_000051	0.002152	0.011085812	9.975	9.279	9.506	9.439	0.044	0.160	0.091	0.062	9.975	9.279	9.506	9.439	MmugDNA.11329.1.S1_at	Ataxia telangiectasia mutated	Hs.367437	472	11
ATM	U26455	0.002896	0.013391817	9.804	9.049	9.218	9.233	0.046	0.163	0.099	0.116	9.804	9.049	9.218	9.233	MmugDNA.29228.1.S1_at	Ataxia telangiectasia mutated	Hs.367437	472	11
ATR	U49844	0.00025	0.003049789	10.144	9.924	9.848	9.791	0.040	0.030	0.034	0.053	10.144	9.924	9.848	9.791	MmugDNA.18756.1.S1_at	Ataxia telangiectasia and Rad3 related	Hs.271791	545	3
BAX	NM_004324	0.000614	0.005236416	8.396	8.831	8.636	8.626	0.048	0.083	0.017	0.031	8.396	8.831	8.636	8.626	MmugDNA.5655.1.S1_at	BCL2-associated X protein	Hs.631546	581	19
BAX	U19599	0.000319	0.003539469	9.633	10.346	10.168	10.195	0.049	0.137	0.033	0.074	9.633	10.346	10.168	10.195	MmugDNA.6935.1.S1_at	BCL2-associated X protein	Hs.631546	581	19
BAX	U19599	0.000013	0.000673453	9.683	10.558	10.305	10.354	0.010	0.126	0.017	0.070	9.683	10.558	10.305	10.354	MmugDNA.6935.1.S1_s_at	BCL2-associated X protein	Hs.631546	581	19
BBS4	AI813772	0.011188	0.032361065	9.825	9.235	9.428	9.530	0.099	0.139	0.084	0.078	9.825	9.235	9.428	9.530	MmugDNA.9930.1.S1_s_at	Bardet-Biedl syndrome 4	Hs.208681	585	15
BCAT1	NM_005504	0.006677	0.022922041	6.182	7.273	7.276	6.866	0.128	0.221	0.283	0.118	6.182	7.273	7.276	6.866	MmugDNA.10516.1.S1_at	Branched chain aminotransferase 1, cytosolic	Hs.438993	586	12
BCL6	NM_001706	0.010261	0.030520272	12.482	11.944	12.318	12.296	0.088	0.146	0.063	0.040	12.482	11.944	12.318	12.296	MmugDNA.12134.1.S1_at	B-cell CLL/lymphoma 6 (zinc finger protein 51)	Hs.478588	604	3
BIRC5	AA648913	0.001044	0.007174498	6.565	7.361	6.688	6.800	0.053	0.187	0.063	0.066	6.565	7.361	6.688	6.800	MmugDNA.28020.1.S1_at	Effector cell peptidase receptor 1	Hs.514527	332	17
BLM	NM_000057	0.000263	0.003147379	9.882	9.406	9.287	9.438	0.059	0.053	0.078	0.079	9.882	9.406	9.287	9.438	MmugDNA.18046.1.S1_at	Bloom syndrome	Hs.169348	641	15
BRCA2	NM_000059	0.009451	0.028965017	4.448	4.899	4.449	4.491	0.124	0.116	0.036	0.040	4.448	4.899	4.449	4.491	MmugDNA.12810.1.S1_at	Breast cancer 2, early onset	Hs.34012	675	13
BRIP1	AF360549	0.001978	0.010529039	5.888	6.393	5.759	5.846	0.074	0.154	0.077	0.027	5.888	6.393	5.759	5.846	MmugDNA.35389.1.S1_at	BRCA1 interacting protein C-terminal helicase 1	Hs.532799	83990	17
BTRC	AF101784	0.011977	0.033918121	8.573	8.239	8.359	8.325	0.062	0.064	0.058	0.055	8.573	8.239	8.359	8.325	MmugDNA.41664.1.S1_at	Beta-transducin repeat containing	Hs.643802	8945	10
BUB1	AF043294	0.000459	0.004397109	4.734	6.843	5.177	5.353	0.187	0.417	0.197	0.107	4.734	6.843	5.177	5.353	MmugDNA.6277.1.S1_at	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	Hs.469649	699	2
BUB1B	NM_001211	0.000179	0.00253209	5.850	8.259	6.341	6.490	0.099	0.354	0.361	0.117	5.850	8.259	6.341	6.490	MmugDNA.14075.1.S1_at	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	Hs.631699	701	15
BUB3	AF081496	0.011019	0.032013767	9.403	9.855	9.608	9.438	0.077	0.130	0.069	0.042	9.403	9.855	9.608	9.438	MmugDNA.40767.1.S1_at	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	Hs.418533	9184	10
C11orf82	BF343258	0.004504	0.01758257	6.706	7.215	6.690	6.713	0.090	0.127	0.089	0.057	6.706	7.215	6.690	6.713	MmugDNA.3959.1.S1_at	Chromosome 11 open reading frame 82	Hs.165607	220042	11
C13orf34	NM_024808	0.000478	0.0045004	7.304	8.036	7.480	7.399	0.085	0.138	0.065	0.058	7.304	8.036	7.480	7.399	MmugDNA.31283.1.S1_at	Chromosome 13 open reading frame 34	Hs.714340	79866	13
C18orf24	BF038461	0.000547	0.004866621	4.237	5.498	4.165	4.278	0.060	0.295	0.176	0.098	4.237	5.498	4.165	4.278	MmugDNA.39863.1.S1_at	Chromosome 18 open reading frame 24	Hs.134726	220134	18
C9orf127	BF507870	0.000007	0.000514399	10.173	9.733	9.947	10.033	0.025	0.033	0.036	0.038	10.173	9.733	9.947	10.033	MmugDNA.27391.1.S1_at	Chromosome 9 open reading frame 127	Hs.493808	51754	9
CABLES1	AI889160	0.000799	0.006111672	10.247	9.431	9.896	9.704	0.060	0.066	0.169	0.069	10.247	9.431	9.896	9.704	MmugDNA.31043.1.S1_at	Cdk5 and Abl enzyme substrate 1	Hs.11108	91768	18
CADM1	AF132811	0.002938	0.013531626	8.521	9.719	8.939	9.121	0.084	0.164	0.285	0.064	8.521	9.719	8.939	9.121	MmugDNA.37985.1.S1_s_at	Cell adhesion molecule 1	Hs.370510	23705	11
CADM1	AL519710	0.007	0.023680983	10.607	11.656	11.037	11.183	0.064	0.170	0.272	0.078	10.607	11.656	11.037	11.183	MmugDNA.23824.1.S1_at	Cell adhesion molecule 1	Hs.370510	23705	11
CADM1	AF132811	0.003072	0.013917485	5.869	7.112	6.512	6.637	0.080	0.159	0.305	0.054	5.869	7.112	6.512	6.637	MmugDNA.37985.1.S1_at	Cell adhesion molecule 1	Hs.370510	23705	11
CADM4	AW204383	0.016064	0.041454961	5.657	6.350	6.080	5.729	0.169	0.133	0.034	0.182	5.657	6.350	6.080	5.729	MmugDNA.24347.1.S1_s_at	Cell adhesion molecule 4	Hs.370984	199731	19
CALM3	AV685208	0.001607	0.00926149	7.953	8.546	8.421	8.345	0.096	0.107	0.041	0.068	7.953	8.546	8.421	8.345	MmugDNA.35002.1.S1_at	Calmodulin 3 (phosphorylase kinase, delta)	Hs.515487	808	19
CAMK2B	T15766	0.006138	0.021616925	6.966	6.832	7.230	7.260	0.084	0.090	0.081	0.059	6.966	6.832	7.230	7.260	MmugDNA.36016.1.S1_at	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	Hs.351887	816	7
CAMK2B	U23460	0.000102	0.001869404	6.347	6.428	7.128	7.133	0.095	0.139	0.097	0.060	6.347	6.428	7.128	7.133	MmugDNA.15453.1.S1_s_at	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	Hs.351887	816	7
CAMK2B	AF081924	0.000014	0.000691017	6.221	6.386	7.217	7.140	0.155	0.094	0.063	0.050	6.221	6.386	7.217	7.140	MmugDNA.15173.1.S1_s_at	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	Hs.351887	816	7
CCDC5	AV715391	0.011121	0.032224001	4.606	4.469	4.322	4.290	0.034	0.053	0.062	0.082	4.606	4.469	4.322	4.290	MmugDNA.333.1.S1_at	Coiled-coil domain containing 5 (spindle associated)	Hs.436617	115106	18
CCNA1	NM_003914	0.009237	0.028541139	5.599	6.375	5.873	5.732	0.071	0.188	0.175	0.067	5.599	6.375	5.873	5.732	MmugDNA.14231.1.S1_at	Cyclin A1	Hs.417050	8900	13
CCNB1	BE407516	0.000699	0.005631418	7.443	9.393	7.933	8.060	0.079	0.384	0.216	0.191	7.443	9.393	7.933	8.060	MmugDNA.41268.1.S1_at	Cyclin B1	Hs.23960	891	5
CCNB2	NM_004701	0.000243	0.003001742	6.287	8.624	6.834	7.128	0.086	0.371	0.308	0.172	6.287	8.624	6.834	7.128	MmugDNA.40742.1.S1_at	Cyclin B2	Hs.194698	9133	15
CCNB3	AI003521	0.014917	0.039314009	5.186	5.738	5.576	5.656	0.098	0.151	0.072	0.088	5.186	5.738	5.576	5.656	MmugDNA.18233.1.S1_at	Cyclin B3	Hs.130310	85417	X
CCND1	BC000076	0.000467	0.004440458	7.989	8.834	9.099	9.424	0.170	0.081	0.205	0.200	7.989	8.834	9.099	9.424	MmugDNA.27098.1.S1_at	Cyclin D1	Hs.523852	595	11
CCND3	AL833425	0.000409	0.004118831	6.944	6.066	6.351	6.228	0.041	0.102	0.170	0.058	6.944	6.066	6.351	6.228	MmugDNA.7342.1.S1_at	Cyclin D3	Hs.534307	896	6
CCNE1	AI671049	0.014631	0.038826792	7.467	8.440	8.014	8.084	0.087	0.255	0.174	0.137	7.467	8.440	8.014	8.084	MmugDNA.4085.1.S1_at	Cyclin E1	Hs.244723	898	19
CCNE2	AF112857	0.000321	0.003556513	6.299	6.699	6.126	6.152	0.070	0.075	0.062	0.075	6.299	6.699	6.126	6.152	MmugDNA.8564.1.S1_at	Cyclin E2	Hs.567387	9134	8
CCNF	NM_001761	0.007048	0.023769948	7.449	7.937	7.548	7.514	0.061	0.148	0.057	0.030	7.449	7.937	7.548	7.514	MmugDNA.14257.1.S1_at	Cyclin F	Hs.1973	899	16
CCNT2	NM_001241	0.001066	0.007247729	9.237	8.930	8.893	8.935	0.018	0.034	0.076	0.049	9.237	8.930	8.893	8.935	MmugDNA.14268.1.S1_at	Cyclin T2	Hs.591241	905	2
CDC16	AF164598	0.000101	0.001859969	11.836	11.571	11.568	11.624	0.048	0.015	0.023	0.024	11.836	11.571	11.568	11.624	MmugDNA.38812.1.S1_at	Cell division cycle 16 homolog (S. cerevisiae)	Hs.374127	8881	13
CDC2	NM_001786	0.000408	0.004114164	6.779	8.725	6.921	6.974	0.067	0.349	0.334	0.134	6.779	8.725	6.921	6.974	MmugDNA.14959.1.S1_at	Cell division cycle 2, G1 to S and G2 to M	Hs.334562	983	10
CDC2	D88357	0.000742	0.005838776	4.830	6.211	5.040	5.115	0.059	0.302	0.184	0.063	4.830	6.211	5.040	5.115	MmugDNA.25206.1.S1_at	Cell division cycle 2, G1 to S and G2 to M	Hs.334562	983	10
CDC2	AL524035	0.006329	0.022090035	6.571	8.046	5.558	6.773	0.457	0.549	0.209	0.250	6.571	8.046	5.558	6.773	MmugDNA.42865.1.S1_at	Cell division cycle 2, G1 to S and G2 to M	Hs.334562	983	10
CDC20	NM_001255	0.003104	0.014004532	7.887	8.890	7.859	8.121	0.112	0.273	0.127	0.102	7.887	8.890	7.859	8.121	MmugDNA.18794.1.S1_at	Cell division cycle 20 homolog (S. cerevisiae)	Hs.524947	991	1
CDC25C	AF277724	0.002209	0.0112659	5.814	6.429	5.774	5.761	0.123	0.168	0.046	0.041	5.814	6.429	5.774	5.761	MmugDNA.8073.1.S1_at	Cell division cycle 25 homolog C (S. pombe)	Hs.656	995	5
CDC34	BG476661	0.002026	0.010685629	9.675	9.364	9.379	9.495	0.050	0.053	0.059	0.018	9.675	9.364	9.379	9.495	MmugDNA.33225.1.S1_at	Cell division cycle 34 homolog (S. cerevisiae)	Hs.514997	997	19
CDC45L	NM_003504	0.001263	0.008035728	7.053	7.569	6.870	6.837	0.048	0.175	0.103	0.033	7.053	7.569	6.870	6.837	MmugDNA.14973.1.S1_at	CDC45 cell division cycle 45-like (S. cerevisiae)	Hs.474217	8318	22
CDC6	NM_001254	0.000948	0.006748669	5.009	6.924	5.283	5.403	0.097	0.373	0.295	0.189	5.009	6.924	5.283	5.403	MmugDNA.14956.1.S1_at	Cell division cycle 6 homolog (S. cerevisiae)	Hs.405958	990	17
CDCA2	AI248208	0.005523	0.0201195	4.871	5.976	5.151	5.127	0.055	0.319	0.147	0.070	4.871	5.976	5.151	5.127	MmugDNA.7114.1.S1_at	Cell division cycle associated 2	Hs.33366	157313	8
CDCA2	T90295	0.000581	0.005044764	6.160	7.055	6.460	6.343	0.092	0.187	0.071	0.021	6.160	7.055	6.460	6.343	MmugDNA.24523.1.S1_at	Cell division cycle associated 2	Hs.33366	157313	8
