Gene	Wang	Sorlie	van de Vijver	Function
ASPM	3.1E-09	-	0.000092	Cell cycle / mitosis genes
AURKA	0.000000036	0.018	0.000000012	Cell cycle / mitosis genes
CDKN3	0.0000038	ns	0.024	Cell cycle / mitosis genes
CEP55	4.5E-10	ns	6.9E-10	Cell cycle / mitosis genes
CKS2	0.0011	3.8E-09	0.0017	Cell cycle / mitosis genes
DUSP4	0.00000053	0.044	6.1E-09	Cell cycle / mitosis genes
NCAPG	0.000024	-	-	Cell cycle / mitosis genes
RRM2	7.6E-12	0.049	2.7E-09	Cell cycle / mitosis genes
TUBG1	ns	0.018	ns	Cell cycle / mitosis genes
ACTB	0.018	-	5.8E-11	Angiogenesis / motility genes
ACTN1	0.000024	ns	0.027	Angiogenesis / motility genes
EPHA2	1.7E-09	0.028	1.2E-10	Angiogenesis / motility genes
FGFBP1	0.0000016	-	0.00069	Angiogenesis / motility genes
FOXM1	1.7E-09	0.025	3.5E-09	Angiogenesis / motility genes
SERPINE2	0.000051	ns	-	Angiogenesis / motility genes
TNFRSF6B	0.003	ns	0.0017	Angiogenesis / motility genes
ZWILCH	0.0081	0.00018	0.0015	Angiogenesis / motility genes
ODC1	6.7E-11	ns	5.8E-11	Polyamine biosynthesis
EIF4A1	0.018	0.018	ns	Transcription / translation genes
TRIP13	0.000000009	0.0042	1.2E-10	Transcription / translation genes
VRK1	0.0061	0.000042	ns	Transcription / translation genes
C1QDC1	ns	0.00094	-	Unknown function
