ID_REF	Symbol	Pearson with GI-50 to Resveratrol	Pearson with GI-50 to Piceatannol	Pearson with GI-50 to SD-1029
204343_at	ABCA3	-0.168971882	-0.36654542	-0.112689594
208161_s_at	ABCC3	-0.023301586	0.333894995	0.13289613
209641_s_at	ABCC3	-0.014902593	0.271160001	0.168643311
214979_at	ABCC3	-0.00375591	0.094168656	-0.052203741
230682_x_at	ABCC3	0.03738338	0.171711955	0.212991243
239217_x_at	ABCC3	-0.022501666	0.224937686	0.101524218
242553_at	ABCC3	0.096670776	0.221662282	0.211637507
228132_at	ABLIM2	0.084177755	0.179714059	-0.152438491
236087_at	ABLIM2	-0.004614935	0.094135366	0.040848537
242624_at	ABLIM2	0.066849057	0.110580657	0.181800115
224882_at	ACSS1	-0.242989068	-0.110329952	-0.063122299
234483_at	ACSS1	0.081319235	-0.022407692	0.064596449
234484_s_at	ACSS1	-0.056282345	-0.036591392	-0.011708615
234801_s_at	ACSS1	0.033960791	0.040539028	0.103521742
235724_at	ACSS1	-0.171375679	-0.275304942	-0.245307266
200974_at	ACTA2	0.155324424	0.204651513	0.192473609
215787_at	ACTA2	-0.03052497	-0.028608405	-0.266148496
243140_at	ACTA2	0.064907812	-0.044719622	0.070591862
206262_at	ADH1A	0.058251751	0.034477261	-0.527943325
207820_at	ADH1A	-0.220104599	0.005461648	-0.206018482
209160_at	AKR1C3	0.07155655	0.324871886	0.035500723
205623_at	ALDH3A1	0.060973178	0.186075186	-0.028560832
203747_at	AQP3	-0.19597222	-0.022119608	0.071082624
39248_at	AQP3	-0.186982324	-0.17032757	-0.052406878
39249_at	AQP3	-0.198281089	-0.022793988	-0.00632824
201288_at	ARHGDIB	-0.266434077	-0.326770963	-0.099585133
212614_at	ARID5B	0.298331093	0.114177856	0.212744595
235404_at	ARID5B	-0.10472827	-0.334127358	-0.107051279
241969_at	ARID5B	-0.00084182	-0.339162845	-0.098859501
219918_s_at	ASPM	0.079661636	0.031581916	0.177386603
232238_at	ASPM	0.245396339	0.080695751	0.209499512
239002_at	ASPM	0.144920498	-0.163316153	0.186833847
214070_s_at	ATP10B	0.137532754	0.340359311	-0.121701541
220920_at	ATP10B	0.107234723	0.002636457	-0.103215135
205473_at	ATP6V1B1	0.034557434	0.075983062	-0.125638145
209464_at	AURKB	0.24681004	0.042743929	0.235570446
239219_at	AURKB	0.014374949	-0.053382436	0.207587583
209309_at	AZGP1	-0.174782595	-0.041029507	-0.110401504
217014_s_at	AZGP1	-0.185282524	-0.065854247	-0.005758378
219476_at	C1orf116	-0.119587388	0.194995882	0.045035169
219856_at	C1orf116	-0.021962579	0.074413021	0.035046987
228865_at	C1orf116	-0.060572169	0.233665267	-0.08754068
241233_x_at	C21orf81	-0.410788704	-0.17418582	0.006948857
206707_x_at	C6orf32	0.174927316	0.102454275	0.140650094
209829_at	C6orf32	0.177176543	0.219171826	0.176647723
220150_s_at	C6orf60	0.129801277	-0.274033928	-0.11806995
223194_s_at	C6orf85	-0.244686544	0.249273429	-0.087510061
233206_at	C6orf85	0.06224779	0.133059297	0.016784198
212848_s_at	C9orf3	0.210653274	0.224774883	0.256535505
232270_at	C9orf3	0.225861052	0.160792596	0.104690901
232000_at	C9orf52	-0.136924182	0.105576101	-0.025570837
