Affymetrix number	Gene Name	Gene Symbol	Reference Number	Chi-Square Value	Above/Below mean
1637_at	mitogen-activated protein kinase-activated protein kinase 3	MAPKAPK3	U09578	62.75	Above
36650_at	cyclin D2	CCND2	D13639	59.79	Above
40196_at	HYA22 protein	HYA22	D88153	54.79	Above
1635_at	proto-oncogene tyrosine-protein kinase ABL gene	ABL	U07563	54.77	Above
33775_s_at	caspase 8 apoptosis-related cysteine protease	CASP8	X98176	49.7	Above
1636_g_at	proto-oncogene tyrosine-protein kinase ABL gene	ABL	U07563	48.29	Above
41295_at	GTT1 protein	GTT1	AL041780	42.6	Above
37600_at	extracellular matrix protein 1	ECM1	U68186	42.6	Above
37012_at	capping protein actin filament muscle Z-line beta	CAPZB	U03271	38.46	Above
39225_at	alkylglycerone phosphate synthase	AGPS	Y09443	38.46	Above
1326_at	caspase 10 apoptosis-related cysteine protease	CASP10	U60519	37.83	Above
34362_at	solute carrier family 2 facilitated glucose transporter member 5	SLC2A5	M55531	37.54	Above
33150_at	disrupter of silencing 10	SAS10	AI126004	36.95	Above
40051_at	TRAM-like protein	KIAA0057	D31762	36.95	Above
39061_at	bone marrow stromal cell antigen 2	BST2	D28137	36.95	Above
33172_at	hypothetical protein FLJ10849	FLJ10849	T75292	36.95	Above
37399_at	aldo-keto reductase family 1 member C3 3-alpha hydroxysteroid dehydrogenase type II	AKR1C3	D17793	36.95	Above
317_at	protease cysteine 1 legumain	PRSC1	D55696	36.95	Above
40953_at	calponin 3 acidic	CNN3	S80562	33.94	Above
330_s_at	tubulin, alpha 1, isoform 44	TUBA1	HG2259-HT2348	33.32	Above
40504_at	paraoxonase 2	PON2	AF001601	31.46	Above
38578_at	tumor necrosis factor receptor superfamily member 7	TNFRSF7	M63928	30.47	Above
39044_s_at	diacylglycerol kinase delta 130kD	DGKD	D73409	29.59	Below
36634_at	BTG family member 2	BTG2	U72649	29.16	Below
38119_at	glycophorin C Gerbich blood group	GYPC	X12496	29.16	Above
32562_at	endoglin Osler-Rendu-Weber syndrome 1	ENG	X72012	27.96	Above
33228_g_at	interleukin 10 receptor beta	IL10RB	AI984234	27.7	Below
37006_at	step II splicing factor SLU7	SLU7	AI660656	27.15	Above
38641_at	Homo sapiens mRNA for TSC-22-like protein		AJ133115	27.15	Above
38220_at	dihydropyrimidine dehydrogenase	DPYD	U20938	27.15	Above
1211_s_at	CASP2 and RIPK1 domain containing adaptor with death domain	CRADD	U84388	26.46	Above
39730_at	v-abl Abelson murine leukemia viral oncogene homolog 1	ABL1	X16416	25.9	Above
36591_at	tubulin alpha 1 testis specific	TUBA1	X06956	25.9	Above
36035_at	anchor attachment protein 1 Gaa1p yeast homolog	GPAA1	AB002135	25.34	Above
980_at	Niemann-Pick disease type C1	NPC1	AF002020	25.29	Above
671_at	secreted protein acidic cysteine-rich osteonectin	SPARC	J03040	25.29	Above
40698_at	C-type calcium dependent carbohydrate-recognition domain lectin superfamily member 2 activation-induced	CLECSF2	X96719	23.8	Above
39330_s_at	actinin alpha 1	ACTN1	M95178	23.7	Above
1983_at	cyclin D2	CCND2	X68452	23.7	Above
2001_g_at	ataxia telangiectasia mutated	ATM	U26455	22.6	Above
