Prediction	Gene1	ID of G1	Gene2	ID of G2	P(X1<X2|Primary)	P(X1<X2|DM)	Delta
Primary	GRB2	2885	ADD1	118	1.000	0.000	1.000
DM	IDH3G	3421	LARP1	23367	0.000	1.000	1.000
DM	HNRNPUL1	11100	LARP1	23367	0.000	1.000	1.000
Primary	PKN2	5586	AIM1	202	0.985	0.000	0.985
Primary	FYN	2534	COL16A1	1307	0.985	0.000	0.985
Primary	STC1	6781	GOLGA8A	23015	0.985	0.000	0.985
Primary	DIAPH1	1729	IDH3G	3421	0.985	0.000	0.985
Primary	CUGBP1	10658	PBXIP1	57326	0.985	0.000	0.985
Primary	PKN2	5586	SLC22A18	5002	0.985	0.000	0.985
DM	GLB1L2	89944	ASNS	440	0.015	1.000	0.985
Primary	AKAP2	11217	AGL	178	0.969	0.000	0.969
Primary	PKN2	5586	ALDH3A2	224	0.969	0.000	0.969
Primary	COPA	1314	CIRBP	1153	0.969	0.000	0.969
Primary	PFN2	5217	CIRBP	1153	0.969	0.000	0.969
Primary	EIF1AP1	280661	CLIC1	1192	0.969	0.000	0.969
Primary	GRB2	2885	CST3	1471	0.969	0.000	0.969
Primary	EIF1AP1	280661	GABARAP	11337	0.969	0.000	0.969
Primary	AKAP2	11217	MAOB	4129	0.969	0.000	0.969
Primary	AKAP2	11217	OAT	4942	0.969	0.000	0.969
Primary	SOD1	6647	OS9	10956	0.969	0.000	0.969
Primary	GRB2	2885	PBXIP1	57326	0.969	0.000	0.969
Primary	GBE1	2632	PBXIP1	57326	0.969	0.000	0.969
Primary	GRB2	2885	POU4F1	5457	0.969	0.000	0.969
Primary	BCL6	604	PSEN2	5664	0.969	0.000	0.969
Primary	GOLGA2	2801	PYGB	5834	0.969	0.000	0.969
Primary	SGTA	6449	SGSH	6448	0.969	0.000	0.969
Primary	EIF1AP1	280661	TCEB2	6923	0.969	0.000	0.969
Primary	AR	367	TUFM	7284	0.969	0.000	0.969
Primary	SLC7A5	8140	YIPF1	54432	0.969	0.000	0.969
DM	CIRBP	1153	AHSA1	10598	0.031	1.000	0.969
DM	IGFBP2	3485	AK3L1	205	0.031	1.000	0.969
DM	PPP1R12B	4660	AKAP2	11217	0.031	1.000	0.969
DM	UBA1	7317	AR	367	0.031	1.000	0.969
DM	PFN1	5216	DAD1	1603	0.031	1.000	0.969
DM	PCOLCE	5118	GBE1	2632	0.031	1.000	0.969
DM	COMMD4	54939	LARP1	23367	0.031	1.000	0.969
DM	SGSH	6448	LARP1	23367	0.031	1.000	0.969
DM	GAA	2548	LARP1	23367	0.031	1.000	0.969
DM	FAAH	2166	LARP1	23367	0.031	1.000	0.969
DM	AIM1	202	MED13L	23389	0.031	1.000	0.969
DM	ACAA1	30	P4HA1	5033	0.031	1.000	0.969
DM	IGFBP2	3485	RHOQ	23433	0.031	1.000	0.969
DM	NEFH	4744	SOLH	6650	0.031	1.000	0.969
DM	IQGAP2	10788	STC1	6781	0.031	1.000	0.969
DM	PBXIP1	57326	TRIO	7204	0.031	1.000	0.969
DM	HLA-J	3137	WSB1	26118	0.031	1.000	0.969
Primary	PKN2	5586	AGL	178	1.000	0.040	0.960
Primary	CUGBP1	10658	ARHGAP8	23779	1.000	0.040	0.960
Primary	RAD23A	5886	DDAH2	23564	1.000	0.040	0.960
Primary	RHOQ	23433	PBXIP1	57326	1.000	0.040	0.960
Primary	AKAP2	11217	S100A13	6284	1.000	0.040	0.960
Primary	PALM2-AKAP2	445815	S100A13	6284	1.000	0.040	0.960
Primary	PALM2	114299	S100A13	6284	1.000	0.040	0.960
DM	DDAH2	23564	LARP1	23367	0.000	0.960	0.960
DM	PER1	5187	LARP1	23367	0.000	0.960	0.960
DM	FLNC	2318	STC1	6781	0.000	0.960	0.960
DM	UBR4	23352	TARS	6897	0.000	0.960	0.960
DM	SFRS6	6431	UGCG	7357	0.000	0.960	0.960
DM	FLNC	2318	AKAP2	11217	0.046	1.000	0.954
DM	POLR2J	5439	AR	367	0.046	1.000	0.954
DM	SORBS3	10174	BPTF	2186	0.046	1.000	0.954
DM	NEFH	4744	C8G	733	0.046	1.000	0.954
DM	PCP4	5121	CDC14B	8555	0.046	1.000	0.954
DM	IGFBP2	3485	CITED2	10370	0.046	1.000	0.954
DM	IGFBP2	3485	CUGBP1	10658	0.046	1.000	0.954
DM	GPX4	2879	EI24	9538	0.046	1.000	0.954
DM	NEFH	4744	FAM110B	90362	0.046	1.000	0.954
DM	EPS15	2060	G3BP1	10146	0.046	1.000	0.954
DM	AUH	549	G3BP1	10146	0.046	1.000	0.954
DM	PIBF1	10464	GRAMD4	23151	0.046	1.000	0.954
DM	EIF3K	27335	H2AFV	94239	0.046	1.000	0.954
DM	IDH3G	3421	H2AFV	94239	0.046	1.000	0.954
DM	ACTA1	58	HBD	3045	0.046	1.000	0.954
DM	NEFH	4744	KDSR	2531	0.046	1.000	0.954
DM	SLC35E2	9906	LARP1	23367	0.046	1.000	0.954
DM	TMEM87A	25963	LARP1	23367	0.046	1.000	0.954
DM	DDAH2	23564	MAPK8IP1	9479	0.046	1.000	0.954
DM	IGFBP2	3485	MNX1	3110	0.046	1.000	0.954
DM	AIM1	202	PAICS	10606	0.046	1.000	0.954
DM	PFDN5	5204	PCP4	5121	0.046	1.000	0.954
DM	KLK11	11012	PIK3CA	5290	0.046	1.000	0.954
DM	TSTA3	7264	PKP3	11187	0.046	1.000	0.954
DM	CST3	1471	PLEKHG3	26030	0.046	1.000	0.954
DM	RERE	473	POU4F1	5457	0.046	1.000	0.954
DM	NEFH	4744	RECQL4	9401	0.046	1.000	0.954
DM	IGFBP2	3485	RRAGD	58528	0.046	1.000	0.954
DM	FBLN1	2192	SERPINE2	5270	0.046	1.000	0.954
DM	NEFH	4744	SIK2	23235	0.046	1.000	0.954
DM	NEFH	4744	SPAG9	9043	0.046	1.000	0.954
DM	ST7	7982	STC1	6781	0.046	1.000	0.954
DM	C9orf3	84909	STC1	6781	0.046	1.000	0.954
DM	PIBF1	10464	STC1	6781	0.046	1.000	0.954
DM	MXRA5	25878	TRIO	7204	0.046	1.000	0.954
DM	PBXIP1	57326	WDR68	10238	0.046	1.000	0.954
DM	PTPRN2	5799	ZNF500	26048	0.046	1.000	0.954
DM	NEFH	4744	ZNF500	26048	0.046	1.000	0.954
Primary	AKAP2	11217	ABR	29	0.954	0.000	0.954
Primary	CBLB	868	AGL	178	0.954	0.000	0.954
Primary	CEBPZ	10153	AGL	178	0.954	0.000	0.954
Primary	TCF20	6942	ALDH3A2	224	0.954	0.000	0.954
Primary	CRKL	1399	ALDH3A2	224	0.954	0.000	0.954
Primary	PKN2	5586	ANK3	288	0.954	0.000	0.954
Primary	AR	367	CHMP2A	27243	0.954	0.000	0.954
Primary	DAD1	1603	CIRBP	1153	0.954	0.000	0.954
Primary	HNRNPC	3183	CIRBP	1153	0.954	0.000	0.954
Primary	AR	367	CSNK2B	1460	0.954	0.000	0.954
Primary	HBA1	3039	CSRP1	1465	0.954	0.000	0.954
Primary	RUSC1	23623	DDAH2	23564	0.954	0.000	0.954
Primary	WWC1	23286	ETHE1	23474	0.954	0.000	0.954
Primary	BRD8	10902	GOLGA8A	23015	0.954	0.000	0.954
Primary	CUGBP1	10658	GPS2	2874	0.954	0.000	0.954
Primary	AR	367	GPX4	2879	0.954	0.000	0.954
Primary	RALA	5898	IDH3A	3419	0.954	0.000	0.954
Primary	EIF1AP1	280661	IMPDH2	3615	0.954	0.000	0.954
Primary	UBFD1	56061	KLK11	11012	0.954	0.000	0.954
Primary	CASP8	841	KLK11	11012	0.954	0.000	0.954
Primary	AR	367	KRT18	3875	0.954	0.000	0.954
Primary	AR	367	MDK	4192	0.954	0.000	0.954
Primary	DUSP8	1850	NEFH	4744	0.954	0.000	0.954
Primary	NKX2-1	7080	NEFH	4744	0.954	0.000	0.954
Primary	VGF	7425	NEFH	4744	0.954	0.000	0.954
Primary	ARPC2	10109	OS9	10956	0.954	0.000	0.954
Primary	EIF1AP1	280661	OS9	10956	0.954	0.000	0.954
Primary	STAT3	6774	PCP4	5121	0.954	0.000	0.954
Primary	LRP6	4040	PCP4	5121	0.954	0.000	0.954
Primary	STARD3	10948	PCP4	5121	0.954	0.000	0.954
Primary	ANKRD12	23253	PCP4	5121	0.954	0.000	0.954
Primary	HIF1A	3091	PCP4	5121	0.954	0.000	0.954
Primary	RAB3GAP1	22930	PCP4	5121	0.954	0.000	0.954
Primary	ARPC2	10109	PFDN5	5204	0.954	0.000	0.954
Primary	EIF3B	8662	PFN1	5216	0.954	0.000	0.954
Primary	FASTK	10922	PFN1	5216	0.954	0.000	0.954
Primary	TPI1	7167	PFN1	5216	0.954	0.000	0.954
Primary	XPO6	23214	PFN1	5216	0.954	0.000	0.954
Primary	RALA	5898	PON2	5445	0.954	0.000	0.954
Primary	EIF1AP1	280661	RPS7	6201	0.954	0.000	0.954
Primary	P4HA1	5033	SPG11	80208	0.954	0.000	0.954
Primary	RHOQ	23433	STAT6	6778	0.954	0.000	0.954
Primary	UBQLN2	29978	VAMP3	9341	0.954	0.000	0.954
Primary	DIDO1	11083	AIM1	202	0.985	0.040	0.945
Primary	AR	367	APLP2	334	0.985	0.040	0.945
Primary	HBA1	3039	APLP2	334	0.985	0.040	0.945
Primary	GRB2	2885	ASCC2	84164	0.985	0.040	0.945
Primary	SMG1	23049	BMPR1A	657	0.985	0.040	0.945
Primary	RAB1A	5861	CSRP1	1465	0.985	0.040	0.945
Primary	EIF1AX	1964	CST3	1471	0.985	0.040	0.945
Primary	EIF1AP1	280661	CTNNB1	1499	0.985	0.040	0.945
Primary	ATXN2L	11273	DDAH2	23564	0.985	0.040	0.945
Primary	DIAPH1	1729	DDAH2	23564	0.985	0.040	0.945
Primary	RNASE1	6035	DES	1674	0.985	0.040	0.945
Primary	EPS8	2059	DES	1674	0.985	0.040	0.945
Primary	RCOR1	23186	DES	1674	0.985	0.040	0.945
Primary	SLC7A5	8140	FNBP1	23048	0.985	0.040	0.945
Primary	G0S2	50486	FNDC3A	22862	0.985	0.040	0.945
Primary	RALA	5898	LAIR1	3903	0.985	0.040	0.945
Primary	GRB2	2885	MLH1	4292	0.985	0.040	0.945
Primary	AK3L1	205	PBXIP1	57326	0.985	0.040	0.945
Primary	AK3L2	645619	PBXIP1	57326	0.985	0.040	0.945
Primary	TNPO1	3842	PBXIP1	57326	0.985	0.040	0.945
Primary	SLC7A5	8140	PKIG	11142	0.985	0.040	0.945
Primary	CUGBP1	10658	RBPJ	3516	0.985	0.040	0.945
Primary	AR	367	RERE	473	0.985	0.040	0.945
Primary	CBLB	868	S100A13	6284	0.985	0.040	0.945
Primary	PALM2-AKAP2	445815	SATB1	6304	0.985	0.040	0.945
Primary	PALM2	114299	SATB1	6304	0.985	0.040	0.945
Primary	AKAP2	11217	SATB1	6304	0.985	0.040	0.945
Primary	EIF1AP1	280661	SLC25A6	293	0.985	0.040	0.945
Primary	EIF1AX	1964	SLC25A6	293	0.985	0.040	0.945
Primary	RALA	5898	SNAPC5	10302	0.985	0.040	0.945
DM	COL16A1	1307	AKAP2	11217	0.015	0.960	0.945
DM	PIP5K1C	23396	EIF1AX	1964	0.015	0.960	0.945
DM	DDAH2	23564	FOSL2	2355	0.015	0.960	0.945
DM	CNN1	1264	G0S2	50486	0.015	0.960	0.945
DM	PCP4	5121	G0S2	50486	0.015	0.960	0.945
DM	AIM1	202	G0S2	50486	0.015	0.960	0.945
DM	UBR4	23352	G3BP1	10146	0.015	0.960	0.945
DM	TCTA	6988	H2AFV	94239	0.015	0.960	0.945
DM	ASCC2	84164	LARP1	23367	0.015	0.960	0.945
DM	ZNF592	9640	LARP1	23367	0.015	0.960	0.945
DM	SLC6A7	6534	LARP1	23367	0.015	0.960	0.945
DM	UBR4	23352	PCMT1	5110	0.015	0.960	0.945
DM	RPL5	6125	PCP4	5121	0.015	0.960	0.945
DM	BCAM	4059	PKP3	11187	0.015	0.960	0.945
DM	AIM1	202	PRPF19	27339	0.015	0.960	0.945
