Parametric p-value	Fold difference of geometric means (T vs N)	Description	UG cluster	Gene symbol	Map
p < 1e-07	0.019	trefoil factor 3 (intestinal)	Hs.82961	TFF3	21q22.3
p < 1e-07	0.023	secretory leukocyte protease inhibitor (antileukoproteinase)	Hs.251754	SLPI	20q12
3.20E-06	0.023	tetraspan 1	Hs.38972	TSPAN-1	1p33
p < 1e-07	0.038	prominin-like 1 (mouse)	Hs.112360	PROML1	4p15.33
2.24E-05	0.039	forkhead box J1	Hs.93974	FOXJ1	17q22-17q25
p < 1e-07	0.043	polymeric immunoglobulin receptor	Hs.205126	PIGR	1q31-q41
p < 1e-07	0.061	selenium binding protein 1	Hs.334841	SELENBP1	1q21-q22
0.0003566	0.061	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	Hs.227948	SERPINB3	18q21.3
p < 1e-07	0.067	sodium channel, nonvoltage-gated 1 alpha	Hs.446415	SCNN1A	12p13
3.20E-06	0.072	mucin 1, transmembrane	Hs.89603	MUC1	1q21
3.50E-06	0.072	serum amyloid A4, constitutive	Hs.1955	SAA4	11p15.1-p14
4.10E-06	0.072	Ras-related associated with diabetes	Hs.1027	RRAD	16q22
9.70E-06	0.076	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	Hs.72050	NME5	5q31
p < 1e-07	0.077	B-factor, properdin	Hs.69771	BF	6p21.3
p < 1e-07	0.079	Wilms tumor associated protein	Hs.251573	WIT-1	11p13
1.92E-05	0.079	sperm associated antigen 6	Hs.158213	SPAG6	10p12.2
3.00E-07	0.081	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	Hs.73848	CEACAM6	19q13.2
1.00E-07	0.082	dynein, axonemal, light intermediate polypeptide 1	Hs.406050	DNALI1	1p35.1
3.00E-07	0.083	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	Hs.76688	CES1	16q13-q22.1
3.00E-07	0.083	solute carrier family 22 (organic cation transporter), member 4	Hs.77239	SLC22A4	5q31.1
1.05E-05	0.083	aldehyde dehydrogenase 1 family, member A1	Hs.76392	ALDH1A1	9q21.13
7.06E-05	0.09	BRCA1 associated protein	Hs.122764	BRAP	12q24
4.88E-05	0.096	connective tissue growth factor	Hs.75511	CTGF	6q23.1
0.0007428	0.096	matrix metalloproteinase 10 (stromelysin 2)	Hs.2258	MMP10	11q22.3
2.00E-07	0.097	S100 calcium binding protein P	Hs.2962	S100P	4p16
1.60E-06	0.102	B7 protein	Hs.155586	B7	12p13
1.00E-06	0.116	regulatory factor X, 2 (influences HLA class II expression)	Hs.100007	RFX2	19p13.3-p13.2
1.00E-07	0.121	monoglyceride lipase	Hs.6721	MGLL	3q21.3
