Gene	Abbreviation	Intensity of Cf	Mismatch binding	Ratio Cf/Lfs
arylacetamide deacetylase (esterase)	DAC	115.92	P	956.45
sparc/osteonectin (testican 3)	SPOCK3	16.7	P	669.24
neuropeptide Y receptor Y1	NPYR	20.86	P	416.71
collagen, type XIV, alpha 1 (undulin)	COL14A1	47.74	P	245.03
growth associated protein 43	B-50	23.52	P	232.1
procollagen C-endopeptidase enhancer 2	PCPE2	117.81	P	224.83
sorbin and SH3 domain containing 2	SORB2	10.65	P	192.25
myozenin 2	MYOZ2	6.53	P	139.5
serpin peptidase inhibitor, clade B (ovalbumin), member 2 transcript variant 2	PAI2	260.13	P	133.32
doublecortin-like kinase 1	DCLK	19.11	P	112.57
formyl peptide receptor-like 2	FPRL2	3.24	P	111.02
contactin associated protein-like 3	CASPR3	5.09	P	106.75
integrin, beta-like 1 (with EGF-like repeat domains)	ITGBL1	13.35	P	82.92
collagen, type IV, alpha 6	COL4A6	76.71	P	77.06
myc target 1	MYCT1	28.15	P	73.88
S100 calcium binding protein A4	S100A4	103.88	P	72.3
phosphodiesterase 1A, calmodulin-dependent	HSPDEA1	12.5	P	71.51
neurofilament, light polypeptide 68 kDa	NEFL	5.71	P	69.33
ADAMTS-like 1	ADAMTSR1	3.24	P	68.55
early B-cell factor 1	EBF	4.57	P	60.8
ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	SIAT7E	0.02	P	3943.41
fibrillin 2 (congenital contractural arachnodactyly)	FBN2	0.05	P	1035.17
fibroblast growth factor receptor 2	FGFR2	0.04	P	684.03
pregnancy specific beta-1-glycoprotein 5	PSG	0.07	P	349.77
Sal-like 1 (Drosophila)	SALL1	0.03	P	312.29
membrane metallo-endopeptidase	MME	0.05	P	274.25
odz, odd Oz/ten-m homolog 2 (Drosophila)	TEN-M2	0.93	P	134.1
R-spondin 3 homolog (Xenopus laevis)	RSPO3	0.4	P	70.16
bone morphogenetic protein 2	BMP2A	1.19	P	68.96
neuroligin 4, Y-linked	NLGN4Y	0.09	P	68.62
matrix-remodelling associated 5	DKFZp564I1922	1.31	P	57.89
collagen, type IV, alpha 4	COL4A4	0.67	P	49.71
bradykinin receptor B1	BRADYB1	1.61	P	48.96
microfibrillar-associated protein 4	MFAP4	0.3	P	32.4
matrix metallopeptidase 3 (stromelysin 1, progelatinase)	MMP-3	0.85	P	30.01
chromosome 13 open reading frame 15	RGC32	1.69	P	28.4
fibroblast growth factor 13	FGF13	0.38	P	28.15
ephrin receptor A5	EPHA5	0.4	P	25.68
interleukin 24	IL-24	1.68	P	25.27
