Biological function	Gene symbol	P value
Adhesion/cytoskeleton	C1QTNF7	0.708
Adhesion/cytoskeleton	CLDN18	0.0002255
Adhesion/cytoskeleton	ARPC4	0.0004617
Signal transduction	ADRBK2	0.0004755
Signal transduction	DKFZP686A10121	0.0005211
Signal transduction	PTCH	0.0006665
Signal transduction	TXK	0.0009083
Nucleic acid processing and transcription	ZNF677	0.0002018
Nucleic acid processing and transcription	SBNO1	0.0004757
Nucleic acid processing and transcription	TAF1B	0.0006169
Nucleic acid processing and transcription	ZNF331	0.0007066
Nucleic acid processing and transcription	SRPK2	0.0007598
Cell cycle/proliferation	ORC1L	0.0001482
Cell cycle/proliferation	HSMPP8	0.0007817
ER signalling	NCOA5	0.0008897
Other	BACE	0.0004043
Other	DLD	0.0005991
