Gene	Atlas 1.2-I array intensity values:  -TPA:  U	Atlas 1.2-I array intensity values:  -TPA:  I	R	Atlas 1.2-I array intensity values:  +TPA:  U	Atlas 1.2-I array intensity values:  +TPA:  I	R	Atlas 1.2-II array intensity values:  -TPA:  U	Atlas 1.2-II array intensity values:  -TPA:  I	R	Atlas 1.2-II array intensity values:  +TPA:  U	Atlas 1.2-II array intensity values:  +TPA:  I	R
HSP27	40,060	36,580	1	32,600	29,770	2	NA	NA	NA	NA	NA	NA
60SRP13A	44,040	37,480	2	28,740	30,720	5	33,320	31,700	2	33,410	32,570	4
Thymosin  B10	34,120	34,220	3	36,215	34,800	1	NA	NA	NA	NA	NA	NA
Thymosin  B4	31,060	27,600	4	30,670	28,100	3	NA	NA	NA	NA	NA	NA
Ubiquitin	29,780	28,560	5	29,720	28,700	4	25,670	27,600	5	37,270	29,420	8
RhoGD1 a	28,460	30,500	6	27,040	26,050	7	NA	NA	NA	NA	NA	NA
mGST12	26,400	23,870	7	21,900	18,840	20	NA	NA	NA	NA	NA	NA
GST3	26,480	23,870	8	22,360	20,840	18	NA	NA	NA	NA	NA	NA
MCP1	26,460	17,900	9	11,610	12,020	NA	NA	NA	NA	NA	NA	NA
DAD1	26,350	29,280	10	22,830	23,170	15	NA	NA	NA	NA	NA	NA
NKEnhF	25,870	25,240	11	26,020	23,630	19	NA	NA	NA	NA	NA	NA
Gs a1	25,530	30,580	12	20,420	20,070	22	NA	NA	NA	NA	NA	NA
Mut-L (MLH1)	25,600	26,620	13	19,460	17,840	24	NA	NA	NA	NA	NA	NA
Hyal-L2	25,430	25,450	14	28,160	30,720	8	NA	NA	NA	NA	NA	NA
Cathepsin-D	25,360	26,400	15	20,630	23,050	21	17,970	24,500	19	24,370	25,120	13
Collagen 1 a2	25,360	23,060	16	22,370	21,640	17	NA	NA	NA	NA	NA	NA
Parathymosin	24,560	22,080	17	23,970	18,440	12	NA	NA	NA	NA	NA	NA
Calpain	24,100	27,120	18	23,870	21,560	11	22,020	24,420	9	19,280	24,820	16
HLA-C4	23,820	29,500	19	25,630	27,140	10	21,060	27,920	12	28,980	31,080	5
40SRDS9	23,590	22,840	20	21,560	21,330	33	NA	NA	NA	NA	NA	NA
PUF	23,400	28,370	21	26,730	25,100	9	NA	NA	NA	NA	NA	NA
BMP4	23,260	2,460	22	6,370	5,330	NA	NA	NA	NA	NA	NA	NA
Amyloid  a4	22,400	11,140	25	23,460	20,900	13	19,300	15,160	18	24,920	18,920	12
GADPH	22,200	26,940	26	22,920	23,040	14	33,720	38,840	1	42,470	40,720	1
B-Actin	21,400	24,000	29	22,630	21,820	16	28,720	21,200	3	42,470	43,580	2
TIMP1	21,020	36,630	30	28,940	38,870	6	NA	NA	NA	NA	NA	NA
Ferritin H	NA	NA	NA	NA	NA	NA	27,960	28,320	4	22,860	23,900	14
Protein di-S isom	NA	NA	NA	NA	NA	NA	25,120	27,000	6	32,440	28,930	3
VWF	NA	NA	NA	NA	NA	NA	23,940	20,400	7	11,630	17,720	NA
Clathrin AP50	NA	NA	NA	NA	NA	NA	21,920	23,500	8	29,070	22,920	6
Metallothionine	NA	NA	NA	NA	NA	NA	22,290	21,700	10	4,220	15,280	NA
CD81	NA	NA	NA	NA	NA	NA	21,860	22,400	11	28,550	26,700	7
Exodus 2	NA	NA	NA	NA	NA	NA	21,060	29,770	13	2,850	17,600	NA
a1-Tubulin	NA	NA	NA	NA	NA	NA	21,020	27,970	14	25,020	27,820	11
Annexin II	NA	NA	NA	NA	NA	NA	20,820	20,100	15	21,070	16,120	15
Cofilin	NA	NA	NA	NA	NA	NA	20,720	23,690	16	25,340	23,950	10
Gs a2	NA	NA	NA	NA	NA	NA	19,020	19,300	17	27,170	22,320	9
