Functional category	Probe set ID	Gene symbol	Gene title	Fold-change S/NS	p value	Fold-change S/NS	p value
Adhesion	206460_at	AJAP1	adherens junction associated protein 1	1.78	0.002	4.36	0.022
Adhesion	209270_at	LAMB3	laminin, beta 3	-2.1	0.026	-2.38	0.011
Apoptosis	207469_s_at	PIR	pirin	2.64	0.007	2.22	0.028
Apoptosis	225116_at	HIPK2	homeodomain interacting protein kinase 2	2.47	0.009	2.22	0.011
Apoptosis	207180_s_at	HTATIP2	HIV-1 Tat interactive protein 2	1.86	0	1.63	0.028
Apoptosis	207574_s_at	GADD45B	growth arrest and DNA-damage-inducible, beta	-1.83	0.024	-2.26	0.014
Cell Cycle	213348_at	CDKN1C	cyclin-dependent kinase inhibitor 1C	-2.22	0.018	-2.02	0.006
Cell growth and maintenance	226425_at	RSNL2	restin-like 2	2.36	0.034	2.75	0.023
Cell growth and maintenance	219944_at	RSNL2	restin-like 2	1.77	0.002	2.52	0.002
Cell growth and maintenance	229265_at	DRPLA	atrophin 1	-1.41	0.03	-1.74	0.033
Cell growth and maintenance	212281_s_at	MAC30	hypothetical protein MAC30	-1.65	0.034	-1.65	0.045
Cell growth and maintenance	1556012_at	KLHDC7A	kelch domain containing 7A	-1.78	0.043	-1.81	0.032
Cell growth and maintenance	221675_s_at	CHPT1	choline phosphotransferase 1	-1.92	0.003	-1.99	0.014
Cytoskeleton	218950_at	CENTD3	centaurin, delta 3	-1.39	0.003	-1.68	0.021
Cytoskeleton	201718_s_at	EPB41L2	erythrocyte membrane protein band 4.1-like 2	-2.26	0.005	-2.45	0.007
Cytoskeleton	201719_s_at	EPB41L2	erythrocyte membrane protein band 4.1-like 2	-2.3	0.008	-3.22	0.007
Immune response	219389_at	SUSD4	sushi domain containing 4	-1.55	0.03	-1.92	0.023
Immune response	203233_at	IL4R	interleukin 4 receptor	-1.74	0.008	-1.91	0.017
Immune response	223822_at	SUSD4	sushi domain containing 4	-1.77	0.036	-1.86	0.007
Immune response	218638_s_at	SPON2	spondin 2, extracellular matrix protein	-1.86	0.045	-1.92	0.018
Immune response	823_at	CX3CL1	chemokine (C-X3-C motif) ligand 1	-2.89	0.016	-2.96	0.004
Metabolism	228490_at	ABHD2	abhydrolase domain containing 2	1.81	0.043	1.73	0.011
Metabolism	230999_at	DCPS	decapping enzyme, scavenger	1.46	0.024	3.04	0.048
Metabolism	217775_s_at	RDH11	retinol dehydrogenase 11	1.43	0.035	1.5	0.047
Metabolism	213687_s_at	RPL35A	ribosomal protein L35a	-1.34	0.026	-1.55	0.004
Metabolism	201275_at	FDPS	farnesyl diphosphate synthase	-1.35	0.023	-1.54	0.011
Metabolism	42361_g_at	CCHCR1	coiled-coil alpha-helical rod protein 1	-1.84	0.019	-2.1	0.044
Metabolism	226649_at	PANK1	pantothenate kinase 1	-2.06	0.026	-2.02	0.012
Metabolism	219049_at	ChGn	chondroitin beta1,4 N-acetylgalactosaminyltransferase	-2.41	0.026	-2.37	0.046
Metabolism	203939_at	NT5E	5-nucleotidase, ecto (CD73)	-2.51	0.01	-2.81	0.004
Mucin	1553602_at	SBEM	small breast epithelial mucin	4.9	0.002	5.47	0.003
Pentose cycle	208700_s_at	TKT	transketolase	1.91	0.007	1.99	0.014
Pentose cycle	201463_s_at	TALDO1	transaldolase 1	1.82	0.002	1.65	0.005
Proteolysis	239229_at	PHEX	transcribed locus	3.91	0.02	3.52	0.029
Proteolysis	231835_at	C1orf93	chromosome 1 open reading frame 93	-1.74	0.009	-2.07	0.004
Proteolysis	242662_at	PCSK6	proprotein convertase subtilisin/kexin type 6	-2.21	0.025	-2	0.037
Proteolysis	207414_s_at	PCSK6	proprotein convertase subtilisin/kexin type 6	-2.3	0.01	-2.3	0.05
Response to  oxidants and xenobiotics	202437_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	38.87	0.025	36.19	0.014
Response to  oxidants and xenobiotics	202436_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	32.86	0.016	41.36	0.005
Response to  oxidants and xenobiotics	206561_s_at	AKR1B10	aldo-keto reductase family 1, member B10	24.84	0.003	20.76	0.002
Response to  oxidants and xenobiotics	202435_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	20.73	0.039	54.7	0.004
Response to  oxidants and xenobiotics	210505_at	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	7.21	0.001	6.1	0.001
