Hugo ID	Name
CDC5L	Cdc5-related protein (PCDC5RP)
HSU53209	transformer-2 alpha (htra-2 alpha)
CDC10	similar to TR:G560623 G560623 HCDC10
NFYB	CAAT-box DNA binding protein subunit B
GTF2I	Brutons tyrosine kinase-associated protein
CCT4	stimulator of TAR RNA binding (SRB)
RY1	RY-1 putative nucleic acid binding protein
DVL2	dishevelled 2 (DVL2)
RPL13	60S RIBOSOMAL PROTEIN L13
C14ORF3	Hydroxyacyl-Coenzyme A dehydrogenase, beta subuit
SMS	spermine synthase
SF3A1	splicing factor SF3a120
KNSL4	oriP binding protein (OBP-1)
TUBA1	alpha-tubulin
TUBA1	Alpha-tubulin (K00558)
TUBA1	Alpha-tubulin (K00558)
TUBA1	TUBULIN ALPHA-4 CHAIN
PRP8	PRP8 protein
RPA1	Replication protein A 70 KD subunit
TUBB5	TUBULIN BETA-1 CHAIN
HNRPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1
SNRPF	Sm protein F
CKS2	CDC28 protein kinase 2
NA	Small nuclear ribonucleoprotein polypeptide
XPO1	CRM1 protein
ZNF161	DB1
FZ D8	similar to TR:G1151252 transmembrane receptor
DOC1	putative oral tumor suppressor protein (doc-1)
CDK2	cdc2-related protein kinase
APLP1	amyloid precursor-like protein 1
SNRPN	Small nuclear ribonucleoprotein polypeptide N
SNRPB2	Small nuclear ribonucleoprotein polypeptide B’’
PSMA6	PROTEASOME IOTA CHAIN
GALNT1	UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase
MRE11B	MRE11 homologue hMre11
SFRS2IP	novel member of serine-arginine domain protein, SRrp129
PIK3R1	P13-kinase associated p85
PIK3R1	P13-kinase associated p85
TRIO	TRIO
CHD3	similar to TR:E149079 E149079 MI-2 PROTEIN
ACAT2	T-COMPLEX PRO TEIN 1, ALPHA SUBUNIT
IDI1	homolog of yeast IPP isomerase
PRKCL2	lipid-activated, protein kinase PRK2
HMGCR	3- hydroxy-3-methylglutaryl-coenzyme A reductase
CCNK	cyclin K (CPR4)
CCNK	cyclin K (CPR4)
GABPA	GA-binding protein transcription factor, alpha subunit
YY1	YY1 transcription factor
TCF17	HKL1
CPSF6	HPBRII-4
HNRPK	Heterogeneous nuclear ribonucleoprotein K
UGCG	ceramide glucosyltransferase
SLC16A1	Solute carrier family 16, member 3
NCK1	Non-catalytic region of tyrosine kinase
ZNF43	Zinc finger protein 43 (HTF6)
ZNF273	Zinc finger protein 9
OIP5	Opa-interacting protein OIP5
REG1B	regenerating protein I beta
ZNF198	ZNF198 zinc finger protein
KIF5B	KINESIN HEAVY CHAIN
EZH2	enhancer of zeste homolog 2 (EZH2)
PPP2R5C	Protein phosphatase 2A, regulatory subunit B alpha-1
RBBP8	CtBP interacting protein CtIP (CtIP)
KIAA0332	KIAA0332
TOPBP1	KIAA0259 Topoisomerase II binding protein
KIAA0419	KIAA0420
RFC4	Replication factor C, 37-kD subunit
RFC5	replication factor C, 36-kDa subunit
RFC5	replication factor C (activator 1) 5 (36.5kD)
BRCA1	Breast cancer 1, early onset
