Expression	Difference	PValue
Oncogeneandcancer-relatedgenes	v-myc1	0.04
Oncogeneandcancer-relatedgenes	FYNoncogenerelatedtoSRC1	0.01
Oncogeneandcancer-relatedgenes	junDproto-oncogene1	0.04
Oncogeneandcancer-relatedgenes	MelanomaantigenfamilyA101	0.004
Oncogeneandcancer-relatedgenes	Cancer/testisantigen1	0.01
Oncogeneandcancer-relatedgenes	vav1oncogene1	0.05
Apoptosisresistance	Bcl-21	0.05
Apoptosisresistance	Inositol1,4,5-triphosphatereceptor,type32	0.04
Apoptosisresistance	DEAD/Hboxpolypeptide2	0.04
Apoptosissensitivity	Fattyacidbindingprotein12	0.02
Apoptosissensitivity	DAD12	0.008
Apoptosissensitivity	Apoptosisinhibitor22	0.01
Apoptosissensitivity	Requiemhomologue1	0.01
Mitochondrialproteins	Serinehydroxymethyltransferase21	0.01
Mitochondrialproteins	Mitochondrialoutermembraneprotein192	0.01
Mitochondrialproteins	CytochromeoxidasesubunitX1	0.03
Mitochondrialproteins	Mitochondrialcitratetransportprotein2	0.02
Mitochondrialproteins	MitochondrialH1-transportingATPsynthaseF12	0.05
Mitochondrialproteins	Ubiquinol—cytochromecreductasecoreprotein12	0.003
Genescodingforproteinsinvolvedinvasculogenesis/angiogenesis	Angiopoietin12	0.01
Genescodingforproteinsinvolvedinvasculogenesis/angiogenesis	Angio-associatedmigratorycellprotein1	0.04
Genescodingforionchannels	InwardrectifierK1channel1	0.01
Genescodingforionchannels	Voltage-gatedNa1-channeltypeIbpolypeptide1	0.04
Genescodingforionchannels	Voltage-gated,shaker-relatedK1channel2	0.021
Genescodingforionchannels	Chloridechannel11	0.006
