Category	Gene name	Hs. ID
Angiogenesis	Pleiotrophin	Hs.44
Angiogenesis	Coagulation factor X	Hs.47913
Apoptosis	TNFR-1	Hs.159
Apoptosis	Caspase-3	Hs.74552
Cell surface molecule	CD34	Hs.374990
Cell surface molecule	CD36/TSP receptor	Hs.75613
Cytokine/Chemokine	CCL14	Hs.20144
Cytoskeleton	Ankyrin	Hs.183805
Cytoskeleton	cadherin-6	Hs.32963
Cytoskeleton	Keratin 15	Hs.80342
Cytoskeleton	Keratin 1	Hs.80828
Cytoskeleton	TAU	Hs.101174
Growth	GADD45A / DDIT-1	Hs.80409
Growth	IGFBP5	Hs.107169
Kinase	BMK1 alpha	Hs.3080
Kinase	PHKB	Hs.78060
Kinase	Dyrk6	Hs.30148
Kinase	PKA IIbeta, regulatory	Hs.77439
Kinase	RBSK	Hs.11916
Kinase	Etk	Hs.27372
Kinase	PDK2	Hs.92261
Metabolism	CYP3A5, p450	Hs.104117
Metastasis	TIMP3	Hs.245188
Oncogene/TS	MDM2	Hs.170027
Oncogene/TS	TGF, beta receptor III	Hs.342874
Other	Calpamodulin	Hs.169172
Other	RHCE	Hs.278994
Other	PCSK2	Hs.93164
Other	HABP2 (HGF activator like)	Hs.241363
