FUNCTION	Gene Name	Symbol	PCSC	LNCaP
Adhesion: Cell-Cell	major histocompatibility complex, class II, DM alpha	HLA-DMA	2	2.2
Adhesion: Cell-Cell	cadherin 3, type 1, P-cadherin (placental)	CDH3	2.1	2
Adhesion: Cell-Cell	HLA complex group 4	HCG4	-1.9	-1.9
Adhesion: Cell-Cell	activated leukocyte cell adhesion molecule	ALCAM	-2.3	-2.3
Adhesion: Cell-Matrix	Kallmann syndrome 1 sequence	KAL1	-2	-2.2
Adhesion: Extracellular matrix	collagen, type VI, alpha 1	COL6A1	1.8	2.7
Adhesion: Tight junction	claudin 3	CLDN3	2.1	1.9
Cell cycle: Protein biosynthesis	MYC induced nuclear antigen	MINA	-1.9	-1.9
Cell cycle: Regulation	cyclin E2	CCNE2	-2.1	-2.7
Cytoskeleton: Actin binding	tropomyosin 1 (alpha)	TPM1	-2.4	-2.1
Cytoskeleton: Actin binding	gelsolin (amyloidosis, Finnish type)	GSN	2.1	1.9
Cytoskeleton: Regulation	Src homology 3	SGEF	-2.4	-2.1
Growth factor: Receptor	neuropilin 1	NRP1	8.7	2.8
Growth factor: Secreted	growth differentiation factor 15	GDF15	8	2.2
Metabolism: Metals	metallothionein 1G	MT1G	-4.1	-1.9
Metabolism: Metals	metallothionein 1H	MT1H	-4.4	-1.8
Metabolism: Metals	metallothionein 2A	MT2A	-4.8	-1.8
Metabolism: Carbohydrate	UDP-N-acteylglucosamine pyrophosphorylase 1	UAP1	-3.1	-2.1
Metabolism: DNA	RAD18 homolog (S. cerevisiae)	RAD18	-1.9	-1.9
Metabolism: Enzyme	methionine sulfoxide reductase B3	MSRB3	-2.1	-2.4
Metabolism: Hormone	membrane metallo-endopeptidase	MME	-3	-2.5
Metabolism: Sugar biosynthesis	lectin galactoside-binding 8 galectins	LGALS8	-2.2	-2
Metabolism: Sugar biosynthesis	mannosidase, alpha, class 1C, member 1	MAN1C1	1.9	1.8
Metabolism: Protein biosynthesis	STAM binding protein-like 1	STAMBPL1	-2	-2.1
Metabolism: Protein biosynthesis	cysteinyl-tRNA synthetase	CARS	-2.2	-1.9
Metabolism: Protein biosynthesis	glycyl-tRNA synthetase	GARS	-2.2	-2.1
Metabolism: Protein biosynthesis	tryptophanyl-tRNA synthetase	WARS	-2.5	-2.8
Metabolism: Protein biosynthesis	heat shock 60 kDa protein 1 (chaperonin)	HSPD1	-2.1	-3.4
Metabolism: Protein stability	YOD1 OTU deubiquinating enzyme 1 homolog	YOD1	-2	-2.1
Protein binding	tissue factor pathway inhibitor	TFPI	2.4	1.8
Protein binding	neuron navigator 3	NAV3	-5.5	-2.3
Signaling: Hormone	relaxin 2	RLN2	-1.8	-2
Signaling: Hormone Receptor	prostaglandin E receptor 4 (subtype EP4)	PTGER4	-3.6	-2.9
Signaling: Integrin	sema, immunoglobulin (Ig) and short basic domain	SEMA3B	1.9	1.8
Signaling: Kinase	dual specificity phosphatase 6	DUSP6	2	2.2
Signaling: Ligand	jagged 1 (Alagille syndrome)	JAG1	4	3.2
Signaling: Membrane traffic	synaptojanin 2	SYNJ2	-2	-2.3
Signaling: Secreted	clusterin	CLU	2.8	2.3
Signaling: Secreted	amyloid beta (A4) precursor-like protein 2	APLP2	2.7	2
Signaling: Secreted	c-mer proto-oncogene tyrosine kinase	MERTK	2.1	2
Signaling: Secreted	RIO kinase 3 (yeast)	RIOK3	-1.9	-2.2
Transcription: Activator	c-myc binding protein	MYCBP	-2.4	-2.4
Transcription: Activator	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	MYBL1	-3.4	-2
Transcription: Inhibitor	inhibitor of DNA binding 3	ID3	-6.7	-3.1
Transcription: Inhibitor	inhibitor of DNA binding 1	ID1	-10.2	-5.2
Transcription: Inhibitor	E74-like factor 3	ELF3	2	2.5
Transcription: Inhibitor	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	4.8	2.5
Transcription: Inhibitor	Kruppel-like factor 2 (lung)	KLF2	2.1	1.8
Transcription: Inhibitor	CCAAT/enhancer binding protein (C/EBP), gamma	CEBPG	-1.9	-2
Transcription: Inhibitor	E74-like factor 4 (ets domain transcription factor)	ELF4	-2.3	-1.9
Transcription: Inhibitor	zinc finger and BTB domain containing 38	ZBTB38	-2.5	-2
Transcription: Inhibitor	Kruppel-like factor 5 (intestinal)	KLF5	-2.8	-2
Translation: regulation	quaking homolog, KH domain RNA binding (mouse)	QKI	-2.9	-1.9
Translation: regulation	eukaryotic translation initiation factor 2, subunit 1 alpha	EIF2S1	-1.9	-2
Transport: Integral	Transmembrane channel-like 4	TMC4	1.8	2.2
Transport: Zinc	solute carrier family 39 (zinc transporter), member 10	SLC39A10	2.3	2.5
Transport: Zinc	solute carrier family 25, member 30	SLC25A30	-1.8	-2.3
Transport: Zinc	solute carrier family 7, member 5	SLC7A5	-2.3	-2.3
Transport: Zinc	Hbc647 mRNA sequence	SLC30A1	-12.8	-2.3
Unknown	FLJ35024, C3orf59, CCDC113, C5orf35, CCDC50, CCDC76, LOC440731	---	---	---
