Gene code	Ave S3	Ave R2	R:S	Difference	Gene Symbol	Protein/gene
A01c	391	1259	3.2	868	JUN	c-jun proto-oncogene; transcription factor AP-1
A06i	36	144	4	108	CCND1	G1/S-specific cyclin D1 (CCND1);bcl-1 oncogene
A07b	9	58	6.4	49	TJP1	Tight junction protein zonula occludens (ZO-1);
A09h	13	99	7.6	86	ST5	P126 (ST5)
B02m	51	203	4	152	HINT1	Hint protein; protein kinase C inhibitor 1 (PKCI1)
B04i	18	61	3.4	43	PPP2R4	Phosphotyrosyl phosphatase activator
B12l	142	626	4.4	484	SOCS3	STAT-induced STAT inhibitor 3
C12n	33	118	3.6	85	FOXN3	Checkpoint suppressor 1
D02f	28	117	4.2	89	RPSA	Colon carcinoma laminin-binding protein; NEM/1CHD4
D06b	46	199	4.3	153	HMGN2	Nonhistone chromosomal protein HMG17
D10k	47	153	3.3	106	LTBR	Tumor necrosis factor receptor 2-related protein;
D11b	105	450	4.3	345	DCN	Bone proteoglycan II precursor (PGS2); decorin (DCN)
D14n	8	125	15.6	117		Semaphorin
E02f	84	252	3	168	IGFBP3	Insulin-like growth factor-binding protein 3 precursor
E06n	0	84	NA	84	COL1A2	Procollagen 1? 2 subunit precursor (COL1A2)
E07i	163	1364	8.4	1201	MMP3	Matrix metalloproteinase 3 (MMP3);
E09h	175	526	3	351	JAG2	Jagged2 (JAG2)
E10m	7	158	22.6	151	CD74	MHC class II HLA-DR-?
E13m	291	929	3.2	638	IGHA1	Immunoglobulin ? 1 heavy chain constant region
F03m	18	63	3.5	45	ISG20	HEM45
F04m	72	287	4	215	PHC2	Polyhomeotic 2 homolog (HPH2)
F09c	57	273	4.8	216	UPP1	Uridine phosphorylase (UDRPase; UP)
