Gene title	Genesymbol
Chemokine (C-C motif) ligand 12 (Monocyte chemotactic protein 5)	Ccl12
Chemokine (C-C motif) ligand 17 (Thymus- and activation-regulated chemokine)	Ccl17
Chemokine (C-C motif) ligand 2 (Monocyte chemoattractant protein-1)	Ccl2
Chemokine (C-C motif) ligand 20 (Macrophage inflammatory protein 3 alpha)	Ccl20
Chemokine (C-C motif) ligand 3 (Macrophage inflammatory protein 1-alpha)	Ccl3
Chemokine (C-C motif) ligand 4 (Macrophage inflammatory protein 1-beta)	Ccl4
Chemokine (C-C motif) ligand 6	Ccl6
Chemokine (C-C motif) ligand 8 (Monocyte chemoattractant protein 2)	Ccl8
Chemokine (C-C motif) receptor 7	Ccr7
Chemokine (C-C motif) receptor-like 2	Ccrl2
Chemokine (C-X3-C motif) ligand 1	Cx3cl1
Chemokine (C-X-C motif) lig- and 1 (Platelet-derived growth factor-inducible protein )	Cxcl1
Chemokine (C-X-C motif) ligand 10 (Gamma-IP10)	Cxcl10
Chemokine (C-X-C motif) ligand 11(Interferon-inducible T-cell alpha chemoattractant)	Cxcl11
Chemokine (C-X-C motif) ligand 13 (B lymphocyte chemoattractant)	Cxcl13
Chemokine (C-X-C motif) ligand 14	Cxcl14
Chemokine (C-X-C motif) ligand 2 (Macrophage inflammatory protein 2)	Cxcl2
Chemokine (C-X-C motif) ligand 5 (lipopoly-saccharide induced C-X-C chemokine )	Cxcl5
Chemokine (C-X-C motif) ligand 9 (Gamma inter-feron induced monokine)	Cxcl9
Colony stimulating factor 1 (macrophage)	Csf1
Colony stimulating factor 2 (granulocyte-macrophage)	Csf2
Colony stimulating factor 3 (granulocyte)	Csf3
Interferon gamma	Ifng
Interleukin 1 alpha	Il1a
Interleukin 1 beta	Il1b
Interleukin 1 family, member 9	Il1f9
Interleukin 1 receptor antagonist	Il1rn
Interleukin 10	Il10
Interleukin 12b	Il12b
Interleukin 15 receptor, alpha chain	Il15ra
Interleukin 22	Il22
Interleukin 23, alpha subunit p19	Il23p19
Interleukin 6	Il6
Suppressor of cytokine signaling 1	Socs1
Suppressor of cytokine signaling 3	Socs3
Tumor necrosis factor	Tnf
Tumor necrosis factor (ligand) superfamily, member 14	Tnfsf14
Tumor necrosis factor (ligand) superfamily, member 9	Tnfsf9
