Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
SNRPN	small nuclear ribonucleoprotein polypeptide N	6638	-26.18	0.0382
EYA4	eyes absent homolog 4 (Drosophila)	2070	-7.25	0.0069
YAP1	Yes-associated protein 1, 65kDa	10413	-3.37	0.0109
AK097130	cDNA FLJ39811 fis, clone SPLEN2009581		-3.08	0.0143
FLJ20464	cDNA FLJ20464 fis, clone KAT06158	54944	-3.04	0.0305
ATXN7	ataxin 7	6314	-2.97	0.0312
FAM153A	family with sequence similarity 153, member A	285596	-2.93	0.0462
BC012036	cDNA clone MGC:21733 IMAGE:4517792		-2.82	0.0303
DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	1743	-2.8	0.0275
FAM22A	family with sequence similarity 22, member A	728118	-2.54	0.0283
DLSTP	dihydrolipoamide S-succinyltransferase pseudogene (E2 component of 2-oxo-glutarate complex)	1744	-2.53	0.0444
DPF1	D4, zinc and double PHD fingers family 1	8193	-2.45	0.0285
IL17RD	interleukin 17 receptor D	54756	-2.44	0.0159
GINS4	GINS complex subunit 4 (Sld5 homolog)	84296	-2.43	0.0166
AOF1	amine oxidase (flavin containing) domain 1	221656	-2.4	0.0494
PANK2	pantothenate kinase 2 (Hallervorden-Spatz syndrome)	80025	-2.37	0.0188
BAX	BCL2-associated X protein	581	-2.34	0.0273
TMEM19	transmembrane protein 19	55266	-2.34	0.0105
NDE1	nudE nuclear distribution gene E homolog 1 (A. nidulans)	54820	-2.31	0.0408
TMEM142B	transmembrane protein 142B	80228	-2.28	0.0436
AKT1S1	AKT1 substrate 1 (proline-rich)	84335	-2.27	0.0184
GRAMD1A	GRAM domain containing 1A	57655	-2.26	0.0187
COX18	COX18 cytochrome c oxidase assembly homolog (S. cerevisiae)	285521	-2.26	0.0365
QPCTL	glutaminyl-peptide cyclotransferase-like	54814	-2.25	0.0484
AK123956	cDNA FLJ41962 fis, clone PUAEN2005588		-2.24	0.0202
AF038194	clone 23821 mRNA sequence		-2.23	0.0301
AP1S1	adaptor-related protein complex 1, sigma 1 subunit	1174	-2.22	0.0193
AP2B1	adaptor-related protein complex 2, beta 1 subunit	163	-2.21	0.0104
USP47	ubiquitin specific peptidase 47	55031	-2.2	0.0449
ZNF426	zinc finger protein 426	79088	-2.18	0.0205
PNMA6A	paraneoplastic antigen like 6A	84968	-2.18	0.0152
SMOC1	SPARC related modular calcium binding 1	64093	-2.17	0.022
BAG5	BCL2-associated athanogene 5	9529	-2.16	0.0383
PODXL2	podocalyxin-like 2	50512	-2.16	0.0451
UBXD7	UBX domain containing 7	26043	-2.15	0.0339
NS3BP	NS3BP	171391	-2.14	0.0186
CYP20A1	cytochrome P450, family 20, subfamily A, polypeptide 1	57404	-2.12	0.0472
TNKS2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	80351	-2.12	0.0212
SLFN13	schlafen family member 13	146857	-2.12	0.0457
ZNF714	zinc finger protein 714	148206	-2.11	0.0144
IGSF11	immunoglobulin superfamily, member 11	152404	-2.08	0.0275
C6orf170	chromosome 6 open reading frame 170	221322	-2.08	0.0412
SLC25A25	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25	114789	-2.07	0.0258
ZNF443	zinc finger protein 443	10224	-2.06	0.0483
C22orf13	chromosome 22 open reading frame 13	83606	-2.06	0.0244
GRLF1	glucocorticoid receptor DNA binding factor 1	2909	-2.05	0.0268
RHOF	ras homolog gene family, member F (in filopodia)	54509	-2.03	0.0129
UBQLN1	ubiquilin 1	29979	-2.02	0.024
DNAJC21	DnaJ (Hsp40) homolog, subfamily C, member 21	134218	-2.01	0.0332
CYCS	cytochrome c, somatic	54205	-2.01	0.0257
ONECUT2	one cut domain, family member 2	9480	-2	0.0166
CMIP	c-Maf-inducing protein	80790	-1.99	0.0243
POLE	polymerase (DNA directed), epsilon	5426	-1.99	0.0259
RAP1GAP	RAP1 GTPase activating protein	5909	-1.98	0.041
SFRS12IP1	SFRS12-interacting protein 1	285672	-1.98	0.0492
MIDN	midnolin	90007	-1.98	0.0259
AF075008	Full length insert cDNA YH99G08		-1.97	0.0264
BC067077	cDNA clone IMAGE:2960385,  WARNING: chimeric clone		-1.96	0.0426
ZNF282	zinc finger protein 282	8427	-1.96	0.0274
ZNF588	zinc finger protein 588	51427	-1.95	0.0338
TYK2	tyrosine kinase 2	7297	-1.95	0.0267
RNF145	ring finger protein 145	153830	-1.95	0.0259
EPB49	erythrocyte membrane protein band 4.9 (dematin)	2039	-1.93	0.0268
HDGF2	hepatoma-derived growth factor-related protein 2	84717	-1.93	0.0231
ARFGAP1	ADP-ribosylation factor GTPase activating protein 1	55738	-1.93	0.0438
GBA2	glucosidase, beta (bile acid) 2	57704	-1.93	0.0274
LOC440895	LIM and senescent cell antigen-like domains 3-like	440895	-1.93	0.0374
DGCR5	DiGeorge syndrome critical region gene 5 (non-coding)	26220	-1.92	0.0318
DKFZp434J1015	cDNA DKFZp434J1015	54753	-1.92	0.0389
PTPRU	protein tyrosine phosphatase, receptor type, U	10076	-1.92	0.0292
UNC84B	unc-84 homolog B (C. elegans)	25777	-1.92	0.0277
TXNRD2	thioredoxin reductase 2	10587	-1.91	0.0237
MICALL1	MICAL-like 1	85377	-1.89	0.0211
U2AF2	U2 small nuclear RNA auxiliary factor 2	11338	-1.89	0.0189
PLXNB2	plexin B2	23654	-1.89	0.0299
BC012036	cDNA clone MGC:21733 IMAGE:4517792		-1.89	0.029
DVL1	dishevelled, dsh homolog 1 (Drosophila)	1855	-1.89	0.0169
AP1S1	adaptor-related protein complex 1, sigma 1 subunit	1174	-1.88	0.0297
CBX6	chromobox homolog 6	23466	-1.88	0.0281
BAIAP2L2	BAI1-associated protein 2-like 2	80115	-1.87	0.017
PLEKHM2	pleckstrin homology domain containing, family M (with RUN domain) member 2	23207	-1.87	0.0168
PTRF	polymerase I and transcript release factor	284119	-1.87	0.0288
FXR2	fragile X mental retardation, autosomal homolog 2	9513	-1.86	0.0289
NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	4881	-1.86	0.0318
SH2B1	SH2B adaptor protein 1	25970	-1.85	0.0281
CFLAR	CASP8 and FADD-like apoptosis regulator	8837	-1.85	0.0299
RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	55103	-1.84	0.0327
SCYL1	SCY1-like 1 (S. cerevisiae)	57410	-1.84	0.018
GPR157	G protein-coupled receptor 157	80045	-1.83	0.0364
CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	9150	-1.82	0.0335
DDR1	discoidin domain receptor family, member 1	780	-1.82	0.0308
PDLIM5	PDZ and LIM domain 5	10611	-1.82	0.0183
ACSS1	acyl-CoA synthetase short-chain family member 1	84532	-1.82	0.0355
CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	835	-1.81	0.0459
SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	6510	-1.81	0.0364
AP1B1	adaptor-related protein complex 1, beta 1 subunit	162	-1.8	0.0323
STK11	serine/threonine kinase 11	6794	-1.8	0.0316
EP400	E1A binding protein p400	57634	-1.8	0.0492
