Gene name	Acc. no.	Fold change	q-value	Biological function	Regulation
RIKEN cDNA 2700023J09 gene	640968	7.58623	11.618332	Gene with protein product, function unknown	Up-Regulated
EST	640565	2.32973	11.618332	Function unknown	Up-Regulated
EST	640372	2.00078	11.618332	Function unknown	Up-Regulated
EST	640376	3.29822	11.618332	Function unknown	Up-Regulated
EST	640543	2.30492	11.618332	Function unknown	Up-Regulated
CCAAT/enhancer binding protein (C/EBP),  gamma	641074	0.37300	15.624653	DNA binding activity	Down-Regulated
EST	641020	0.54762	15.624653	Function unknown	Down-Regulated
Riken cDNA 573058B09 gene	639881	0.26208	15.624653	Gene with protein product, function unknown	Down-Regulated
TRIO and F-actin binding protein	640097	0.39606	15.624653	rhoa-binding protein involved in control of the actin cytoskeleton.	Down-Regulated
EST	573767	2.44099	12.135922	Function unknown	Up-Regulated
WD repeat domain 12 (Wdr12)	640744	7.95442	12.135922	Notch sinaling pathway	Up-Regulated
Cytoplasmic protein NCK (Nck2)	640608	4.89873	12.135922	Kinase activity	Up-Regulated
EST	640771	7.86661	12.135922	Function unknown	Up-Regulated
mRNA, EST	573918	0.18508	12.135922	Function unknown	Down-Regulated
EST	640443	2.81223	8.3333333	Function unknown	Up-Regulated
Hmg-17 chromossomal protein	640742	3.12432	8.3333333	DNA binding	Up-Regulated
CDK2 (cyclin-dependent kinase 2)-associated protein 1 (Cdkap1)	639843	4.63247	8.3333333	Cell growth and/or maintenance	Up-Regulated
EST	640280	3.42522	8.3333333		Up-Regulated
40S ribosomal protein S25	640390	6.96734	8.3333333	Structural constituent of ribosome	Up-Regulated
60S ribosomal protein L39	640343		8.3333333	Structural constituent of ribosome	Up-Regulated
6.8 kd mitochondrial proteolipid	640669	2.55758	23.647416	Function unknown	Up-Regulated
DNA Primase, p58 subunit (Prim2)	573647	2.05954	23.647416	Polymerase activity	Up-Regulated
EST	640794	2.18228	12.418182	Function unknown	Up-Regulated
EST	640275	2.17394	7.3048128	Function unknown	Up-Regulated
EST	640374	0.51570	7.3048128	Function unknown	Down-Regulated
EST	639813	0.23284	7.3048128	Function unknown	Down-Regulated
Riken cDNA 1200015A19 gene	640322	0.14357	7.3048128	Gene with protein product, function unknown	Down-Regulated
EST	639765	0.17570	7.3048128	Function unknown	Down-Regulated
Nudix (nucleoside diphosphate linked moiety X)-type motif 4 (Nudt4)	640649	0.22879	7.3048128	Hydrolase activity	Down-Regulated
EST	641114	0.54883	7.3048128	Function unknown	Down-Regulated
EST	640325	0.21976	7.3048128	Function unknown	Down-Regulated
EST	641020	0.56517	7.3048128	Function unknown	Down-Regulated
Riken cDNA 2610307P16 gene (2610307P16 Rik)	639668	0.26996	7.3048128	Gene with protein product, function unknown	Down-Regulated
EST	641023	0.19152	7.3048128	Function unknown	Down-Regulated
Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator (Arts)	640722	0.42886	7.3048128	Aminopeptidase associated with antigen processing in the endoplasmic reticulum (ERAAP)	Down-Regulated
RIKEN cDNA A530054B12 gene (A530054B12Rik)	641019	0.35730	7.3048128	May be involved in transcriptional regulation	Down-Regulated
