Gene	F-C	Description	Treatment
Ccl19	0.23	Chemokine (C–C motif) ligand 19: Chemokine that attracts mature DCs and T-cells.	Thalidomide
Fcer2a	0.24	Fc receptor, IgE, low affinity II, alpha polypeptide: Recruiter of B-cells.	Thalidomide
Cxcr5	0.28	Chemochine (C-X-C motif) receptor 5: Plays a role in B cell migration.	Thalidomide
Il1f6	0.34	Interleukin 1 family, member 6: Involved in immune and inflammatory responses.	Thalidomide
Slc16a6	0.37	Solute carrier family 16 (monocarboxylic acid transporters), member 6	Thalidomide
Ell3	0.39	Elongation factor RNA polymerase II-like 3: Involved in transcription processing.	Thalidomide
Adam6	0.4	A disintegrin and metallopeptidase domain 6	Thalidomide
Ypel1	0.43	Yippee-like 1: May play a role in epithelioid conversion of fibroblasts.	Thalidomide
Rcc1	0.43	Regulator of chromosome condensation 1: Involved with nuclear transport function.	Thalidomide
Alk	0.45	Anaplastic lymphoma kinase: Protooncogene associated with large cell lymphomas.	Thalidomide
Tax1bp1	2.4	Human T-cell leukaemia virus type I binding protein 1: Involved in NF-kB and JNK function.	Thalidomide
Trip12	2.3	Thyroid hormone receptor interactor 12	Thalidomide
Rad51l3	2.2	RAD51-like 3: Involved in the repairpathway of double-stranded DNA breaks.	Thalidomide
Rnf186	1.9	Ring finger protein 186	Thalidomide
Lcn12	1.9	Lipocalin 12: Involved in inflammation caused by immune system activation.	Thalidomide
Efha1	1.9	EF hand domain family A1	Thalidomide
Tgs1	1.8	Trimethylguanosine synthase homolog: Plays a role in transcriptional regulation.	Thalidomide
Znrf1	1.8	Zinc and ring finger 1: An E3 ubiquitinprotein ligase.	Thalidomide
Boll	1.7	Bol, boule-like: Has a role in RNA and protein binding. Also a possible translation factor.	Thalidomide
Riok3	1.7	RIO kinase 3: Has a role in chromosome segregation.	Thalidomide
Cldn7	0.32	Claudin 7: Involved in the formation of tight junctions between epithelial cells.	Lenalidomide
Alk	0.35	Anaplastic lymphoma kinase: Protooncogene associated with large cell lymphomas.	Lenalidomide
Myo1b	0.36	Myosin 1b: As roles in cell migration, neurite outgrowth and vesicular transport.	Lenalidomide
Fcer2a	0.38	Fc receptor, IgE, low affinity II, alpha polypeptide: Recruiter of B-cells.	Lenalidomide
Ell3	0.4	Elongation factor RNA polymerase II-like 3: Involved in transcription processing.	Lenalidomide
Ptn	0.41	Pleiotrophin	Lenalidomide
Lrrc15	0.42	Leucine rich repeat containing 15: Involved in cell-to-cell/ECM interactions.	Lenalidomide
Prl3d2	0.42	Prolactin family 3, subfamily d, member 1	Lenalidomide
Dct	0.42	Dopachrome tautomerase	Lenalidomide
Kctd12b	0.43	Potassium channel tetramerisation domain containing 12b	Lenalidomide
Havcr2	3.3	Hepatitis A virus cellular receptor 2: Regulates macrophage activation.	Lenalidomide
Klra5	3.2	Killer cell lectin-like receptor, subfamily A, member 5	Lenalidomide
Siglec5	2.4	Sialic acid binding Ig-like lectin 5: Putative adhesion molecule	Lenalidomide
Aldh4a1	2.3	Aldehyde dehydrogenase 4 family, member A1	Lenalidomide
Kif5c	2.2	Kinesin family member 5C: A protein that may play a role in organelle transport.	Lenalidomide
Tg	2.2	Thyroglobulin	Lenalidomide
X1r4b	2.2	X-linked lymphocyte-regulated 4B	Lenalidomide
CD226	2.1	CD226 antigen: Receptor involved in intercellular adhesion and lymphocyte signaling.	Lenalidomide
Ubash3a	2.1	Ubiquitin associated and SH3 domain containing A: Promotes accumulation of TCRs.	Lenalidomide
Fasl	2.1	Fas ligand: Involved in cytotoxic T-cell mediated apoptosis and T-cell development.	Lenalidomide
Cry1	0.42	Cryptochrome 1	Pomalidomide
Olfr1066	0.45	Olfactory receptor 1066	Pomalidomide
Ipo11	0.47	Importin 11: Involved in nuclear protein import serving as nuclear transport receptor.	Pomalidomide
Umod	0.48	Uromodulin: Regulates the circulating activity of cytokines (e.g. IL-2 and TNFa).	Pomalidomide
Tmeff2	0.48	Transmembrane protein with EGF-like and two follistatin-like domains 2	Pomalidomide
Tnfsf11	0.48	Tumour necrosis factor superfamily, member 11: Augments DC stimulation of T-cells.	Pomalidomide
Nnat	0.53	Neuronatin	Pomalidomide
Bex4	0.55	Brain expressed gene 4	Pomalidomide
Cited4	0.56	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain 4	Pomalidomide
Olfr52	0.56	Olfactory receptor 52	Pomalidomide
Clip4	1.9	CAP-GLY domain containing linker protein family, member 4	Pomalidomide
Adamts12	1.9	A disintegrin-like and metallopeptidase with thrombospondin type 1 motif 12: Plays a role in tumour progression via regulation of cell adhesion.	Pomalidomide
Sds	1.9	Serine dehydratase	Pomalidomide
Nek11	1.7	NIMA (never in mitosis gene a)-related expressed kinase 11	Pomalidomide
Rgs9 bp	1.7	Regulator of G-protein signalling 9 binding protein	Pomalidomide
Olfr1307	1.6	Olfactory receptor 1307	Pomalidomide
Hist1h1d	1.5	Histone cluster 1, H1d: Chromosomal packaging and arrangements.	Pomalidomide
Pdc	1.5	Phosducin	Pomalidomide
Cyp2j13	1.5	Cytochrome P450, family 2, subfamily j, polypeptide 13	Pomalidomide
Manea	1.4	Mannosidase, endo-alpha	Pomalidomide
