Gene title	Gene symbol	30 min (LPS / Vehicle) Nrf2 -/-	30 min (LPS / Vehicle) Nrf2 +/+	1 h (LPS / Vehicle) Nrf2 -/-	1 h (LPS / Vehicle) Nrf2 +/+	6 h (LPS / Vehicle) Nrf2 -/-	6 h (LPS / Vehicle) Nrf2 +/+	12 h (LPS / Vehicle) Nrf2 -/-	12 h (LPS / Vehicle) Nrf2 +/+	24 h (LPS / Vehicle) Nrf2 -/-	24 h (LPS / Vehicle) Nrf2 +/+
Heat shock protein 1A	Hspa1a	30.1 +- 0.4	23.3 +- 0.5	2.8 +- 0.5	1.5 +- 0.4	---	---	---	---	---	1.7 +- 0.4
Heat shock protein 8	Hspa8	2.1 +- 0.4	4.3 +- 0.5	1.5 +- 0.4	---	---	---	---	---	1.7 +- 0.4	2.4 +- 0.4
Metallothionein 2	Mt2	1.8 +- 0.5	---	5.6 +- 0.5	3.6 +- 0.4	8.5 +- 0.5	6.2 +- 0.4	7.5 +- 0.5	5.2 +- 0.4	2.0 +- 0.6	1.6 +- 0.4
Orosomucoid 1	Orm1	---	---	1.6 +- 0.5	---	22.9 +- 0.4	14.8 +- 0.7	21.1 +- 0.5	12.0 +- 0.7	3.1 +- 0.6	5.1 +- 0.7
Orosomucoid 2	Orm2	---	---	---	---	6.0 +- 0.4	3.8 +- 0.6	7.2 +- 0.5	3.8 +- 0.5	3.5 +- 0.5	3.3 +- 0.5
Serine (or cysteine) proteinase inhibitor, clade A, member 1a	Serpina1a	---	---	---	---	---	---	---	43.1 +- 0.5	---	---
Serine (or cysteine) proteinase inhibitor, clade A, member 3C	Serpina3c	---	---	1.8 +- 0.5	---	6.7 +- 0.4	8.2 +- 0.5	3.6 +- 0.7	3.3 +- 0.5	---	1.6 +- 0.4
Serine (or cysteine) proteinase inhibitor, clade A, member 3G	Serpina3g	1.9 +- 0.5	---	3.2 +- 0.5	1.5 +- 0.4	14.7 +- 0.4	9.4 +- 0.4	10.1 +- 0.4	7.0 +- 0.4	2.6 +- 0.5	---
Serine (or cysteine) proteinase inhibitor, clade A, member 3M	Serpina3m	---	---	---	---	8.0 +- 0.4	5.7 +- 0.4	10.9 +- 0.5	3.5 +- 0.4	3.2 +- 0.5	2.0 +- 0.4
Serine (or cysteine) proteinase inhibitor, clade A, member 3N	Serpina3n	---	---	4.2 +- 0.6	3.7 +- 0.6	11.2 +- 0.5	31.3 +- 0.4	12.5 +- 0.5	30.7 +- 0.4	6.7 +- 0.5	16.3 +- 0.4
Serine (or cysteine) proteinase inhibitor, clade B, member 2	Serpinb2	14.3 +- 0.6	---	18.5 +- 0.5	10.1 +- 0.6	5.0 +- 0.6	2.1 +- 0.5	3.9 +- 0.7	---	2.9 +- 0.6	---
Serine (or cysteine) proteinase inhibitor, clade E, member 1	Serpine1	10.9 +- 0.4	8.1 +- 0.4	32.4 +- 0.4	24.3 +- 0.4	23.8 +- 0.4	23.8 +- 0.4	9.3 +- 0.5	15.7 +- 0.4	2.3 +- 0.5	3.8 +- 0.5
Serum amyloid A 1	Saa1	---	---	3.1 +- 0.5	---	93.1 +- 0.4	95.7 +- 0.5	66.3 +- 0.4	76.6 +- 0.5	23.4 +- 0.4	32.7 +- 0.5
Serum amyloid A 2	Saa2	---	---	---	---	28.1 +- 0.4	19.8 +- 0.4	16.2 +- 0.4	12.5 +- 0.4	5.1 +- 0.5	---
Serum amyloid A 3	Saa3	3.0 +- 0.5	---	18.0 +- 0.4	4.0 +- 0.9	85.6 +- 0.4	25.5 +- 0.8	90.5 +- 0.5	24.9 +- 0.8	61.0 +- 0.4	22 +- 0.8
