GenBank Accession Number	Name	Expression ratio  Cl 1/SMMC7721(average)	Known functions
AF012281	PDZ domain containing protein 1	0.45	Overexpressed in some epithelial tumors[12]
M26326	keratin 18	0.42	binds to keratin 8 to provide resistance to Fas-mediated apoptosis[13]
K00558	tubulin alpha, ubiquitous	0.4	Microtubule component
D31885	ADP-ribosylation factor 6-like Interacting protein	0.47	Activator of signal transduction pathways
J03592	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	0.28	ADP/ATP translocase[14]
BE222923	highly similar to spectrin Beta chain	0.34	Essential for TGF-Beta signalling[15]
AF000989	thymosin beta4, Y chromosome	0.46	Related to cell differentiation; increasing expression enhances metastasis[16]
X06256	integrin alpha5 (fibronnectin receptor)	0.29	Cell growth regulator[17]
AL035297	human gene from PAC 747 L4	0.27	Function unknown
AK001187	hypothetical protein FLJ14642	0.37	Function unknown
AA885521	KIAA1409 protein	0.4	Function unknown
