Symbol	Locus Link Gene Name	Variation
C9orf19	chromosome 9 open reading frame 19	Down-Regulated
CACNB4	calcium channel, voltage-dependent, beta 4 subunit	Down-Regulated
DDIT3	DNA-damage-inducible transcript 3	Down-Regulated
DKFZp434K0621	procollagen, type XXIII, alpha 1 (Interim)	Down-Regulated
ECRG4	esophageal cancer related gene 4 protein (Interim)	Down-Regulated
EFA6R	ADP-ribosylation factor guanine nucleotide factor 6 (Interim)	Down-Regulated
FLJ14490	hypothetical protein FLJ14490	Down-Regulated
FLJ37034	hypothetical protein FLJ37034 (Interim)	Down-Regulated
KIAA1919	KIAA1919 protein (Interim)	Down-Regulated
MID1IP1	MID1 interacting protein 1	Down-Regulated
MUC15	mucin 15 (Interim)	Down-Regulated
NET1	neuroepithelial cell transforming gene 1	Down-Regulated
PBX3	pre-B-cell leukemia transcription factor 3	Down-Regulated
PCP4	Purkinje cell protein 4	Down-Regulated
PDE8B	phosphodiesterase 8B	Down-Regulated
PDGFRL	platelet-derived growth factor receptor-like	Down-Regulated
SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	Down-Regulated
SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	Down-Regulated
SLC7A2	SLC7A2: solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	Down-Regulated
SORCS1	VPS10 domain receptor protein SORCS 1 (Interim)	Down-Regulated
ST6GalII	alpha 2,6-sialyltransferase (Interim)	Down-Regulated
TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	Down-Regulated
TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	Down-Regulated
UCC1	upregulated in colorectal cancer gene 1 (Interim)	Down-Regulated
A2BP1	ataxin 2-binding protein 1 (Interim)	Up-Regulated
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	Up-Regulated
ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	Up-Regulated
AK3L1	adenylate kinase 3 like 1	Up-Regulated
ANGPTL4	angiopoietin-like 4	Up-Regulated
APOA1	apolipoprotein A-I	Up-Regulated
AQP7	aquaporin 7	Up-Regulated
ATP10B	ATPase, Class V, type 10B	Up-Regulated
BIGM103	BCG-induced gene in monocytes, clone 103 (Interim)	Up-Regulated
BMF	Bcl-2 modifying factor (Interim)	Up-Regulated
CHIA	eosinophil chemotactic cytokine (Interim)	Up-Regulated
CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	Up-Regulated
CKMT1	creatine kinase, mitochondrial 1 (ubiquitous)	Up-Regulated
clone IMAGE:5274294	type I collagen preproprotein; Collagen I, alpha-1 polypeptide; osteogenesis imperfecta type IV; collagen of skin, tendon and bone, alpha-1 chain	Up-Regulated
CTHRC1	collagen triple helix repeat containing 1	Up-Regulated
D2S448	Melanoma associated gene (Interim)	Up-Regulated
DAAM2	dishevelled associated activator of morphogenesis 2	Up-Regulated
DGAT2	diacylglycerol O-acyltransferase homolog 2 (mouse)	Up-Regulated
DHCR24	24-dehydrocholesterol reductase	Up-Regulated
DSCR1L1	Down syndrome critical region gene 1-like 1	Up-Regulated
ENO3	enolase 3, (beta, muscle)	Up-Regulated
EPB41L3	erythrocyte membrane protein band 4.1-like 3	Up-Regulated
ESM1	endothelial cell-specific molecule 1	Up-Regulated
F13A1	coagulation factor XIII, A1 polypeptide	Up-Regulated
FBN1	fibrillin 1 (Marfan syndrome)	Up-Regulated
FBN2	fibrillin 2 (congenital contractural arachnodactyly)	Up-Regulated
FBP1	fructose-1,6-bisphosphatase 1	Up-Regulated
FGD3	FGD1 family, member 3	Up-Regulated
FLJ11154	Homo sapiens cDNA FLJ11154 fis, clone PLACE1006932.	Up-Regulated
FLJ14337	Homo sapiens cDNA FLJ14337 fis, clone PLACE4000494.	Up-Regulated
FLJ20489	FLJ20489	Up-Regulated
FLJ21245	Homo sapiens cDNA: FLJ21245 fis, clone COL01184.	Up-Regulated
FLJ22390	hypothetical protein FLJ22390 (Interim)	Up-Regulated
FLJ38736	FLJ38736 ; repeat domain 7 protein, isoform 2; TGF-beta resistance associated gene [Homo sapiens]	Up-Regulated
FLJ41259	Homo sapiens cDNA FLJ41259 fis, clone BRAMY2034305	Up-Regulated
FLJ90586	hypothetical protein FLJ90586 (Interim)	Up-Regulated
FRCP2	likely ortholog of mouse fibronectin type III repeat containing protein 2	Up-Regulated
GADD45G	growth arrest and DNA-damage-inducible, gamma	Up-Regulated
GCGR	glucagon receptor	Up-Regulated
GDF5	growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)	Up-Regulated
GSN	gelsolin (amyloidosis, Finnish type)	Up-Regulated
HBP17	heparin-binding growth factor binding protein (Interim)	Up-Regulated
HIST1H1C	H1 histone family, member 2	Up-Regulated
IGFL2	insulin growth factor-like family member 2	Up-Regulated
KIAA1511	zinc finger, SWIM domain containing 5	Up-Regulated
LOC196996	1BGM O Chain O, Beta-Galactosidase (Chains I-P	Up-Regulated
MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	Up-Regulated
MRF2	modulator recognition factor 2 (Interim)	Up-Regulated
MT1G	metallothionein 1G	Up-Regulated
MT1H	metallothionein 1H	Up-Regulated
MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	Up-Regulated
NELL2	NEL-like 2 (chicken)	Up-Regulated
NRG1	neuregulin 1	Up-Regulated
PAPLN	hypothetical protein MGC50452	Up-Regulated
PGF	placental growth factor, vascular endothelial growth factor-related protein	Up-Regulated
PIP3-E	phosphoinositide-binding protein PIP3-E	Up-Regulated
PMP22	peripheral myelin protein 22	Up-Regulated
PPARG	peroxisome proliferative activated receptor, gamma	Up-Regulated
RAB15	Homo sapiens RAB15, member RAS onocogene family, mRNA	Up-Regulated
RDC1	G protein-coupled receptor (Interim)	Up-Regulated
SEDL	spondyloepiphyseal dysplasia, late	Up-Regulated
SIAT9	sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase; GM3 synthase)	Up-Regulated
similar to SFQP	Hs.148891	Up-Regulated
SLC19A1	solute carrier family 19 (folate transporter), member 1	Up-Regulated
TGFA	transforming growth factor, alpha	Up-Regulated
TNFRSF21	tumor necrosis factor receptor superfamily, member 21	Up-Regulated
TRPV6	transient receptor potential cation channel, subfamily V, member 6	Up-Regulated
TSAP6	dudulin 2 (Interim)	Up-Regulated
XK	Kell blood group precursor (McLeod phenotype)	Up-Regulated
