Affymetrix number	Gene Name	Gene Symbol	Reference Number	Above/Below mean
36650_at	cyclin D2	CCND2	D13639	Above
40196_at	HYA22 protein	HYA22	D88153	Above
1635_at	proto-oncogene tyrosine-protein kinase (ABL) gene	ABL	U07563	Above
33775_s_at	caspase 8 apoptosis-related cysteine protease	CASP8	X98176	Above
1636_g_at	proto-oncogene tyrosine-protein kinase (ABL) gene	ABL	U07563	Above
41295_at	GTT1 protein	GTT1	AL041780	Above
1326_at	caspase 10 apoptosis-related cysteine protease	CASP10	U60519	Above
33150_at	disrupter of silencing 10	SAS10	AI126004	Above
40051_at	TRAM-like protein	KIAA0057	D31762	Above
39061_at	bone marrow stromal cell antigen 2	BST2	D28137	Above
33172_at	hypothetical protein FLJ10849	FLJ10849	T75292	Above
37399_at	aldo-keto reductase family 1 member C3 3-alpha hydroxysteroid dehydrogenase type II	AKR1C3	D17793	Above
317_at	protease cysteine 1 legumain	PRSC1	D55696	Above
330_s_at	tubulin, alpha 1, isoform 44	TUBA1	HG2259-HT2348	Above
38578_at	tumor necrosis factor receptor superfamily member 7	TNFRSF7	M63928	Above
39044_s_at	diacylglycerol kinase delta 130kD	DGKD	D73409	Below
32562_at	endoglin Osler-Rendu-Weber syndrome 1	ENG	X72012	Above
38641_at	Homo sapiens mRNA for TSC-22-like protein	NA	AJ133115	Above
1211_s_at	CASP2 and RIPK1 domain containing adaptor with death domain	CRADD	U84388	Above
39730_at	v-abl Abelson murine leukemia viral oncogene homolog 1	ABL1	X16416	Above
36591_at	tubulin alpha 1 testis specific	TUBA1	X06956	Above
36035_at	anchor attachment protein 1 Gaa1p yeast homolog	GPAA1	AB002135	Above
980_at	Niemann-Pick disease type C1	NPC1	AF002020	Above
40698_at	C-type calcium dependent carbohydrate-recognition domain lectin superfamily member 2 activation-induced	CLECSF2	X96719	Above
39330_s_at	actinin alpha 1	ACTN1	M95178	Above
2001_g_at	ataxia telangiectasia mutated includes complementation groups A C and D	ATM	U26455	Above
39319_at	lymphocyte cytosolic protein 2 SH2 domain-containing leukocyte protein of 76kD	LCP2	U20158	Above
37685_at	Clathrin assembly lymphoid-myeloid leukemia gene	CLTH	U45976	Above
33813_at	tumor necrosis factor receptor superfamily member 1B	TNFRSF1B	AI813532	Above
33134_at	adenylate cyclase 3	ADCY3	AB011083	Above
36536_at	schwannomin interacting protein 1	SCHIP-1	AF070614	Above
36985_at	isopentenyl-diphosphate delta isomerase	IDI1	X17025	Below
35991_at	Sm protein F	LSM6	AA917945	Above
33774_at	caspase 8 apoptosis-related cysteine protease	CASP8	X98172	Above
37470_at	leukocyte-associated Ig-like receptor 1	LAIR1	AF013249	Above
39245_at	Human 40871 mRNA partial sequence	NA	U72507	Above
40076_at	tumor protein D52-like 2	TPD52L2	AF004430	Below
39370_at	Microtubule-associated proteins 1A and 1B light chain 3	MAP1ALC3	W28807	Below
41594_at	Janus kinase 1 a protein tyrosine kinase	JAK1	M64174	Above
41338_at	amino-terminal enhancer of split	AES	AI969192	Below
32319_at	tumor necrosis factor ligand superfamily member 4 tax-transcriptionally activated glycoprotein 1 34kD	TNFSF4	AL022310	Above
33924_at	KIAA1091 protein	KIAA1091	AB029014	Above
37397_at	 platelet/endothelial cell adhesion molecule-1 (PECAM-1) gene	PECAM	L34657	Above
37190_at	WAS protein family member 1	WASF1	D87459	Below
39070_at	singed Drosophila like sea urchin fascin homolog like	SNL	U03057	Above
38994_at	STAT induced STAT inhibitor-2	STATI2	AF037989	Above
32621_at	down-regulator of transcription 1 TBP-binding negative cofactor 2	DR1	M97388	Above
40108_at	KIAA0005 gene product	KIAA0005	D13630	Below
35238_at	TNF receptor-associated factor 5	TRAF5	AB000509	Above
1558_g_at	p21/Cdc42/Rac1-activated kinase 1 yeast Ste20-related	PAK1	U24152	Above
1373_at	transcription factor 3 E2A immunoglobulin enhancer binding factors E12/E47	TCF3	M31523	Below
35731_at	integrin alpha 4 antigen CD49D alpha 4 subunit of VLA-4 receptor	ITGA4	X16983	Above
38659_at	suppressor of clear C. elegans homolog of	SHOC2	AB020669	Below
