Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
200041_s_at	1.7	1	HLA-B associated transcript-1	D6S81E
200644_at	-1.8	-1	macrophage myristoylated alanine-rich C kinasesubstrate	MACMARCKS
200692_s_at	1.3	2.7	heat shock 70kD protein 9B (mortalin-2)	HSPA9B
200762_at	-1.9	-1.9	dihydropyrimidinase-like 2	DPYSL2
200806_s_at	1.8	1.7	heat shock 60kD protein 1 (chaperonin)	HSPD1
200883_at	1.4	1	ubiquinol-cytochrome c reductase core protein II	UQCRC2
200900_s_at	2.8	1.4	mannose-6-phosphate receptor (cation dependent)	M6PR
200993_at	1	1.2	RAN binding protein 7	RANBP7
201014_s_at	1.4	2	multifunctional polypeptide similar to SAICARsynthetase and AIR carboxylase	ADE2H1
201068_s_at	1	1	proteasome (prosome, macropain) 26S subunit,ATPase, 2	PSMC2
201110_s_at	-2.3	-1.9	thrombospondin 1	THBS1
201112_s_at	1.1	2.1	chromosome segregation 1 (yeast homolog)-like	CSE1L
201117_s_at	-1.9	-1.3	carboxypeptidase E precursor	CPE
201163_s_at	-2.2	-1.6	insulin-like growth factor binding protein 7	IGFBP7
201198_s_at	1.2	1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	PSMD1
201291_s_at	4.5	2.1	topoisomerase (DNA) II alpha (170kD)	TOP2A
201292_at	2	2.1	topoisomerase (DNA) II alpha (170kD)	TOP2A
201506_at	1.2	1.3	transforming growth factor, beta-induced, 68kD	TGFBI
201577_at	1.2	1.2	non-metastatic cells 1 protein	NME1
201725_at	1.4	1.1	D123 gene product	D123
201811_x_at	-1	-1.2	SH3-domain binding protein 5 (BTK-associated)	SH3BP5
201831_s_at	3.1	4.4	vesicle docking protein p115	P115
201859_at	-1.6	-1.1	proteoglycan 1, secretory granule	PRG1
201897_s_at	1.1	1.6	CDC28 protein kinase 1	CKS1
201946_s_at	1.2	2.6	chaperonin containing TCP1, subunit 2 (beta)	CCT2
201970_s_at	1.7	2.9	nuclear autoantigenic sperm protein(histone-binding)	NASP
202157_s_at	-1	-1.2	RNA-binding protein BRUNOL3	BRUNOL3
202403_s_at	-1.3	-2	collagen, type I, alpha 2	COL1A2
202436_s_at	-2.2	-1.2	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)	CYP1B1
202437_s_at	-3.5	-2.7	cytochrome P450, subfamily I (dioxin-inducible),polypeptide 1	CYP1B1
202546_at	1	3.2	vesicle-associated membrane protein 8	VAMP8
202572_s_at	-1.1	-1.2	Homo sapiens KIAA0964 protein (KIAA0964), mRNA.	KIAA0964
202908_at	-1.1	-1.2	Wolfram syndrome protein	WFS1
203103_s_at	1.1	1.6	nuclear matrix protein NMP200 related tosplicing factor PRP19	NMP200
203203_s_at	1.1	1.4	HIV-1 rev binding protein 2	HRB2
203213_at	1.7	1.5	cell division cycle 2, G1 to S and G2 to M	CDC2
203345_s_at	1.3	1.7	putative DNA binding protein	M96
203554_x_at	1.1	1	pituitary tumor-transforming protein 1	PTTG1
203603_s_at	-2.2	-1.6	zinc finger homeobox 1B	ZFHX1B
203697_at	-3.9	-3.2	Human Fritz mRNA, complete cds.	FRZB
203698_s_at	-2.8	-2.7	frizzled-related protein	FRZB
203706_s_at	-1.1	-1.5	frizzled 7	FZD7
203764_at	1.9	1.4	KIAA0008 gene product	KIAA0008
203903_s_at	-1.2	-1.8	hephaestin	HEPH
204154_at	-1.4	-1.1	cysteine dioxygenase, type I	CDO1
204162_at	2.9	1.9	highly expressed in cancer, rich in leucineheptad repeats	HEC
204197_s_at	-1.6	-1.1	runt-related transcription factor 3	RUNX3
204237_at	-1.2	-1	CED-6 protein	CED-6
204271_s_at	-2	-1.3	endothelin receptor	ETs
204273_at	-2.8	-1.3	endothelin receptor type B, isoform 1	EDNRB
204464_s_at	-1.1	-1.4	endothelin receptor type A	EDNRA
204529_s_at	-1.8	-2.2	KIAA0808 gene product	KIAA0808
204602_at	-1.3	-1.9	dickkopf (Xenopus laevis) homolog 1	DKK1
204620_s_at	-2	-1.4	chondroitin sulfate proteoglycan 2 (versican)	CSPG2
204712_at	-6.6	-3.8	Wnt inhibitory factor-1	WIF-1
204766_s_at	3.7	3.3	nudix (nucleoside diphosphate linked moietyX)-type motif 1	NUDT1
204777_s_at	-2	-1.2	T-cell differentiation protein MAL, isoform a	MAL
204822_at	1.1	1.1	TTK protein kinase	TTK
204836_at	-2	-1.9	glycine dehydrogenase (decarboxylating; glycinedecarboxylase, glycine cleavage system protein P)	GLDC
204869_at	-1.6	-1.7	proprotein convertase subtilisinkexin type 2	PCSK2
204948_s_at	-1.1	-1.9	follistatin isoform FST344 precursor	FST
204962_s_at	1.5	1.7	centromere protein A	CENPA
205001_s_at	1.3	1.6	dead box, Y isoform	DBY
205064_at	-1.5	-1.3	small proline-rich protein 1B (cornifin)	SPRR1B
205066_s_at	-1.6	-2.1	ectonucleotide pyrophosphatasephosphodiesterase1	ENPP1
205170_at	-1.5	-1.4	signal transducer and activator of transcription2, 113kD	STAT2
205337_at	-2.5	-1.2	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT
205345_at	1	2.5	BRCA1 associated RING domain 1	BARD1
205383_s_at	-1.1	-1.5	zinc finger protein 288	ZNF288
205404_at	-2.1	-2.3	hydroxysteroid (11-beta) dehydrogenase 1	HSD11B1
205489_at	-1	-1.5	crystallin, mu	CRYM
205590_at	-1.3	-2.6	RAS guanyl releasing protein 1	RASGRP1
205659_at	-1.6	-2.5	histone deacetylase 7B	HDAC7B-PENDING
205694_at	-2.3	-1.5	tyrosinase-related protein 1	TYRP1
205752_s_at	-1	-1.2	glutathione S-transferase M5	GSTM5
205794_s_at	-1.8	-1.6	neuro-oncological ventral antigen 1, isoform 1	NOVA1
205848_at	-2.1	-2.6	growth arrest-specific 2	GAS2
206002_at	-2.1	-2.3	G protein-coupled receptor 64	GPR64
206140_at	-5	-4.7	LIM homeobox protein 2	LHX2
206144_at	-1.1	-1	BAI1-associated protein 1	BAIAP1
206323_x_at	-1.2	-1.2	oligophrenin 1, Rho-GTPase acivating protein	OPHN1
206377_at	-1.3	-1.2	forkhead box F2	FOXF2
206404_at	-1	-1.7	fibroblast growth factor 9 (glia-activatingfactor)	FGF9
206421_s_at	1.8	4	serine (or cysteine) proteinase inhibitor, cladeB (ovalbumin), member 7	SERPINB7
206426_at	-1	-1.5	melan-A	MLANA
206465_at	-2.3	-3.5	very long-chain acyl-CoA synthetase; lipidosin	KIAA0631
206562_s_at	1.2	1.5	casein kinase 1, alpha 1	CSNK1A1
206766_at	-1.1	-1.4	integrin alpha 10 subunit	ITGA10
206953_s_at	-1	-1.6	latrophilin	KIAA0786
207016_s_at	-2.2	-2	Homo sapiens mRNA for RALDH2-T, complete cds.	RALDH2
207165_at	2.1	1.6	hyaluronan-mediated motility receptor (RHAMM)	HMMR
207173_x_at	-1.8	-2.4	OB-cadherin-1	osf-4
207175_at	-1.9	-2.3	adipose most abundant gene transcript 1	APM1
207184_at	-1.1	-1.5	solute carrier family 6 (neurotransmittertransporter, GABA), member 13	SLC6A13
207345_at	-2	-2.3	follistatin isoform FST317 precursor	FST
207369_at	-1.4	-1.8	bombesin-like receptor 3	BRS3
207594_s_at	-1	-1.7	synaptojanin 1	SYNJ1
208095_s_at	1.8	1.2	calciumcalmodulin-dependent protein kinase (CaMkinase) II gamma	CAMK2G
208309_s_at	1	1.4	mucosa associated lymphoid tissue lymphomatranslocation gene 1	MALT1
208650_s_at	-1.5	-1.1	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
208662_s_at	1	1.4	tetratricopeptide repeat domain 3	TTC3
209024_s_at	1.2	1	NS1-associated protein 1	NSAP1
209040_s_at	1.5	3.4	proteasome subunit LMP7	LMP7
209140_x_at	1	2	Homo sapiens MHC HLA-B39 mRNA, complete cds.	HLA-B39
209168_at	-1.5	-1.3	glycoprotein M6B	GPM6B
209170_s_at	-2.5	-1.7	Homo sapiens m6b1 mRNA, complete cds.	m6b1
209360_s_at	-2.3	-1.4	AML1b protein	AML1
