ID	Description	IS ratio	Function
AA667100	BLAST: XM_128828 GATA-6	2.6	transcription
U73478	acidic nuclear phosphorprotein 32	2.6	development
L09737	GTP cyclohydrolase 1	2.3	angiogenesis reg.
D18912	BLAST: BC029234 ADP-ribosylation-like 4	2.3	misc.
AF021345	selenoprotein P (SELP)	2.2	metabolism
AI848032	BLAST: AK087414 coronin 2B	2.2	misc.
X16009	mrp/prl	2.1	angiogenesis reg.
U03421	interleukin 11	2.1	cytokine
X79003	integrin alpha 5	2	adhesion
AI843384	BLAST: BC019982 TK2	1.9	DNA synthesis/repair
D11091	protein kinase C theta	1.9	signal transduction
AI552528	unknown	1.9	misc.
AI790103	BLAST: BC002102 Ifitm31	1.9	misc.
AI853714	BLAST: NM_007798 cathepsin B	1.8	misc.
L76155	Bat4	1.8	metabolism
X92842	surfeit gene 6	1.8	nucleolar matrix
AI314706	unknown	1.7	misc.
AI845935	BLAST: AB042855 GNB-1	1.7	signal transduction
AA170696	BLAST: BC016198 ICAM	1.7	adhesion
U95826	cyclin G2	1.7	cell cycle reg.
D86344	topoisomerase-inhibitor suppressed	1.7	apoptosis reg.
AI850923	unknown	1.7	misc.
X07439	Hox-3.1	1.6	angiogenesis reg.
D76446	TAK1 (TGF-beta–activated kinase)	1.6	signal transduction
AI853375	BLAST: BC050902 Mdm2	1.6	cell cycle
AI851595	unknown	1.6	misc.
M26156	histocompatibility 2	1.6	misc.
AW259499	BLAST: XM_194355 similar to hypothetical protein	1.6	misc.
AI849191	BLAST: AK003714 ZNRD1	1.6	transcription
U25691	helicase, lymphoid specific	1.6	DNA synthesis/repair
AF057368	7-dehydrocholesterol reductase	1.6	metabolism
U66835	unknown protein	1.6	misc.
AA738776	BLAST: BC026772 PSPC1	1.6	misc.
Y16894	Hus1+-like protein	1.6	misc.
X74040	mesenchyme fork head-1	1.5	signal transduction
AI836322	BLAST: AB055070 RhoGDI-1	1.5	signal transduction
U94828	regulator of G-protein signaling	1.5	signal transduction
M73696	murine Glvr-1	1.5	metabolism
X70472	myeloblastosis oncogene-like 2	1.5	oncogene
AI846118	unknown	1.5	misc.
D50418	mouse mRNA for AREC3	1.4	metabolism
AJ009862	transforming growth factor-beta 1	1.4	cytokine
U44088	TDAG51 (TDAG51)	1.4	apoptosis reg.
X65128	growth arrest specific 1	1.4	cell cycle reg.
K03235	proliferin	1.1	angiogenesis reg.
