Probeset	Gene Name	ALL Expression	AML Expression
U22376	C-myb	Up-Regulated	Down-Regulated
X59417	Proteasome iota	Up-Regulated	Down-Regulated
U05259	MB-1	Up-Regulated	Down-Regulated
M92287	Cyclin D3	Up-Regulated	Down-Regulated
M31211	Myosin light chain	Up-Regulated	Down-Regulated
X74262	RbAp48	Up-Regulated	Down-Regulated
D26156	SNF2	Up-Regulated	Down-Regulated
S50223	HkrT-1	Up-Regulated	Down-Regulated
M31523	E2A	Up-Regulated	Down-Regulated
L47738	Inducible protein	Up-Regulated	Down-Regulated
U32944	Dynein light chain	Up-Regulated	Down-Regulated
Z15115	Topoisomerase II	Up-Regulated	Down-Regulated
X15949	IRF2	Up-Regulated	Down-Regulated
X63469	TFIIE beta	Up-Regulated	Down-Regulated
M91432	Acyl-Coenzyme A dehydrogenase	Up-Regulated	Down-Regulated
U29175	SNF2	Up-Regulated	Down-Regulated
Z69881	(Ca2+)-ATPase	Up-Regulated	Down-Regulated
U20998	SRP9	Up-Regulated	Down-Regulated
D38073	MCM3	Up-Regulated	Down-Regulated
U26266	Deoxyhypusine synthase	Up-Regulated	Down-Regulated
M31303	Op 18	Up-Regulated	Down-Regulated
Y08612	Rabaptin-5	Up-Regulated	Down-Regulated
U35451	Heterochromatin protein p25	Up-Regulated	Down-Regulated
M29696	IL-7 receptor	Up-Regulated	Down-Regulated
M13792	Adenosine deaminase	Up-Regulated	Down-Regulated
M55150	Fumarylacetoacetate	Down-Regulated	Up-Regulated
X95735	Zyxin	Down-Regulated	Up-Regulated
U50136	LTC4 synthase	Down-Regulated	Up-Regulated
M16038	LYN	Down-Regulated	Up-Regulated
U82759	HoxA9	Down-Regulated	Up-Regulated
M23197	CD33	Down-Regulated	Up-Regulated
M84526	Adipsin	Down-Regulated	Up-Regulated
Y12670	Leptin receptor	Down-Regulated	Up-Regulated
M27891	Cystatin	Down-Regulated	Up-Regulated
X17042	Proteoglycan	Down-Regulated	Up-Regulated
Y00787	IL-8 precursor	Down-Regulated	Up-Regulated
M96326	Azurocidin	Down-Regulated	Up-Regulated
U46751	p62	Down-Regulated	Up-Regulated
M80254	CyP3	Down-Regulated	Up-Regulated
L08246	MCLI	Down-Regulated	Up-Regulated
M62762	ATPase	Down-Regulated	Up-Regulated
M28130	IL-8	Down-Regulated	Up-Regulated
M63138	Cathespin D	Down-Regulated	Up-Regulated
M57710	Lectin	Down-Regulated	Up-Regulated
M69043	MAD-3	Down-Regulated	Up-Regulated
M81695	CD11c	Down-Regulated	Up-Regulated
X85116	Ebp72	Down-Regulated	Up-Regulated
M19045	Lysozyme	Down-Regulated	Up-Regulated
M83652	Properdin	Down-Regulated	Up-Regulated
X04085	Catalase	Down-Regulated	Up-Regulated
