Accession	Gene	Average log ratio in intestinal type	Average log ratio in diffuse type
AA457543	-	-0.09198356	0.1039877
AA670429	-	-0.2213662	0.06167533
N69835	PBX1	-0.1177542	0.2270952
H68663	PBX1	-0.1969046	0.1101924
AA461118	DMD	-0.1157429	0.05785951
N93505	TSPAN7	-0.2768241	0.1182045
AA401275	TOX	-0.2419946	0.05605445
AA629688	-	-0.06141011	0.1464858
R81987	-	-0.1360434	0.2019795
W48762	LPXN	-0.1124145	0.09432273
AI656802	OLFM1	-0.1491132	0.04376512
AA418726	IQSEC1	-0.09175463	0.1100744
W60845	RGS5	-0.2214961	0.05177714
AA418728	PALMD	-0.02167416	0.1652153
AA977646	SCARA3	-0.1353104	0.109297
R55303	NGFR	-0.01718187	0.1934118
AA401230	PRICKLE1	-0.007209276	0.2023539
AA664237	SYNPO	-0.1944716	0.06055722
R09728	SDPR	-0.04415105	0.1338426
AA040424	-	-0.113265	0.2257262
AA193405	LPAR1	-0.1499595	0.0361622
AA704226	TNS1	-0.08802699	0.1171701
AA431770	C16orf45	-0.1422009	0.08393002
AA598478	C7	-0.128485	0.06429691
AA448569	SRPX	-0.2911727	0.1408666
AA456289	NFIA	-0.1570647	0.02582683
AA447777	TMEM119	-0.1029465	0.1405385
AI016973	-	-0.1651379	0.1273125
H17615	FBLN5	-0.1083708	0.2246357
H16578	FAT4	-0.02481767	0.2077107
AA406290	PDZRN3	-0.03555021	0.1862086
AA708621	EHD2	-0.01468661	0.1992201
AI334253	-	-0.1908435	0.008490589
AA626131	MMP23B	-0.1629564	0.05762141
AA706788	PGM5	-0.2897056	0.1109152
AA035077	MXRA7	-0.01120608	0.1626257
W94017	TNFRSF19	-0.1120295	0.08780813
AA457501	CYBRD1	-0.06534665	0.242908
AA664210	PKIG	-0.02383394	0.2003856
AA490471	SPARCL1	-0.003441634	0.3656009
AA055979	ITGA7	-0.05517853	0.2511811
AA002080	SFRP1	-0.4443661	0.006923718
AA829284	MS4A8B	-0.160145	0.06579435
AA947186	-	-0.01914242	0.2568326
H08560	IGFBP5	-0.1062397	0.1525836
AA054451	IGFBP5	-0.2071451	0.1655665
AI304790	PTGIS	-0.01207579	0.2671834
AA405486	PHLDB1	-0.009349961	0.2034103
AA447610	PODN	-0.0986452	0.2459183
AA099148	ZCCHC24	-0.04239505	0.1805408
N52151	SYNPO2	-0.1941643	0.2036777
AA167222	COL14A1	-0.1326633	0.1525373
AA219099	OGN	-0.04419234	0.3471107
AA782333	HSPB6	-0.2821654	0.2805291
AI088903	-	-0.2010881	0.05370298
AA134757	FBLN1	-0.2368163	0.2940368
AA614680	FBLN1	-0.311817	0.210721
AA436943	PYGM	-0.3084314	0.08314601
AA442695	MFAP4	-0.2507705	0.1581913
AA455925	FHL1	-0.2744744	0.133503
H57493	HSPB8	-0.2108745	0.1025509
AA010110	HSPB8	-0.2168575	0.1412788
AA504891	CRYAB	-0.07354395	0.1440699
AA455877	MRVI1	-0.1727936	0.1369108
AI668637	PLN	-0.05011017	0.3257646
AA010664	PCSK7	-0.001729634	0.3566704
AA010589	TMEM130	-0.008666023	0.331247
AA468776	LRRC61	-0.02008047	0.206414
AA398400	CNN1	-0.07846849	0.3627913
W52186	SYNPO2	-0.2018283	0.2838944
AA047418	SYNPO2	-0.2662234	0.246613
R31679	SYNPO2	-0.2880722	0.2564775
AA043349	SYNPO2	-0.2110332	0.2011277
AA126989	MYH11	-0.03836769	0.4659172
AA459944	SORBS1	-0.1853158	0.1322023
AA458487	PPP1R14A	-0.05267254	0.2365941
AA155907	DDR2	-0.03721474	0.2135163
AA126195	NEXN	-0.007409965	0.2415187
AA999901	GNG11	-0.03014431	0.2567786
AA427924	SPON1	-0.05658775	0.3869548
AA281064	FGFR1	-0.01897261	0.200594
W47363	CFL2	-0.03834997	0.2474621
AA035171	SYNPO2	-0.1709389	0.2036057
AA699782	TCF21	-0.2704061	0.002926105
AI049923	-	-0.1388855	0.06483725
AA479351	PHLDB2	-0.04827863	0.1523366
AA634385	RGMA	-0.2145469	0.1356427
AA034938	LAMA2	-0.2239696	0.002284725
N98485	FOXF2	-0.1320911	0.1002661
AA703652	SLIT3	-0.1304842	0.08348564
H26353	PTPRM	-0.1196247	0.07122833
N68463	-	-0.09898414	0.1552389
AA045327	OGN	-0.120068	0.2103042
AA131664	PRELP	-0.06437251	0.1107719
AI360264	PEX7	-0.001413929	0.322353
R66309	PAM	-0.04827263	0.1735322
AA485883	VWF	-0.01477363	0.2540037
AA521362	CR2	-0.218755	0.1067516
AA280331	ARHGAP15	-0.0742681	0.1417157
H90906	CHDH	0.112421	-0.1290415
AA682861	PARD6B	0.08225261	-0.1754002
AA136921	PARD6B	0.07599813	-0.1803368
W86859	CDH1	0.04729363	-0.3961737
AI671174	CDH1	0.1115722	-0.2087428
AA458849	SPINT2	0.1415284	-0.0571957
AI139629	ATAD2	0.1645928	-0.05231361
AA491397	HM13	0.1182032	-0.08170814
T68464	C5orf33	0.1285013	-0.04725399
H17513	HSPA1L	0.3953199	-0.03973596
T56013	HMGCS1	0.2099891	-0.09903886
AA704519	ARHGEF5	0.02238549	-0.2266988
AA047260	-	0.09259836	-0.1304022
AA452933	HIST1H2AC	0.1353905	-0.05975445
AI287555	HIST1H2BG	0.05896303	-0.2181464
AA010753	RHOJ	-0.0295275	0.1421209
AA916337	PTCH1	-0.2781623	0.03913388
AA778001	RAMP2	-0.1350335	0.07701075
AA865147	IGHG2	-0.3442757	0.001251042
T97553	DTX1	-0.09917659	0.1753272
AA398289	NFASC	-0.1628561	0.07253022
AA436871	STX3	-0.1066741	0.05671714
T48691	ADRA2A	-0.06417195	0.2881287
