Agilent ProbeName	GeneID	GeneName	logFC	P.Value	adj.P.Val
A_17_P10986510	TIP39	TUBEROINFUNDIBULAR 39 RESIDUE PROTEIN PRECURSOR	0.674570266	2.00E-06	0.046060098
A_17_P15920187	HOXA7	HOMEOBOX A7	0.822898109	9.88E-06	0.092567927
A_17_P11000459	KIR3DX1	KILLER CELL IMMUNOGLOBULIN-LIKE RECEPTOR, THREE DOMAINS, X1	0.995813439	9.47E-06	0.092567927
A_17_P15720960	NR2F1	NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 1	0.98607041	1.74E-05	0.130520156
A_17_P11790163	ZCCHC13	ZINC FINGER, CCHC DOMAIN CONTAINING 13	1.014547813	9.37E-05	0.137818246
A_17_P11188865	CTSA	CATHEPSIN A	0.799980938	3.90E-05	0.137818246
A_17_P07799954	PACSIN3	PROTEIN KINASE C AND CASEIN KINASE SUBSTRATE IN NEURONS 3	0.939861214	3.67E-05	0.137818246
A_17_P06316339	GDF6	GROWTH DIFFERENTIATION FACTOR 6	0.51148613	3.00E-05	0.137818246
A_17_P00302233	MSH4	MUTS HOMOLOG 4 (E. COLI)	1.019895085	2.55E-05	0.137818246
A_17_P16300096	C10orf114	CHROMOSOME 10 OPEN READING FRAME 114	0.788252763	7.38E-05	0.137818246
A_17_P17099899	ZBTB7A	ZINC FINGER AND BTB DOMAIN CONTAINING 7A	0.959462765	8.25E-05	0.137818246
A_17_P02596856	RAB6B	RAB6B, MEMBER RAS ONCOGENE FAMILY	0.586168641	8.96E-05	0.137818246
A_17_P16930266	CPNE7	COPINE VII	0.818844603	9.51E-05	0.137818246
A_17_P06278446	WDR21C	WD REPEAT DOMAIN 21C	0.87646028	2.73E-05	0.137818246
A_17_P16631641	TSC22D1	TSC22 DOMAIN FAMILY, MEMBER 1	0.929468479	7.24E-05	0.137818246
A_17_P16037646	RARRES2	RETINOIC ACID RECEPTOR RESPONDER (TAZAROTENE INDUCED) 2	0.620562028	9.34E-05	0.137818246
A_17_P06717317	C9orf61	CHROMOSOME 9 OPEN READING FRAME 61	0.83868676	4.99E-05	0.137818246
A_17_P16460085	RCOR2	REST COREPRESSOR 2	0.618198798	5.69E-05	0.137818246
A_17_P15656896	MRPL36-NDUFS6	MITOCHONDRIAL RIBOSOMAL PROTEIN L36 - NADH DEHYDROGENASE (UBIQUINONE) FE-S PROTEIN 6, 13KDA (NADH-COENZYME Q REDUCTASE)	0.587340129	0.000111018	0.140377681
A_17_P04625501	HIST1H3F-HIST1H2BH	HISTONE CLUSTER 1, H3F - HISTONE CLUSTER 1, H2BH	0.697890262	0.000114466	0.140377681
