Rank	score	Probe Set ID	Gene Symbol	Gene Title
1	3.25	210830_s_at	PON2	paraoxonase 2
2	3.24	242579_at	BMPR1B	bone morphogenetic protein receptor, type IB
3	3.07	201876_at	PON2	paraoxonase 2
4	2.97	236750_at	---	---
5	2.94	212592_at	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides
6	-2.79	216834_at	RGS1	regulator of G-protein signaling 1
7	2.72	232539_at	---	---
8	2.71	209288_s_at	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
9	-2.69	202388_at	RGS2	regulator of G-protein signaling 2, 24kDa
10	2.68	213371_at	LDB3	LIM domain binding 3
11	2.64	215028_at	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
12	2.63	215617_at	LOC26010	viral DNA polymerase-transactivated protein 6
13	2.61	209101_at	CTGF	connective tissue growth factor
14	2.59	204030_s_at	SCHIP1	schwannomin interacting protein 1
15	-2.55	209959_at	NR4A3	nuclear receptor subfamily 4, group A, member 3
16	2.53	222780_s_at	BAALC	brain and acute leukemia, cytoplasmic
17	2.53	203939_at	NT5E	5-nucleotidase, ecto (CD73)
18	2.51	236766_at	---	---
19	2.47	202242_at	TSPAN7	tetraspanin 7
20	2.44	225355_at	LOC54492	neuralized-2
21	2.41	211675_s_at	MDFIC	MyoD family inhibitor domain containing
22	2.4	219313_at	GRAMD1C	GRAM domain containing 1C
23	-2.4	203921_at	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
24	2.39	219871_at	FLJ13197	hypothetical FLJ13197
25	-2.39	207978_s_at	NR4A3	nuclear receptor subfamily 4, group A, member 3
26	-2.38	221349_at	VPREB1	pre-B lymphocyte 1
27	2.36	244280_at	---	---
28	2.34	209365_s_at	ECM1	extracellular matrix protein 1
29	2.33	239673_at	---	---
30	2.33	223449_at	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
31	-2.32	202506_at	SSFA2	sperm specific antigen 2
32	-2.32	205241_at	SCO2	SCO cytochrome oxidase deficient homolog 2 (yeast)
