Category	Gene	Gene symbol	S vs NS fold change RMA2	p value S vs NS RMA	S vs NS fold change MAS53	p value S vs NS MAS5
Cytokine / innate immunity	interleukin 4 receptor	IL4R	-1.74	0.008	-1.91	0.017
Cytokine / innate immunity	chemokine (C-X3-C motif) ligand 1	CX3CL1	-2.89	0.016	-2.96	0.004
Cytokine / innate immunity	spondin 2	SPON2	-1.86	0.045	-1.92	0.018
Apoptosis	pirin	PIR	2.64	0.007	2.22	0.028
Apoptosis	growth arrest and DNA-damage-inducible, beta	GADD45B	-1.83	0.024	-2.26	0.014
Response to oxidants and xenobiotics	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	20.73	0.039	54.7	0.004
Response to oxidants and xenobiotics	aldo-keto reductase family 1, member B10	AKR1B1 0	24.84	0.003	20.76	0.002
Response to oxidants and xenobiotics	aldo-keto reductase family 1, member C1 and, member C2	AKR1C1-C2	4.31	0.016	4.93	0.006
Response to oxidants and xenobiotics	Malic enzyme 1, NADP (+)-dependent, cytosolic	ME1	4.92	<0.001	4.31	0.001
Response to oxidants and xenobiotics	aldehyde dehydrogenase 3 family, memberA1	ALDH3A1	5.6	<0.001	4.96	0.001
Response to oxidants and xenobiotics	alcohol dehydrogenase 7	ADH7	7.21	0.001	6.1	0.001
Response to oxidants and xenobiotics	glutathione peroxidase 2	GPX2	2.69	0.009	3.73	0.001
Response to oxidants and xenobiotics	transketolase	TKT	1.91	0.007	1.99	0.014
Response to oxidants and xenobiotics	NAD(P)H dehydrogenase, quinone 1	NQO1	3.37	<0.001	3.38	<0.001
Response to oxidants and xenobiotics	carbonyl reductase 3	CBR3	2.27	0.023	2.45	0.008
Response to oxidants and xenobiotics	aldo-keto reductase family 1, member C3	AKR1C3	2.6	0.01	2.32	0.014
Proteases / anti-proteases	proprotein convertase subtilisin/kexin type 6	PCSK6	-2.21	0.025	-2	0.037
General cellular processes	ATPase, H+ transporting, lysosomal V0 subunit a isoform 4	ATP6V0A4	2.47	0.011	2.22	0.025
General cellular processes	ubiquitin carboxyl-terminal esterase L1	UCHL1	15.85	0.002	31.07	<0.001
