Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
C20orf103	219463_at	4.496028591	4.64E-36	gb:NM_012261.1 /DB_XREF=gi:7110632 /GEN=HS1119D91 /FEA=FLmRNA /CNT=37 /TID=Hs.22920.0 /TIER=FL+Stack /STK=17 /UG=Hs.22920 /LL=24141 /DEF=Homo sapiens similar to S68401 (cattle) glucose induced gene (HS1119D91), mRNA. /PROD=similar to S68401 (cattle) glucose induced gene /FL=gb:NM_012261.1
MEIS1	204069_at	3.475319004	4.08E-22	gb:NM_002398.1 /DB_XREF=gi:4505150 /GEN=MEIS1 /FEA=FLmRNA /CNT=82 /TID=Hs.170177.0 /TIER=FL+Stack /STK=14 /UG=Hs.170177 /LL=4211 /DEF=Homo sapiens Meis1 (mouse) homolog (MEIS1), mRNA. /PROD=Meis1 homolog /FL=gb:U85707.1 gb:NM_002398.1
MEIS1	1559477_s_at	3.452660911	1.02E-21	gb:AL832770.1 /DB_XREF=gi:21733352 /TID=Hs2.130584.1 /CNT=6 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.130584 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp686A197 (from clone DKFZp686A197) /DEF=Homo sapiens mRNA; cDNA DKFZp686A197 (from clone DKFZp686A197).
MEIS1	242172_at	2.858976873	1.02E-21	gb:N50406 /DB_XREF=gi:1191572 /DB_XREF=yy88a05.s1 /CLONE=IMAGE:280592 /FEA=EST /CNT=6 /TID=Hs.191349.0 /TIER=ConsEnd /STK=2 /UG=Hs.191349 /UG_TITLE=ESTs
KCNK12	220448_at	2.284088949	4.37E-19	gb:NM_022055.1 /DB_XREF=gi:11545760 /GEN=KCNK12 /FEA=FLmRNA /CNT=7 /TID=Hs.252617.0 /TIER=FL /STK=0 /UG=Hs.252617 /LL=56660 /DEF=Homo sapiens reserved (KCNK12), mRNA. /PROD=tandem pore domain potassium channel THIK-2 /FL=gb:NM_022055.1 gb:AF287302.1
LGALS1	201105_at	2.748692614	7.09E-17	gb:NM_002305.2 /DB_XREF=gi:6006015 /GEN=LGALS1 /FEA=FLmRNA /CNT=487 /TID=Hs.227751.0 /TIER=FL+Stack /STK=226 /UG=Hs.227751 /LL=3956 /DEF=Homo sapiens lectin, galactoside-binding, soluble, 1 (galectin 1) (LGALS1), mRNA. /PROD=beta-galactosidase binding lectin precursor /FL=gb:NM_002305.2 gb:BC001693.1 gb:J04456.1
MBNL	201153_s_at	1.03307555	6.19E-15	gb:NM_021038.1 /DB_XREF=gi:10518339 /GEN=MBNL /FEA=FLmRNA /CNT=345 /TID=Hs.28578.0 /TIER=FL+Stack /STK=88 /UG=Hs.28578 /LL=4154 /DEF=Homo sapiens muscleblind (Drosophila)-like (MBNL), mRNA. /PROD=muscleblind (Drosophila)-like /FL=gb:NM_021038.1 gb:AB007888.1
FLT3	206674_at	2.067097531	6.78E-15	gb:NM_004119.1 /DB_XREF=gi:4758395 /GEN=FLT3 /FEA=FLmRNA /CNT=11 /TID=Hs.385.0 /TIER=FL /STK=0 /UG=Hs.385 /LL=2322 /DEF=Homo sapiens fms-related tyrosine kinase 3 (FLT3), mRNA. /PROD=fms-related tyrosine kinase 3 /FL=gb:NM_004119.1 gb:U02687.1
Unknown(243605_at)	243605_at	1.982931386	9.46E-15	gb:AW627671 /DB_XREF=gi:7374461 /DB_XREF=hh90a04.x1 /CLONE=IMAGE:2970030 /FEA=EST /CNT=5 /TID=Hs.135338.0 /TIER=ConsEnd /STK=3 /UG=Hs.135338 /UG_TITLE=ESTs
Unknown(204304_s_at)	204304_s_at	3.217498592	9.79E-15	gb:NM_006017.1 /DB_XREF=gi:5174386 /GEN=PROML1 /FEA=FLmRNA /CNT=64 /TID=Hs.112360.0 /TIER=FL+Stack /STK=27 /UG=Hs.112360 /LL=8842 /DEF=Homo sapiens prominin (mouse)-like 1 (PROML1), mRNA. /PROD=prominin (mouse)-like 1 /FL=gb:NM_006017.1 gb:AF027208.1
