Gene description	Gene symbol	Map location	ANOVA p-value	FCa (Parotid)	FCb (ACC3)
PDZ domain containing 1	PDZK1	1q21	6.00E-07	91.47	44.06
Megalencephalic leukoencephalopathy with subcortical cysts 1	MLC1	22q13.33	2.90E-11	89.27	95.43
Engrailed homolog 1	EN1	2q13–q21	4.10E-08	48.92	96.82
SRY (sex determining region Y)-box 4	SOX4	6p22.3	1.30E-07	29.55	8.66
Zinc finger, imprinted 2	ZIM2	19q13.4	1.20E-07	23.96	395.03
Homer, neuronal immediate early gene, 3 [BLAST]	HOMER-3	19p13.11	5.80E-07	18.74	2.69
Insulin-like growth factor binding protein 2, 36 kDa	IGFBP2	2q33–q34	2.30E-07	18.29	517.3
Neuropilin (NRP) and tolloid (TLL)-like 2	NETO2	16q11	1.90E-07	13.3	1.95
HSPC037 protein	LOC51659	16q24.1	5.20E-07	9.19	0.29
Iroquois homeobox protein 4	IRX4	5p15.3	4.70E-07	7.65	152.48
Keratin 15	KRT15	17q21.2	3.20E-13	7.56	1761.58
Likely ortholog of neuronally expressed calcium binding protein	FLJ13612	2q37.1	9.00E-08	7.33	21.56
Jagged 1 (Alagille syndrome)	JAG1	20p12.1–p11.23	2.60E-07	6.37	37.4
Topoisomerase (DNA) II alpha 170 kDa	TOP2A	17q21–q22	1.50E-07	6.16	0.05
KIAA0508 protein	KIAA0508	1p36.32	3.00E-07	6.05	4.19
MAP/microtubule affinity-regulating kinase 2	MARK2	11q12-q13	4.30E-08	5.88	36.01
KIAA1193 protein	KIAA1193	19p13.3	2.70E-08	5.56	1.37
Solute carrier family 24, member 3	SLC24A3	20p13	4.60E-07	5.54	90.96
SRY (sex determining region Y)-box 11	SOX11	2p25	3.70E-07	5.45	38.59
Growth arrest-specific 6	GAS6	13q34	4.40E-08	5.37	32.15
Growth arrest-specific 2	GAS2	11p14.3–15.2	7.80E-07	5.37	67.3
Fanconi anemia, complementation group A	FANCA	16q24.3	1.90E-07	4.97	0.18
RNA binding motif protein 9	RBM9	22q13.1	7.30E-07	4.95	4.28
Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	CCND1	11q13	2.00E-09	4.87	5.94
Keratin 5	KRT5	12q12–q13	7.60E-08	4.62	127.66
Hypothetical protein FLJ10210	FLJ10210	10p13	5.10E-09	4.59	22.66
Serine (or cysteine) proteinase inhibitor, clade F, member 1	SERPINF1	17p13.1	3.30E-08	4.45	249.73
Extra spindle poles like 1 (S. cerevisiae)	ESPL1	8	3.90E-07	4.41	0.18
Phosphorylase, glycogen; brain	PYGB	20p11.2–p11.1	2.70E-11	4.41	364.16
Guanylate cyclase 1, soluble, alpha 3	GUCY1A3	4q31.1–q31.2	3.50E-08	4.38	27.34
Proprotein convertase subtilisin/kexin type 1 inhibitor	PCSK1N	Xp11.23	3.00E-07	4.29	45.47
Wingless-type MMTV integration site family, member 5B	WNT5B	12p13.3	5.10E-08	4.21	72.38
SON DNA binding protein	SON	21q22.11	6.50E-07	4.07	3.13
Death-associated protein kinase 1	DAPK1	9q34.1	1.60E-07	3.97	17.54
Aquaporin 1 (channel-forming integral protein, 28 kDa)	AQP1	7p14	1.30E-07	3.93	74.97
Sialyltransferase 4C (beta-galactoside alpha-2,3-sialytransferase)	SIAT4C	11q23–q24	7.10E-07	3.82	3.51
Asp (abnormal spindle)-like, microcephaly associated (Drosophila)	ASPM	1q31	3.60E-08	3.66	0.02
DKFZp434A0131 protein	DKFZP434A0131	7q11.23–q21.1	6.80E-08	3.63	7.81
Myristoylated alanine-rich protein kinase C substrate	MARCKS	6q22.2	2.00E-09	3.6	3.57
Integrin, beta 4	ITGB4	17q11-qter	3.90E-07	3.59	5.61
Myo-inositol 1-phosphate synthase A1	ISYNA1	19p13.11	4.00E-07	3.57	13.68
FAT tumor suppressor homolog 1 (Drosophila)	FAT	4q34–q35	3.00E-08	3.52	8.2
B-cell CLL/lymphoma 11A (zinc finger protein)	BCL11A	2p15	5.00E-10	3.51	56.32
RA-regulated nuclear matrix-associated protein	RAMP	1	1.00E-07	3.49	0.12
Chondroitin sulfate proteoglycan 2 (versican)	CSPG2	5q14.3	4.50E-07	3.49	133.7
