Affymetrix ID	Symbol	Gene Name	Gene ID	Fold difference	P-Value
202437_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	1545	99	2.80E-12
202436_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	1545	82.1	6.38E-11
206214_at	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) /// phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	7941	19.4	6.97E-10
202435_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	1545	15.9	5.00E-06
204580_at	MMP12	matrix metalloproteinase 12 (macrophage elastase)	4321	8.8	2.50E-05
212158_at	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	6383	6.1	2.17E-03
223204_at	DKFZp434L142	hypothetical protein DKFZp434L142	51313	5.1	1.06E-04
223503_at	DKFZP566N034	Hypothetical protein DKFZp566N034	81615	5	2.71E-04
228285_at	TDRD9	tudor domain containing 9	122402	4.8	1.20E-05
240137_at	TDRD6	Tudor domain containing 6	221400	4.8	1.18E-04
203178_at	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2628	4.5	3.78E-02
219648_at	DSU	likely ortholog of mouse dilute suppressor	55686	4.5	1.35E-05
205237_at	FCN1	ficolin (collagen/fibrinogen domain containing) 1	2219	4.4	4.57E-05
1553151_at	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 2	245972	4.3	3.16E-06
219890_at	CLEC5A	C-type lectin domain family 5, member A	23601	4.3	5.66E-03
220380_at	DNASE2B	deoxyribonuclease II beta	58511	4	4.19E-02
209875_s_at	SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	6696	3.9	6.38E-03
1562415_a_at	SPOCD1	SPOC domain containing 1	90853	3.8	2.75E-03
221748_s_at	TNS	tensin /// tensin	7145	3.5	1.22E-05
224435_at	C10orf58	chromosome 10 open reading frame 58 /// chromosome 10 open reading frame 58	84293	3.5	1.26E-02
205404_at	HSD11B1	hydroxysteroid (11-beta) dehydrogenase 1	3290	3.4	4.54E-02
202391_at	BASP1	brain abundant, membrane attached signal protein 1	10409	3.3	5.72E-03
239887_at	---	---	---	3.3	1.09E-03
226722_at	FAM20C	family with sequence similarity 20, member C	56975	3.2	3.81E-05
212912_at	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2	6196	3.1	2.69E-06
219725_at	TREM2	triggering receptor expressed on myeloid cells 2	54209	3.1	6.80E-04
238780_s_at	KCNJ5	Potassium inwardly-rectifying channel, subfamily J, member 5	3762	3.1	4.75E-02
207469_s_at	PIR	pirin (iron-binding nuclear protein)	8544	3	1.26E-02
241418_at	---	Hypothetical LOC344887	344887	3	3.86E-04
225285_at	BCAT1	branched chain aminotransferase 1, cytosolic	586	2.9	3.02E-02
1554258_a_at	DNAJC5B	DnaJ (Hsp40) homolog, subfamily C, member 5 beta	85479	2.8	1.84E-03
216908_x_at	LOC94431	similar to RNA polymerase I transcription factor RRN3	94431	2.8	2.63E-02
226679_at	SLC26A11	solute carrier family 26, member 11	284129	2.8	1.12E-05
232798_at	DNAJC5B	DnaJ (Hsp40) homolog, subfamily C, member 5 beta	85479	2.8	6.59E-03
206991_s_at	CCR5	chemokine (C-C motif) receptor 5	1234	2.7	9.64E-05
1569403_at	---	---	---	2.6	1.32E-03
210184_at	ITGAX	integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	3687	2.6	3.04E-03
226632_at	CYGB	cytoglobin	114757	2.6	2.04E-02
209193_at	---	---	---	2.5	1.79E-02
209921_at	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	23657	2.5	1.45E-02
218857_s_at	ASRGL1	asparaginase like 1	80150	2.5	1.07E-07
226497_s_at	FLT1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	2321	2.5	7.96E-04
226498_at	FLT1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	2321	2.5	2.21E-03
225799_at	MGC4677	hypothetical protein MGC4677	112597	2.4	7.18E-03
218354_at	HSPC176	hematopoietic stem/progenitor cells 176	51693	2.3	1.35E-02
221035_s_at	TEX14	testis expressed sequence 14 /// testis expressed sequence 14	56155	2.3	3.31E-02
236561_at	TGFBR1	Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	7046	2.3	2.08E-02
240873_x_at	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	1601	2.3	2.97E-03
244352_at	---	Transcribed locus, moderately similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]	---	2.3	9.31E-03
202922_at	GCLC	glutamate-cysteine ligase, catalytic subunit	2729	2.2	2.62E-02
213725_x_at	LOC283824	hypothetical protein LOC283824	283824	2.2	4.07E-07
202923_s_at	GCLC	glutamate-cysteine ligase, catalytic subunit	2729	2.1	8.36E-04
225609_at	GSR	glutathione reductase	2936	2.1	9.76E-03
214452_at	BCAT1	branched chain aminotransferase 1, cytosolic	586	2	2.09E-04
219509_at	MYOZ1	myozenin 1	58529	2	9.16E-05
222764_at	---	---	---	2	1.00E-07
227144_at	C22orf9	Chromosome 22 open reading frame 9	23313	2	1.05E-02
229295_at	LOC150166	hypothetical protein LOC150166	150166	2	1.04E-05
216598_s_at	CCL2	chemokine (C-C motif) ligand 2	6347	1.9	1.71E-02
222033_s_at	---	---	---	1.9	1.73E-02
226542_at	---	Full-length cDNA clone CS0DJ002YF02 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human)	---	1.9	1.29E-02
230494_at	---	Hypothetical gene supported by AK124342	400999	1.9	1.56E-03
204233_s_at	CHKA	choline kinase alpha	1119	1.8	1.05E-04
224790_at	DDEF1	development and differentiation enhancing factor 1	50807	1.8	2.03E-02
