Affymetrix ID	Method 2 genes (66%)†	Symbol	Gene function(s)	Fold change
200872_at	s100 calcium binding protein a10	S100A10	cell communication	8.8
201105_at	lectin, galactoside-binding, soluble, 1	LGALS1	apoptosis, cell communication	13.7
201231_s_at	enolase 1	ENO1	glucose metabolic process, transcription	1.7
201477_s_at	ribonucleotide reductase m1 polypeptide	RRM1	DNA metabolic process	?1.4
202088_at	solute carrier family 39 (zinc transporter), member 6	SLC39A6	ion transport	?1.2
209366_x_at	cytochrome b5 type a	CYB5A	electron transport	?1.6
211528_x_at	hla-g histocompatibility antigen, class i, g	HLA-G	immune response	3.7
212063_at	cd44 antigen	CD44	kidney development	5.3
216623_x_at	trinucleotide repeat containing 9	TOX3	transcription	?5.8
217294_s_at	enolase 1	ENO1	glucose metabolic process, transcription	1.8
