Category	Probe set ID	Gene symbol	Gene title	Fold-change2 SMO vsNS	p value
Apoptosis	222306_at	AZI2	5-azacytidine induced 2	2.18	0.029
Apoptosis	209304_x_at	GADD45B	growth arrest and DNA-damage-inducible, beta	-2.25	0.043
Cell growth  and maintenance	206276_at	LY6D	lymphocyte antigen 6 complex, locus D	9.04	0.044
Cell growth  and maintenance	206487_at	UNC84A	unc-84 homolog A (C. elegans)	3.88	0.009
Cell growth  and maintenance	216415_at	DNAH3	dynein, axonemal, heavy polypeptide 3	3.45	0.002
Cell growth  and maintenance	210611_s_at	DTNA	dystrobrevin, alpha	3.45	0.012
Cell growth  and maintenance	219475_at	OKL38	pregnancy-induced growth inhibitor	3.14	0.002
Cell growth  and maintenance	217620_s_at	PIK3CB	phosphoinositide-3-kinase, catalytic, beta polypeptide	2.73	0.006
Cell growth  and maintenance	206835_at	STATH	statherin	2.36	0.005
Cell growth  and maintenance	206382_s_at	BDNF	brain-derived neurotrophic factor	2.12	0.024
Cell growth  and maintenance	214352_s_at	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	2.08	0.007
Cell growth  and maintenance	205328_at	CLDN10	claudin 10	2.07	0.024
Cell growth  and maintenance	202709_at	FMOD	fibromodulin	2.03	0.001
Cell growth  and maintenance	213524_s_at	G0S2	putative lymphocyte G0/G1 switch gene	-2.07	0.008
Cell growth  and maintenance	201445_at	CNN3	calponin 3, acidic	-2.11	0.015
Cell growth  and maintenance	205899_at	CCNA1	cyclin A1	-2.16	0.033
Cell growth  and maintenance	202291_s_at	MGP	matrix Gla protein	-2.18	0.014
Cell growth  and maintenance	219049_at	ChGn	chondroitin beta1,4 N-acetylgalactosaminyltransferase	-2.66	0.026
Cell growth  and maintenance	219888_at	SPAG4	sperm associated antigen 4	-2.75	0.037
Cell growth  and maintenance	203372_s_at	SOCS2	suppressor of cytokine signaling 2	-3.64	0.036
Cell growth  and maintenance	213182_x_at	CDKN1C	cyclin-dependent kinase inhibitor 1C	-4.08	0.031
Immune  response	210413_x_at	SERPINB4	serine (or cysteine) proteinase inhibitor, clade B   (ovalbumin), member 4	-2.02	0.006
Immune  response	207850_at	CXCL3	chemokine (C-X-C motif) ligand 3	-2.3	0.035
Immune  response	211506_s_at	IL8	interleukin 8	-2.61	0.048
Immune  response	214456_x_at	SAA1	serum amyloid A1	-2.67	0.025
Immune  response	203687_at	CX3CL1	chemokine (C-X3-C motif) ligand 1	-2.97	0.04
Immune  response	208607_s_at	SAA1	serum amyloid A1	-3.03	0.013
Immune  response	207802_at	CRISP3	cysteine-rich secretory protein 3	-4.17	0.032
Immune  response	205476_at	CCL20	chemokine (C-C motif) ligand 20	-7.25	0.028
Metabolism	201387_s_at	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	11.75	0.001
Metabolism	210666_at	IDS	iduronate 2-sulfatase (Hunter syndrome)	5.61	0.005
Metabolism	205221_at	HGD	homogentisate 1,2-dioxygenase (homogentisate oxidase	5.47	0.007
Metabolism	221815_at	ABHD2	abhydrolase domain containing 2	4.65	0.003
Metabolism	205278_at	GAD1	glutamate decarboxylase 1 (brain, 67kDa)	4.01	0.029
Metabolism	214415_at	PLGL	plasminogen-like	3.91	0.032
Metabolism	207126_x_at	UGT1A10	UDP glycosyltransferase 1 family	2.84	<0.001
Metabolism	204532_x_at	UGT1A10	UDP glycosyltransferase 1 family	2.76	<0.001
Metabolism	215125_s_at	UGT1A10	UDP glycosyltransferase 1 family	2.62	<0.001
Metabolism	221592_at	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	2.42	0.008
Metabolism	206094_x_at	UGT1A6	UDP glycosyltransferase 1 family, polypeptide A6	2.34	<0.001
Metabolism	221013_s_at	APOL2	apolipoprotein L, 2	2.15	0.037
Metabolism	216070_at	NME7	Non-metastatic cells 7, protein expressed in	2.11	0.007
Metabolism	208596_s_at	UGT1A10	UDP glycosyltransferase 1 family	2.07	0.004
Metabolism	205757_at	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	2.04	<0.001
Metabolism	214308_s_at	HGD	homogentisate 1,2-dioxygenase	2.03	0.026
Metabolism	204259_at	MMP7	matrix metalloproteinase 7	-2.07	0.014
Metabolism	200884_at	CKB	creatine kinase, brain	-2.11	0.01
Mucin	217187_at	MUC5AC	mucin 5, subtypes A and C, tracheobronchial/gastric	2.71	0.001
Mucin	214303_x_at	MUC5AC	mucin 5, subtypes A and C, tracheobronchial/gastric	2.15	0.015
Pentose cycle	201463_s_at	TALDO1	transaldolase 1	2.41	<0.001
Pentose cycle	208699_x_at	TKT	transketolase	2.38	0.031
Proteolysis	208309_s_at	MALT1	mucosa associated lymphoid tissue lymphoma  translocation gene 1	3.19	0.042
Proteolysis	207414_s_at	PCSK6	proprotein convertase subtilisin/kexin type 6	-2.5	0.014
Response to  oxidants  and xenobiotics	202437_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	17.69	<0.001
Response to  oxidants  and xenobiotics	206561_s_at	AKR1B10	aldo-keto reductase family 1, member B10	11.73	<0.001
Response to  oxidants  and xenobiotics	202436_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	10.45	0.001
Response to  oxidants  and xenobiotics	202435_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	9.51	0.001
Response to  oxidants  and xenobiotics	217626_at	AKR1C1	aldo-keto reductase family 1, member C1	9.06	0.001
Response to  oxidants  and xenobiotics	205749_at	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	7.48	0.008
Response to  oxidants  and xenobiotics	205623_at	ALDH3A1	aldehyde dehydrogenase 3 family, memberA1	6.63	<0.001
Response to  oxidants  and xenobiotics	210505_at	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma  polypeptide	6.25	<0.001
Response to  oxidants  and xenobiotics	202831_at	GPX2	glutathione peroxidase 2 (gastrointestinal)	5.16	<0.001
Response to  oxidants  and xenobiotics	206153_at	CYP4F11	cytochrome P450, family 4, subfamily F, polypeptide 11	4.87	0.002
Response to  oxidants  and xenobiotics	201468_s_at	NQO1	NAD(P)H dehydrogenase, quinone 1	4.41	<0.001
Response to  oxidants  and xenobiotics	216594_x_at	AKR1C1	aldo-keto reductase family 1, member C1	4.26	<0.001
Response to  oxidants  and xenobiotics	209699_x_at	AKR1C2	aldo-keto reductase family 1, member C2	3.83	<0.001
Response to  oxidants  and xenobiotics	209213_at	CBR1	carbonyl reductase 1	3.82	<0.001
Response to  oxidants  and xenobiotics	204059_s_at	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	3.66	<0.001
Response to  oxidants  and xenobiotics	211653_x_at	AKR1C2	aldo-keto reductase family 1, member C2	3.54	<0.001
Response to  oxidants  and xenobiotics	201467_s_at	NQO1	NAD(P)H dehydrogenase, quinone 1	3.51	<0.001
Response to  oxidants  and xenobiotics	210519_s_at	NQO1	NAD(P)H dehydrogenase, quinone 1	3.23	<0.001
Response to  oxidants  and xenobiotics	205379_at	CBR3	carbonyl reductase 3	3.13	<0.001
Response to  oxidants  and xenobiotics	209160_at	AKR1C3	aldo-keto reductase family 1, member C3	3.09	0.001
Response to  oxidants  and xenobiotics	215573_at	CAT	catalase	2.8	0.021
Response to  oxidants  and xenobiotics	206515_at	CYP4F3	cytochrome P450, family 4, subfamily F, polypeptide 3	2.64	0.002
Response to  oxidants  and xenobiotics	204151_x_at	AKR1C1	aldo-keto reductase family 1, member C1	2.62	<0.001
Response to  oxidants  and xenobiotics	204058_at	ME1	Malic enzyme 1, NADP(+)-dependent, cytosolic	2.4	0.005
Response to  oxidants  and xenobiotics	201266_at	TXNRD1	thioredoxin reductase 1	2.3	<0.001
Response to  oxidants  and xenobiotics	213591_at	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	-2.22	0.028
Signal  transduction	220907_at	GPR110	G protein-coupled receptor 110	7.47	0.001
Signal  transduction	206326_at	GRP	gastrin-releasing peptide	4.81	0.028
Signal  transduction	205989_s_at	MOG	myelin oligodendrocyte glycoprotein	4.38	0.005
Signal  transduction	213456_at	SOSTDC1	sclerostin domain containing 1	4.02	0.014
Signal  transduction	219928_s_at	CABYR	calcium-binding tyrosine-(Y)-phosphorylation regulated	3.78	<0.001
Signal  transduction	204786_s_at	IFNAR2	interferon receptor 2	2.33	0.002
Signal  transduction	202305_s_at	FEZ2	fasciculation and elongation protein zeta 2	2.29	<0.001
Signal  transduction	210384_at	HRMT1L1	HMT1 hnRNP methyltransferase-like 1 (S. cerevisiae)	2.04	0.031
Signal  transduction	205609_at	ANGPT1	angiopoietin 1	-2.26	0.028
Signal  transduction	211056_s_at	SRD5A1	steroid-5-alpha-reductase, alpha polypeptide 1	-2.62	0.013
Signal  transduction	209885_at	RHOD	ras homolog gene family, member D	-2.66	0.039
Signal  transduction	203639_s_at	FGFR2	fibroblast growth factor receptor 2	-2.72	0.033
Signal  transduction	201939_at	PLK2	polo-like kinase 2 (Drosophila)	-2.73	0.008
Signal  transduction	209457_at	DUSP5	dual specificity phosphatase 5	-2.88	0.031
Signal  transduction	214652_at	DRD1	dopamine receptor D1	-4.02	0.009
Transcription  and chromatin structure	222313_at	CNOT2	CCR4-NOT transcription complex, subunit 2	5.53	0.014
Transcription  and chromatin structure	215224_at	RPL23	ribosomal protein L23	4.3	0.005
Transcription  and chromatin structure	219884_at	LHX6	LIM homeobox 6	3.31	0.005
Transcription  and chromatin structure	202379_s_at	NKTR	natural killer-tumor recognition sequence	3.02	0.026
Transcription  and chromatin structure	207469_s_at	PIR	pirin	2.78	<0.001
Transcription  and chromatin structure	215164_at	TCF4	transcription factor 4	2.63	0.003
Transcription  and chromatin structure	213742_at	SFRS11	splicing factor, arginine/serine-rich 11	2.26	0.002
Transcription  and chromatin structure	209448_at	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	2.21	0.001
Transcription  and chromatin structure	202865_at	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12	2.21	0.016
Transcription  and chromatin structure	217617_at	PBX1	pre-B-cell leukemia transcription factor 1	2.07	0.002
Transcription  and chromatin structure	214404_x_at	SPDEF	SAM pointed domain containing ets transcription factor	2.01	0.048
Transcription  and chromatin structure	221727_at	PC4	activated RNA polymerase II transcription cofactor 4	-2.08	0.003
Transcription  and chromatin structure	202431_s_at	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	-2.17	0.008
Transcription  and chromatin structure	201802_at	SLC29A1	solute carrier family 29, member 1	-2.23	0.027
Transcription  and chromatin structure	202470_s_at	CPSF6	cleavage and polyadenylation specific factor 6, 68kDa	-2.25	0.019
Transcription  and chromatin structure	203783_x_at	POLRMT	polymerase (RNA) mitochondrial	-2.25	0.017
Transcription  and chromatin structure	204529_s_at	TOX	thymus high mobility group box protein TOX	-2.33	0.025
Transcription  and chromatin structure	201292_at	TOP2A	topoisomerase (DNA) II alpha 170kDa	-2.59	0.048
Transcription  and chromatin structure	214761_at	ZNF423	zinc finger protein 423	-2.69	0.032
Transcription  and chromatin structure	214881_s_at	UBTF	upstream binding transcription factor, RNA polymerase I	-2.99	0.024
Transcription  and chromatin structure	215729_s_at	VGLL1	vestigial like 1 (Drosophila)	-3.44	0.04
Transport	209921_at	SLC7A11	solute carrier family 7, member 11	7.69	0.001
Transport	208161_s_at	ABCC3	ATP-binding cassette, sub-family C, member 3	7.27	<0.001
Transport	210769_at	CNGB1	cyclic nucleotide gated channel beta 1	4.58	0.003
Transport	215169_at	SLC35E2	solute carrier family 35, member E2	3.12	0.009
Transport	207430_s_at	MSMB	microseminoprotein, beta-	2.99	0.025
Transport	210297_s_at	MSMB	microseminoprotein, beta-	2.58	0.006
Transport	201171_at	ATP6V0E	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	2.54	0.004
Transport	217678_at	SLC7A11	solute carrier family 7, member 11	2.43	0.021
Transport	209453_at	SLC9A1	solute carrier family 9, isoform 1	2.27	0.049
Transport	201918_at	FLJ10618	hypothetical protein FLJ10618	2.09	0.027
Transport	201917_s_at	FLJ10618	hypothetical protein FLJ10618	2.06	0.014
Transport	214211_at	FTH1	ferritin, heavy polypeptide 1	2.01	<0.001
Transport	202018_s_at	LTF	lactotransferrin	-2.62	0.049
Transport	218087_s_at	SORBS1	sorbin and SH3 domain containing 1	-3.36	0.05
Transport	215655_at	GRIK2	glutamate receptor, ionotropic, kainate 2	-3.77	0.034
Transport	216346_at	SEC14L3	SEC14-like 3 (S. cerevisiae)	-29.67	0.004
Unknown	215908_at	---	homo sapiens clone FBA1 Cri-du-chat region mRNA.	4.47	0.005
Unknown	220940_at	KIAA1641	KIAA1641	3.76	0.011
Unknown	213945_s_at	---	KIAA0906 protein	3.45	0.013
Unknown	205499_at	SRPX2	sushi-repeat-containing protein, X-linked 2	3.12	0.004
Unknown	215330_at	FLJ43663	hypothetical protein FLJ43663	2.97	0.016
Unknown	205857_at	---	solute carrier family 18 (vesicular monoamine), member 2  /FL	2.9	0.042
Unknown	210500_at	---	similar to KIAA0144 gene product	2.88	0.008
Unknown	209655_s_at	TMEM47	transmembrane protein 47	2.63	0.005
Unknown	216465_at	SRPX2	sushi-repeat-containing protein, X-linked 2	2.43	0.009
Unknown	214712_at	---	weakly similar to Mus musculus putative transcription  factor mRNA	2.41	0.045
Unknown	215342_s_at	RABGAP1L	RAB GTPase activating protein 1-like	2.2	0.038
Unknown	212451_at	KIAA0256	KIAA0256 gene product	2.15	0.013
Unknown	216259_at	BMPER	BMP-binding endothelial regulator precursor protein	2.1	0.001
Unknown	221071_at	---	homo sapiens PRO0457	2.01	0.008
Unknown	219961_s_at	C20orf19	chromosome 20 open reading frame 19	-2.11	0.003
Unknown	220860_at	PURG	purine-rich element binding protein G	-2.25	0.016
Unknown	217107_at	---	contains an RPS4 (40S Ribosomal protein S4) pseudogene,   ESTS, an STS and GSSs	-2.42	0.045
Unknown	209821_at	C9orf26	chromosome 9 open reading frame 26	-2.43	0.012
Unknown	207916_at	---	RNA binding motif protein, Y chromosome, family2,  member B	-2.51	0.011
Unknown	214862_x_at	---	MRNA; cDNA DKFZp564G1162	-2.58	0.026
Unknown	209683_at	FAM49A	family with sequence similarity 49, member A	-4.37	0.002
