Ordered position from 3157 genes	Fold change	Gene name	Description
1	265.8	STC2	Stanniocalcin 2
2	207.7	GREM1	Cysteine knot superfamily 1, BMP antagonist 1
3	150.2	COL1A1	Collagen, type I, alpha 1
4	120.2	FBN1	Fibrillin 1 (Marfan syndrome)
5	116	MYL9	Myosin, light polypeptide 9, regulatory
6	114.6	GPR49	G protein-coupled receptor 49
7	104.3	COL1A2	Collagen, type I, alpha 2
8	94.2	CNN1	Calponin 1, basic, smooth muscle
9	89.4	ITGBL1	Integrin, beta-like 1 (with EGF-like repeat domains)
10	78	COL6A2	Collagen, type VI, alpha 2
11	76.6	MYO1D	Myosin ID
12	75.7	COL3A1	Collagen, type III, alpha 1
13	69.7	FN1	Fibronectin 1
14	66	LOX	Human lysyl oxidase (LOX) gene, exon 7
15	65.3	KRT7	Keratin 7
16	64.9	CALD1	Caldesmon 1
17	64.2	SERPINH1	Serine (or cysteine) proteinase inhibitor
18	63.4	THBS1	Thrombospondin 1
19	63.1	HSPG2	Heparan sulfate proteoglycan 2 (perlecan)
20	60.2	SERPINE1	Serine (or cysteine) proteinase inhibitor
23	55.8	PHLDA2	Tumour suppressing subtransferable candidate 3
81	19.7	NID2	Nidogen 2 (osteonidogen)
83	19.4	ACTG2	Actin, gamma 2, smooth muscle, enteric
116	15.3	ADM	Adrenomedullin
261	7.4	TRAM2	TRAM-like protein
341	5.7	ANXA2	Annexin A2
480	4.4	PFKP	Phosphofructokinase, platlet
521	4.1	CD151	CD151 antigen
549	3.9	NBL1	Neuroblastoma, suppression of tumorigenicity 1
596	3.7	S100A11	S100 calcium binding protein A11 (calgizzarin)
665	3.3	D2S448	Melanoma associated gene
693	3.2	TAGLN2	Transgelin 2
695	3.2	STAT1	Homo sapiens transcription factor ISGF-3 mRNA
711	3.2	MAP2K3	Mitogen-activated protein kinase kinase 3
740	3.1	CNN2	Calponin 2
1650	-2.2	ARL6IP	ADP-ribosylation factor-like 6 interacting protein
2176	-3.3	SYT11	Synaptotagmin XI
2432	-4.7	CNP	2,3-cyclic nucleotide 3 phosphodiesterase
2459	-4.8	RNASE1	Homo sapiens ribonuclease, Rnase A family, 1
2689	-7.9	CCND2	Cyclin D2
2824	-12.7	CRMP1	Collapsin response mediator protein 1
2915	-17.5	OLFM1	Olfactomedin 1
2934	-19.9	RASSF2	Ras associated )RalFGS/AF-6) domain family 2
2964	-24.8	SPOCK2	Sparc/osteonectin
3016	-37.6	CLDN5	Claudin 5 (deleted in velocardiofacial syndrome)
3065	-68.5	SNAP25	Synaptosomal-associated protein, 25kDa
3138	-219.3	PTPRZ1	Protein tyrosine phosphatase
3139	-220.3	PLP1	Proteolipid protein 1
3140	-222.7	CHL1	Cell adhesion molecule with homology to L1CAM
3141	-224.7	GFAP	Glial fibrillary acidic protein
3142	-228.3	SNX10	Sorting nexin 10
3143	-228.3	GPM6A	Glycoprotein M6A
3144	-231.5	ASCL1	Achaete-scute complex-like 1 (Drosophila)
3145	-241	m5b1	Glycoprotein M6B
3146	-243.3	FABP7	Fatty acid binding protein 7, brain
3147	-260.4	PMP2	Peripheral myelin protein 2
3148	-272.5	NKX2-2	NK2 transcription factor related, locus 2 (Drosophila)
3149	-288.2	PDZK3	PDZ domain containing 3
3150	-306.7	CX3CR1	Chemokine (C-X3-C motif) receptor 1
3151	-312.5	S100B	S100 calcium binding protein, beta (neural)
3152	-341.3	GAD1	Glutamate decarboxylase 1 (bran, 67 kDa)
3153	-366.3	HLA-DRA	Major histocompatibility complex, class II, DR alpha
3154	-370.4	GRIA2	Glutamate receptor, ionotropic, AMPA 2
3155	-387.6	RGS1	B cell activation gene
3156	-401.6	C3	Complement component 3
3157	-574.7	TU3A	TU3A protein
