HUGO name	LocusLinkID	Gene name	PHA/IL-2-activated CD4+T-cells (TPM)	Acutely HTLV-1 transformed cells (TPM) B1 cells	Acutely HTLV-1 transformed cells (TPM) C5 cells
ADPRTa	142	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase), PARP	95	69	16
ERCC3	2071	Excision repair cross-complementing rodent repair deficiency, complementation group 3, XPB, RAD25	NA	27	NA
ERCC5	2073	Excision repair cross-complementing rodent repair deficiency, complementation group 5, XPG	87	10	13
ERCC6	2074	Excision repair cross-complementing rodent repair deficiency, complementation group 6, RAD26	NA	NA	17
HMGN1	3150	High-mobility group nucleosome-binding domain 1	803	472	82
PCNAb	5111	Proliferating cell nuclear antigen	210	690	170
POLD1	5424	Polymerase (DNAdirected), d1, catalytic subunit 125 kDa	11	1	31
POLD2	5425	Polymerase (DNAdirected), d2, regulatory subunit 50 kDa	143	34	41
POLD4	57804	Polymerase (DNA-directed), d4	14	31	9
POLS	11044	Polymerase (DNAdirected) theta	89	NA	7
RUVBL1	8607	RuvB-like 1 (E.coli)	5	8	20
RUVBL2	10856	RuvB-like 2 (E.coli)	NA	40	119
XAP1	1642	Damage-specific DNA-binding protein 1,127 kDa, DDB1	74	NA	23
XAB2	56949	XPA-binding protein 2	203	47	54
XRCC3	7517	X-ray repair complementing defective repair in Chinese hamster cells 3	29	1	NA
