Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
214774_x_at	NA	-1.5	trinucleotide repeat containing 9	TNRC9
217996_at	-1	NA	pleckstrin homology-like domain, family A, member 1	PHLDA1
204712_at	-6.6	-3.8	Wnt inhibitory factor-1	WIF-1
221127_s_at	NA	-1.6	regulated in glioma	RIG
214247_s_at	NA	-1	regulated in glioma	RIG
200762_at	-1.9	-1.9	dihydropyrimidinase-like 2	DPYSL2
209167_at	-2	NA	glycoprotein M6B	GPM6B
209168_at	-1.5	-1.3	glycoprotein M6B	GPM6B
209169_at	-1.9	NA	glycoprotein M6B	GPM6B
209170_s_at	-2.5	-1.7	glycoprotein M6B	m6b1
201431_s_at	-1.4	NA	dihydropyrimidinase-like 3	DPYSL3
204451_at	-0.7	-1.3	frizzled (Drosophila) homolog 1	FZD1
210162_s_at	-1.1	-1.7	NF-ATc mRNA	NFATC1
207345_at	-2	-2.3	follistatin, transcript variant FST317	FST
204948_s_at	-1.1	-1.9	follistatin, transcript variant FST344	FST
205338_s_at	-2.2	NA	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT
205337_at	-2.5	-1.2	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT
216512_s_at	-1.1	NA	dopachrome tautomerase (dopachrome delta-isomerase, tyro	sDCT
202196_s_at	NA	2.5	dickkopf (Xenopus laevis) homolog 3	DKK3
204734_at	NA	1.2	keratin 15	KRT15
203213_at	1.7	1.5	cell division cycle 2, G1 to S and G2 to M	CDC2
203214_x_at	1.4	NA	cell division cycle 2, G1 to S and G2 to M	CDC2
210559_s_at	1.2	NA	CDC2 delta T	CDC2
218009_s_at	1.6	0.9	protein regulator of cytokinesis 1	PRC1
209773_s_at	1.4	2.3	ribonucleotide reductase M2 polypeptide	RRM2
201890_at	1.1	0.7	ribonucleotide reductase M2 polypeptide	RRM2
204026_s_at	1.1	0.9	ZW10 interactor	ZWINT
211762_s_at	1.1	0.7	karyopherin alpha 2 (RAG cohort 1, importinalpha 1)	NA
204767_s_at	1.1	NA	flap structure-specific endonuclease 1	FEN1
201291_s_at	4.5	2.1	topoisomerase (DNA) II alpha (170kD)	TOP2A
201292_at	2	2.1	topoisomerase (DNA) II alpha (170kD)	TOP2A
202589_at	1	0.4	thymidylate synthetase	TYMS
201453_x_at	NA	1.2	Ras homolog enriched in brain 2	RHEB2
206935_at	NA	-1.8	protocadherin 8	PCDH8
209884_s_at	-1.5	NA	sodium bicarbonate cotransporter 3	SLC4A7
37892_at	NA	-3.7	alpha-1 type XI collagen	COL11A1
211340_s_at	-1	-1.5	MUC18 glycoprotein mRNA	MCAM
204682_at	-0.9	-1	latent transforming growth factor beta binding protein 2	LTBP2
204273_at	-2.8	-1.3	endothelin receptor type B	EDNRB
208650_s_at	-1.5	-1.1	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
209771_x_at	-1.8	-1.6	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
266_s_at	-1.9	-1.5	CD24 signal transducer	NA
208651_x_at	-1.8	NA	signal transducer CD24	CD24
216379_x_at	-1.8	-1.6	CD24 signal transducer	NA
