Common name	Fold change	Description
Saa1	167.7	Serum amyloid A 1
Cxcl9	49.3	Chemokine (C-X-C motif) ligand 9
Marco	47.3	Macrophage receptor with collagenous structure
Saa3	38	Serum amyloid A 3
Marco	25.5	Macrophage receptor with collagenous structure
Orm2	19.4	Orosomucoid 2
Kif22	16.5	Kinesin family member 22
Melk	12.8	Maternal embryonic leucine zipper kinase
Kntc2	12	Kinetochore associated 2
Orm1	11.7	Orosomucoid 1
Ly6i	11.6	Lymphocyte antigen 6 complex, locus I
Ctsk	11.4	Cathepsin K
Ccnb1	10.8	Cyclin-dependent protein kinase
Hspa1b	-23.7	Heat-shock protein 1B
Nr1d1	-20.5	Nuclear receptor subfamily 1,  group D, member 1
Hsp105	-12.6	Heat-shock protein 105
