Acc. no.a	Symbol	Gene name	Fold changeb	Biological processc
H79188	ERCC2	Excision repair crosscomplementing rodent repair deficiency, complementation group	-9.1+/-2.+/-	Metabolism/Response to Biotic Stimulus, Response to Pest/Pathogen/Parasite
AA149475	IFNAR2	Interferon (alpha, beta and omega) receptor 2	-+/-.6+/-1.+/-	Signal Transduction/Response to Biotic Stimulus, Response to Pest/Pathogen/Parasite
N34004	STAT6	Signal transducer and activator of transcription 6, interleukin-4 induced	-+/-.5+/-5.6	Metabolism/Signal Transduction
R94457	GMPS	Guanine monophosphate synthetase	-5.5+/-4.5	Metabolism
R48041	GAA	Glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)	-5.4+/-1.9	Metabolism
R81839	TXK	TXK tyrosine kinase	-4.9+/-2.+/-	Metabolism/Signal Transduction
W17249	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	-4.6+/-0.3	Metabolism/Signal Transduction
W47038	HAK	Heart alpha-kinase	-4.5+/-3.1	Metabolism
R88469	DPP6	Dipeptidylpeptidase VI	-4.5+/-3.3	Metabolism
AI820764	CMRF35	CMRF35 leukocyte immunoglobulin-like receptor	-4.5+/-1.2	Response to Biotic Stimulus, Response to Pest/Pathogen/Parasite
AA043457	ZNF137	Zinc-finger protein 137 (clone pHZ-30)	-4.3+/-0.9	Metabolism
W24394	A2M	Alpha-2-macroglobulin	-4.0+/-2.+/-	Transport
R73063	CSF1	Colony-stimulating factor 1 (macrophage)	-3.9+/-1.5	Cell Proliferation/Organogenesis
AW607760	CLCN3	Chloride channel 3	-3.9+/-1.+/-	Transport
R23132	CUL1	Cullin 1	-3.9+/-2.3	Cell Proliferation/Cell Death
W44684	MPP3	Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	-3.+/-+/-2.5	Signal Transduction
R23778	C7	Complement component 7	-3.+/-+/-2.8	Response to Biotic Stimulus, Response to Pest/Pathogen/Parasite/Cell Death
BI493041	TIMP3	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	-3.+/-+/-2.5	Metabolism
N98673	GRM3	Glutamate receptor, metabotropic 3	-3.6+/-3.2	Signal Transduction
W24348	IL11	Interleukin 11	-3.6+/-1.+/-	Cell Proliferation/Response to Biotic Stimulus, Response to Pest/Pathogen/Parasite/Organogenesis
H75353	ALAD	Aminolevulinate, delta-, dehydratase	-3.6+/-0.8	Metabolism
R90829	VEGFB	Vascular endothelial growth factor B	-3.6+/-2.2	Cell Proliferation/Signal Transduction
H27400	HMGB1	ESTs, highly similar to S02826 nonhistone chromosomal protein HMG-1 (Homo sapiens)	-3.6+/-0.3	Cell Proliferation/Metabolism
R23436	PRKAR2A	Protein kinase, cAMP-dependent, regulatory, type II, alpha	-3.6+/-1.5	Signal Transduction
N41908	FES	Feline sarcoma oncogenes	-3.6+/-0.1	Cell Proliferation/Metabolism/Signal Transduction
BM049821	EMP3	Epithelial membrane protein 3	-3.5+/-1.6	Cell Proliferation
AA040255	COL6A3	Collagen, type VI, alpha 3	-3.3+/-1.9	Organogenesis
AA042836	IRF2	Interferon regulatory factor 2	-3.3+/-1.5	Cell Proliferation/Metabolism/Response to Biotic Stimulus, Response to Pest/Pathogen/Parasite
W56121	CAPN7	Calpain 7	-3.3+/-0.+/-	Metabolism
R01959	USP7	Ubiquitin-specific protease 7	-3.3+/-1.9	Metabolism
N77287	F10	Coagulation factor X	-3.2+/-2.2	Metabolism
BM044542	CDK4	Cyclin-dependent kinase 4	-2.2+/-0.4	Cell Proliferation
R99156	CKS1B	CDC28 protein kinase regulatory subunit 1B	-3.1+/-1.3	Cell Proliferation
BG759096	EIF4G2	Eukaryotic translation initiation factor 4 gamma, 2	-3.1+/-1.0	Cell Proliferation/Metabolism/Cell Death
H58668	ELA2	Elastase 2, neutrophil	-3.1+/-0.1	Metabolism
H28534	AQP1	Aquaporin 1 (28 kDa)	-3.1+/-0.3	Signal Transduction
R96617	ABCC2	ATP-binding cassette, subfamily C, member 2	-3.0+/-1.2	Signal Transduction
R18562	ATP7B	ATPase, Cu2+ transporting, beta polypeptide	-3.3+/-0.2	Signal Transduction
R23999	HSPG2	Heparan sulfate proteoglycan 2 (perlecan)	-10.0+/-6.8	NA
W92014	ADH6	Alcohol dehydrogenase 6 (class V)	-10.0+/-+/-.1	NA
N34169	NF2	Neurofibromin 2 (bilateral acoustic neuroma)	-+/-.1+/-0.2	NA
N95415	LOC54466	Spindlin like	-+/-.1+/-5.6	NA
W38462	STE	Sulfotransferase, estrogen preferring	-4.8+/-3.0	NA
W84867	CYP4A11	Cytochrome P450, subfamily IVA, polypeptide 11	-4.8+/-0.2	NA
AA088647	NA	ESTs	-4.8+/-2.6	NA
N31846	ACP2	Acid phosphatase 2, lysosomal	-4.+/-+/-1.9	NA
H25460	CDH11	Cadherin 11, type 2, OB cadherin (osteoblast)	-4.3+/-0.9	NA
R47859	NPR1	Natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	-4.2+/-0.+/-	NA
AL046955	FSTL1	Follistatin-like 1	-4.1+/-1.5	NA
W25614	NA	KIAA0960 protein	-4.1+/-0.9	NA
AI668645	MYL4	Myosin, light polypeptide 4, alkali; atrial, embryonic	-4.0+/-1.9	NA
