Probe set ID	Gene Symbol	Score (d)	Fold Change	q-value (%)
206772_at	PTHR2	-15.7	0.3	0
219013_at	GALNT11	-11.2	0.4	0
218660_at	DYSF	-9.4	0.3	0
204039_at	CEBPA	-8.6	0.1	0
203555_at	PTPN18	-8	0.3	0
222001_x_at	FAM91A2	-7.6	0.2	0
203585_at	ZNF185	-7.3	0.2	0
209892_at	FUT4	-7.1	0.2	0
209893_s_at	FUT4	-6.8	0.3	0
218394_at	ROGDI	-6.6	0.3	0
202902_s_at	CTSS	-6.5	0.4	0
202901_x_at	CTSS	-6.5	0.4	0
207777_s_at	SP140	-6.1	0.5	0
213521_at	PTPN18	-5.9	0.3	0
213902_at	ASAH1	-5.8	0.6	0
217520_x_at	LOC646278	-5.8	0.5	0
217989_at	HSD17B11	-5.7	0.5	0
217797_at	UFC1	-5.7	0.6	0
216899_s_at	SKAP2	-5.7	0.4	0
210592_s_at	SAT1	-5.4	0.4	0
209122_at	ADFP	-5.4	0.4	0
218450_at	HEBP1	-5.4	0.5	0
201858_s_at	PRG1	-5.2	0.2	0
203466_at	MPV17	-5.2	0.5	0
203932_at	HLA-DMB	-5.1	0.3	1
203028_s_at	CYBA	-5.1	0.4	1
222229_x_at	LOC392501	-5.1	0.6	1
211742_s_at	EV12B	-5.1	0.3	1
201470_at	GSTO1	-5.1	0.5	1
202947_s_at	GYPC	-5	0.4	1
205540_s_at	RRAGB	-5	0.6	1
204604_at	PFTK1	-4.9	0.4	1
209860_s_at	ANXA7	-4.9	0.6	1
202263_at	CYB5R1	-4.8	0.5	1
204204_at	SLC31A2	-4.7	0.5	1.4
200834_s_at	RPS21	-4.7	0.6	1.4
207180_s_at	HTATIP2	-4.7	0.6	1.4
201859_at	PRG1	-4.7	0.3	1.4
204362_at	SKAP2	-4.6	0.4	1.4
203057_s_at	PRDM2	-4.6	0.6	1.4
211810_s_at	GALC	-4.6	0.6	1.4
219202_at	RHBDF2	-4.6	0.6	1.4
205203_at	PLD1	-4.5	0.4	1.4
203455_s_at	SAT1	-4.5	0.4	1.4
201825_s_at	SCCPDH	-4.5	0.6	1.9
177_at	PLD1	-4.5	0.4	1.9
208549_x_at	PTMA///LOC441454///LOC442347///LOC442727///LOC643287///LOC728026///LOC728873///LOC731018	-4.5	0.6	1.9
202078_at	COPS3	-4.5	0.6	1.9
217751_at	GSTK1	-4.4	0.6	1.9
209606_at	PSCDBP	-4.4	0.6	1.9
208894_at	HLA-DRA	-4.3	0.2	1.9
209312_x_at	HLA-DRB1///LOC730415	-4.3	0.2	1.9
206698_at	XK	-4.3	0.1	1.9
218351_at	COMMD8	-4.2	0.6	1.9
204924_at	TLR2	-4.2	0.4	1.9
221593_s_at	RPL31	-4.2	0.5	1.9
208527_x_at	HIST1H2BE	-4.2	0.6	1.9
204122_at	TYROBP	-4.1	0.2	2.4
217052_x_at	NA	-4.1	0.6	2.4
217865_at	RNF130	-4.1	0.6	2.4
213975_s_at	LYX///RFK	-4.1	0.2	2.4
216902_s_at	RRN3///LOC653390///LOC730092	-4.1	0.6	2.4
213735_s_at	COX5B	-4	0.6	2.4
207871_s_at	ST7	-4	0.3	2.4
202481_at	DHRS3	-4	0.3	2.4
215499_at	MAP2K3	-4	0.6	2.4
201281_at	ADRM1	-4	0.5	2.4
205020_s_at	ARL4A	-4	0.3	2.4
218729_at	LXN	-4	0.4	2.4
219463_at	C20orf103	-4	0.1	2.4
200818_at	ATP5O	-4	0.7	2.4
200096_s_at	ATP6VOE1	-4	0.6	2.4
211812_s_at	B3GALNT1	-4	0.5	2.4
217773_s_at	NDUFA4	-4	0.6	2.4
201216_at	ERP29	-4	0.7	2.4
206170_at	ADRB2	-3.9	0.3	2.4
201250_s_at	SLC2A1	-3.9	0.6	2.4
217356_s_at	PGK1	-3.9	0.7	2.4
35820_at	GM2A	-3.9	0.6	2.4
204361_s_at	SKAP2	-3.9	0.6	2.4
204670_x_at	HLA-DRB1///LOC730415	-3.9	0.2	2.4
