Feature	Agilent probe	Gene symbol	Gene description	up- or down-regulation in current- versus ex-smokers (bronchus)	up- or down-regulation in SCC versus current smokers (bronchus)	up- or down-regulation in SCC versus current smokers (bronchus)
327	A_23_P436353	MLLT4	myeloid/lymphoid or mixed-lineage leukemia; translocated to 4 (MLLT4), mRNA [NM_001040001]	down	down	down
1746	A_32_P192667	THC2657259	Q8J2S7_9EURO (Q8J2S7) DNA topoisomerase II (Fragment), partial (3%) [THC2657259]	down	down	down
2117	A_23_P24535	TTC12	tetratricopeptide repeat domain 12 (TTC12), mRNA [NM_017868]	down	down	down
2828	A_24_P86755	C9orf9	chromosome 9 open reading frame 9 (C9orf9), mRNA [NM_018956]	down	down	down
4458	A_23_P379475	DHCR24	24-dehydrocholesterol reductase (DHCR24), mRNA [NM_014762]	down	down	down
5740	A_24_P110564	NPIP	nuclear pore complex interacting protein (NPIP), mRNA [NM_006985]	down	down	down
6003	A_23_P164068	DNAH9	dynein, axonemal, heavy chain 9 (DNAH9), transcript variant 2, mRNA [NM_001372]	down	down	down
6472	A_23_P214291	EFHC1	EF-hand domain (C-terminal) containing 1 (EFHC1), mRNA [NM_018100]	down	down	down
6771	A_23_P101407	C3	complement component 3 (C3), mRNA [NM_000064]	down	down	down
7093	A_23_P99141	GPR162	G protein-coupled receptor 162 (GPR162), transcript variant A-2, mRNA [NM_019858]	down	down	down
7280	A_23_P160968	LAMC2	laminin, gamma 2 (LAMC2), transcript variant 2, mRNA [NM_018891]	down	down	down
7443	A_23_P411188	CHRNA10	cholinergic receptor, nicotinic, alpha 10 (CHRNA10), mRNA [NM_020402]	down	down	down
7609	A_32_P88349	BM008292	603617945F1 NIH_MGC_113 cDNA clone IMAGE:5450987 5, mRNA sequence [BM008292]	down	down	down
8406	A_23_P360874	DKFZp434K1815	hypothetical protein DKFZp434K1815 (DKFZp434K1815), mRNA [NM_152892]	down	down	down
9123	A_32_P167705	AGBL2	ATP/GTP binding protein-like 2 (AGBL2), mRNA [NM_024783]	down	down	down
9228	A_23_P127915	STK33	serine/threonine kinase 33 (STK33), mRNA [NM_030906]	down	down	down
9324	A_23_P153964	INHBB	inhibin, beta B (activin AB beta polypeptide) (INHBB), mRNA [NM_002193]	down	down	down
9595	A_23_P21990	SLC23A1	solute carrier family 23 (nucleobase transporters), member 1 (SLC23A1), transcript variant 2, mRNA [NM_152685]	down	down	down
9640	A_32_P225021	THC2724764	Unknown	down	down	down
10199	A_24_P270971	LRRC48	leucine rich repeat containing 48 (LRRC48), mRNA [NM_031294]	down	down	down
10487	A_23_P66017	PRRT2	proline-rich transmembrane protein 2 (PRRT2), mRNA [NM_145239]	down	down	down
10774	A_23_P58604	LOC51149	hypothetical LOC51149 (LOC51149), transcript variant 1, mRNA [NM_016175]	down	down	down
11100	A_23_P377819	SFRS5	splicing factor, arginine/serine-rich 5 (SFRS5), transcript variant 2, mRNA [NM_006925]	down	down	down
12157	A_32_P173481	IK	IK cytokine, down-regulator of HLA II (IK), mRNA [NM_006083]	down	down	down
12335	A_24_P88801	NPHP1	nephronophthisis 1 (juvenile) (NPHP1), transcript variant 1, mRNA [NM_000272]	down	down	down
12448	A_24_P48057	IRX5	iroquois homeobox protein 5 (IRX5), mRNA [NM_005853]	down	down	down
13466	A_23_P86079	M32220	Human DNA/endogenous retroviral long terminal repeat (LTR) junction mRNA, clone lambda-LTR22. [M32220]	down	down	down
13513	A_24_P61537	CKB	creatine kinase, brain (CKB), mRNA [NM_001823]	down	down	down
13572	A_24_P190472	SLPI	secretory leukocyte peptidase inhibitor (SLPI), mRNA [NM_003064]	down	down	down
13648	A_23_P113184	FTO	fatso (FTO), mRNA [NM_001080432]	down	down	down
14083	A_23_P72411	CYP4X1	cytochrome P450, family 4, subfamily X, polypeptide 1 (CYP4X1), mRNA [NM_178033]	down	down	down
14236	A_23_P152949	LRRC46	leucine rich repeat containing 46 (LRRC46), mRNA [NM_033413]	down	down	down
15072	A_23_P339954	ENST00000357796	PREDICTED: similar to kidney-specific protein (KS), transcript variant 3 (LOC728734), mRNA [XM_001132780]	down	down	down
16324	A_24_P286951	C10orf81	chromosome 10 open reading frame 81 (C10orf81), mRNA [NM_024889]	down	down	down
16433	A_24_P250650	RABL2A	RAB, member of RAS oncogene family-like 2A (RABL2A), transcript variant 1, mRNA [NM_013412]	down	down	down
16650	A_23_P53247	DTX3	deltex 3 homolog (Drosophila) (DTX3), mRNA [NM_178502]	down	down	down
17077	A_23_P406135	IFT172	intraflagellar transport 172 homolog (Chlamydomonas) (IFT172), mRNA [NM_015662]	down	down	down
17081	A_32_P35947	LOC651758	PREDICTED: similar to ciliary rootlet coiled-coil, rootletin (LOC651758), mRNA [XM_940977]	down	down	down
17300	A_23_P428248	TTC21A	tetratricopeptide repeat domain 21A (TTC21A), mRNA [NM_145755]	down	down	down
18177	A_23_P4074	WDR16	WD repeat domain 16 (WDR16), transcript variant 2, mRNA [NM_145054]	down	down	down
18776	A_23_P29663	ZMYND10	zinc finger, MYND-type containing 10 (ZMYND10), mRNA [NM_015896]	down	down	down
19232	A_23_P206140	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4 (DNAJA4), mRNA [NM_018602]	down	down	down
19701	A_23_P83200	C9orf98	chromosome 9 open reading frame 98 (C9orf98), mRNA [NM_152572]	down	down	down
19807	A_23_P218358	FBXW10	F-box and WD repeat domain containing 10 (FBXW10), mRNA [NM_031456]	down	down	down
20107	A_24_P229638	C9orf117	chromosome 9 open reading frame 117 (C9orf117), mRNA [NM_001012502]	down	down	down
20296	A_23_P108823	OSBPL6	oxysterol binding protein-like 6 (OSBPL6), transcript variant 1, mRNA [NM_032523]	down	down	down
20606	A_23_P23996	MAT1A	methionine adenosyltransferase I, alpha (MAT1A), mRNA [NM_000429]	down	down	down
21147	A_32_P140475	KIAA1377	KIAA1377 (KIAA1377), mRNA [NM_020802]	down	down	down
22097	A_23_P80200	LOC400891	similar to chromosome 14 open reading frame 166B (LOC400891), mRNA [NM_001013675]	down	down	down
22777	A_23_P14774	CTSH	cathepsin H (CTSH), transcript variant 2, mRNA [NM_148979]	down	down	down
23147	A_24_P842002	LOC90835	hypothetical protein LOC90835 (LOC90835), mRNA [NM_001014979]	down	down	down
23339	A_23_P415021	METTL7A	methyltransferase like 7A (METTL7A), mRNA [NM_014033]	down	down	down
23500	A_23_P50946	RAMP1	receptor (G protein-coupled) activity modifying protein 1 (RAMP1), mRNA [NM_005855]	down	down	down
23532	A_23_P379945	KIAA1509	KIAA1509 (KIAA1509), mRNA [NM_001080414]	down	down	down
23596	A_32_P61495	FHAD1	cDNA FLJ36564 fis, clone TRACH2009851. [AK093883]	down	down	down
23724	A_23_P160787	PEX14	peroxisomal biogenesis factor 14 (PEX14), mRNA [NM_004565]	down	down	down
23755	A_23_P74653	NUDC	nuclear distribution gene C homolog (A. nidulans) (NUDC), mRNA [NM_006600]	down	down	down
25319	A_23_P132826	SERPINI2	serpin peptidase inhibitor, clade I (pancpin), member 2 (SERPINI2), mRNA [NM_006217]	down	down	down
25750	A_23_P9779	IRX5	iroquois homeobox protein 5 (IRX5), mRNA [NM_005853]	down	down	down
25860	A_23_P77048	SLC25A29	solute carrier family 25, member 29 (SLC25A29), transcript variant 2, mRNA [NM_152333]	down	down	down
25985	A_23_P61371	TMEM173	transmembrane protein 173 (TMEM173), mRNA [NM_198282]	down	down	down
26593	A_32_P27535	C17orf72	chromosome 17 open reading frame 72, mRNA (cDNA clone IMAGE:5299340). [BC045676]	down	down	down
26876	A_32_P449380		similar to hypothetical protein FLJ25955 (LOC401551), mRNA [NM_001045476]	down	down	down
27562	A_23_P60324	UBAC1	ubiquitin associated domain containing 1 (UBADC1), mRNA [NM_016172]	down	down	down
27704	A_32_P206899	DNAH2	dynein, axonemal, heavy chain 2 (DNAH2), mRNA [NM_020877]	down	down	down
28129	A_23_P92928	C6	complement component 6 (C6), mRNA [NM_000065]	down	down	down
28602	A_23_P372496	DNHD2	cDNA FLJ46751 fis, clone TRACH3022960, weakly  similar to Dynein beta chain, ciliary. [AK128592]	down	down	down
