ProbeID	GeneSymbol	Genbank	EntrezGeneID	P-value
A_24_P665513		AK001083		2.06E-06
A_24_P341806		AF090940		7.27E-06
A_24_P314597	KIAA0319L	NM_182686	79932	1.82E-05
A_23_P126844	TNFRSF25	NM_148965	8718	4.55E-05
A_32_P44349				4.95E-05
A_24_P321093	SPOCK2	NM_014767	9806	6.56E-05
A_24_P919510	RBM5	AF107493	10181	7.23E-05
A_24_P734843		BX092234		8.24E-05
A_23_P254522	COL4A4	NM_000092	1286	9.38E-05
A_32_P214054				0.000105
A_24_P873598		AL050122		0.000133
A_24_P927205				0.000136
A_23_P205370	ASB2	NM_016150	51676	0.000157
A_24_P649050		AK023816		0.000165
A_32_P168853		AK123481		0.000197
A_32_P162443				0.000259
A_32_P91328				0.000272
A_23_P333640	PAPLN	NM_173462	89932	0.000296
A_24_P934135		AK092791		0.000297
A_32_P108156	BIC	NR_001458	114614	0.000416
A_24_P912799	SEMA5A	AF056434	9037	0.000441
A_32_P116997		BE147120		0.000461
A_23_P15876	ALPK2	NM_052947	115701	0.00047
A_23_P113471	FAAH2	NM_174912	158584	0.000472
A_24_P934861				0.000491
A_23_P11017		AK021866		0.00053
A_32_P146826				0.000547
A_32_P224888		AK054895		0.000568
A_32_P216122		AK130891		0.00057
A_23_P354705	ST8SIA1	NM_003034	6489	0.000574
A_23_P134237	RARRES2	NM_002889	5919	0.000693
A_23_P123853	CCL19	NM_006274	6363	0.000779
A_23_P101407	C3	NM_000064	718	0.000948
A_23_P154566	TOX2	NM_032883	84969	0.001
A_23_P169092	CYP7B1	NM_004820	9420	0.00105
A_23_P4653	KLC3	BC025318	147700	0.00107
A_24_P205242	RPL23	BC034378	9349	0.00112
A_23_P121695	CXCL13	NM_006419	10563	0.00114
A_24_P918044		AK023572		0.00114
A_32_P40673				0.00114
A_23_P326142	NAG8	NM_014411	27099	0.00116
A_24_P715530		AK025082		0.0012
A_23_P130187				0.00135
A_23_P259357	SLC35E4	NM_001001479	339665	0.00143
A_23_P53588	WNT5B	NM_030775	81029	0.00143
A_32_P31206				0.00145
A_23_P408195	TMEM155	NM_152399	132332	0.00154
A_23_P121480	CD200	NM_001004196	4345	0.00163
A_24_P303454	TIAM2	NM_012454	26230	0.00163
A_23_P26325	CCL17	NM_002987	6361	0.0019
A_23_P81898	UBD	NM_006398	10537	0.00202
A_24_P135092	KIAA1641	NM_025190	57730	0.00205
A_23_P150919	TMEM142A	AK027372	84876	0.00209
A_23_P170679	COL4A3	NM_000091	1285	0.00221
A_23_P131024	ZBTB32	NM_014383	27033	0.00225
A_24_P501350		BX103037		0.00232
A_23_P164022	MYO1C	NM_033375	4641	0.00235
A_23_P218717	UBOX5	NM_014948	22888	0.00243
A_23_P253692	GPR64	NM_005756	10149	0.00244
A_23_P164650	APOE	NM_000041	348	0.00246
A_23_P79032	MGC10814	BC004943	84757	0.00252
A_23_P110412	FLJ12993	NM_001080506	441027	0.0027
A_23_P55270	CCL18	NM_002988	6362	0.00301
A_23_P134426	GPNMB	NM_001005340	10457	0.00306
A_23_P373716	ZNF563	NM_145276	147837	0.00313
A_23_P201521				0.00319
A_23_P75097	PDZD7	NM_024895	79955	0.00326
A_23_P392575	KCNE4	NM_080671	23704	0.00331
A_23_P28898	PLCB4	NM_000933	5332	0.00344
A_23_P256425	ADAMDEC1	NM_014479	27299	0.00346
A_23_P419641	DLL4	NM_019074	54567	0.00353
A_23_P40174	MMP9	NM_004994	4318	0.00355
A_24_P325025		BC017893		0.00355
A_32_P111362		BC037791		0.0036
A_23_P60753				0.00361
A_23_P120694	KCNE2	NM_172201	9992	0.00365
A_23_P38860	EXOC3L2	AY203927	90332	0.00372
A_32_P96154				0.00379
A_32_P202066		T52140		0.00385
A_24_P686992		BX647769		0.00387
A_23_P362694	C4orf7	NM_152997	260436	0.00397
A_23_P66774	GGT6	NM_153338	124975	0.0041
A_24_P167877	LOC440353	NR_002603	440353	0.0042
A_32_P221641				0.00427
A_32_P126467	FLJ40330	BC031698	645784	0.0047
A_32_P81324		DQ786299		0.00481
A_32_P158536				0.00487
