Name	Accession #	Cluster Number	FC-2d	FC-14d	Sequence Description
Gsta3	NM_010356	6	-1.94	-7.58	Mus musculus glutathione S-transferase, alpha 3 (Gsta3), mRNA
Cyp4b1	BC008996	6	-1.79	-4.92	cytochrome P450, family 4, subfamily b, polypeptide 1
Fmo1	NM_010231	3	-1.76	-3.66	Mus musculus flavin containing monooxygenase 1 (Fmo1), mRNA
Cbr2	BC010758	3	-3.86	-3.47	Sim:D26123,  Mouse mRNA for carbonyl reductase.  (e=3e-61,score=236,100% ID over 119nt [query=392nt], plus strand, blastn,Mus musculus)
Igfbp6	NM_008344	6	-1.81	-3.4	Mus musculus insulin-like growth factor binding protein 6 (Igfbp6), mRNA
Tspan7	NM_019634	6	-1.37	-2.77	tetraspanin 7
Tnni3	NM_009406	6	-1.11	-2.76	troponin I, cardiac
Tnnt2	NM_011619	6	-1.16	-2.54	Mus musculus troponin T2, cardiac (Tnnt2), mRNA
Actc1	NM_009608	6	-1.11	-2.46	Mus musculus actin, alpha, cardiac (Actc1), mRNA
Cyp2e1	NM_021282	3	-1.99	-2.46	Mus musculus cytochrome P450, family 2, subfamily e, polypeptide 1 (Cyp2e1), mRNA
Myh6	NM_010856	6	-1.29	-2.44	Mus musculus myosin, heavy polypeptide 6, cardiac muscle, alpha (Myh6), mRNA
Pon1	MMT00035011	3	-1.61	-2.34	paraoxonase 1
Mb	NM_013593	6	-1.08	-2.27	myoglobin
Efnb2	L38847	6	-1.08	-2.22	length=4342 Mus musculus hepatoma transmembrane kinase ligand (HTK ligand) mRNA, complete cds.
Ldhb	X51905	3	-1.89	-2.2	length=1238 Mouse Ldh-2 mRNA for lactate dehydrogenase-B (EC 1.1.1.27).
Myl4	AK013098	6	-1.09	-2.2	length=804 Mus musculus 10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810417B17 product:myosin light chain, alkali, cardiac atria, full insert sequence.
Tnnc1	NM_009393	6	-1.05	-2.19	Mus musculus troponin C, cardiac/slow skeletal (Tnnc1), mRNA
Rbp4	AK004839	6	-1.18	-2.18	length=920 Mus musculus adult male liver cDNA, RIKEN full-length enriched library, clone:1300001E09 product:retinol binding protein 4, plasma, full insert sequence.
Dpep1	NM_007876	6	-1.24	-2.11	dipeptidase 1 (renal)
Tnxb	NM_031176	6	-1.14	-2.05	tenascin XB
Gstm2	J04696	6	-1.2	-2.04	length=1014 Mouse glutathione S-transferase class mu (GST5-5) mRNA, complete cds.
Tek	NM_013690	3	-1.34	-2	Mus musculus endothelial-specific receptor tyrosine kinase (Tek), mRNA
Por	NM_008898	3	-1.63	-1.95	Mus musculus P450 (cytochrome) oxidoreductase (Por), mRNA
Kitl	NM_013598	6	-1.21	-1.92	Mus musculus kit ligand (Kitl), mRNA
Cat	NM_009804	3	-2.63	-1.82	Mus musculus catalase (Cat), mRNA
Fgfr3	M81342	3	-1.46	-1.74	length=4158 BALB/c fibroblast growth factor receptor 3 (mFR3) mRNA, complete cds.
Sorbs1	AK010043	3	-1.37	-1.71	length=1057 Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310065E01 product:unknown EST, full insert sequence.
Icam2	NM_010494	3	-1.24	-1.65	Mus musculus intercellular adhesion molecule 2 (Icam2), mRNA
Meis1	BB378466	6	-1.24	-1.58	myeloid ecotropic viral integration site 1
Notch4	NM_010929	6	-1.05	-1.55	Notch gene homolog 4 (Drosophila)
Enpep	NM_007934	4	-1.76	1.03	Mus musculus glutamyl aminopeptidase (Enpep), mRNA
