rank	id	name	IBC-score	nIBC-score
214	203535_at	S100A9	0.4131	-0.1771
213	202917_s_at	S100A8	0.3795	-0.1626
60	202901_x_at	CTSS	0.1761	-0.0755
40	215049_x_at	CD163	0.1563	-0.067
219	203625_x_at	SKP2	0.1522	-0.0652
165	219607_s_at	MS4A4A	0.1514	-0.0649
243	226320_at	THOC4	0.1473	-0.0631
41	203645_s_at	CD163	0.1422	-0.0609
56	201487_at	CTSC	0.1236	-0.053
96	230422_at	FPRL2	0.1236	-0.053
57	225647_s_at	CTSC	0.123	-0.0527
162	211042_x_at	MCAM	0.1196	-0.0513
166	1555728_a_at	MS4A4A	0.1012	-0.0434
58	225646_at	CTSC	0.0995	-0.0427
244	226319_s_at	THOC4	0.0995	-0.0427
151	206584_at	LY96	0.0988	-0.0424
118	217179_x_at	IGLV1-44	0.0909	-0.0389
211	229391_s_at		0.0897	-0.0384
152	202625_at	LYN	0.083	-0.0356
203	226436_at	RASSF4	0.0824	-0.0353
167	223922_x_at	MS4A6A	0.0811	-0.0348
143	203236_s_at	LGALS9	0.08	-0.0343
116	215214_at		0.0795	-0.0341
48	209939_x_at	CFLAR	0.0791	-0.0339
55	204971_at	CSTA	0.075	-0.0321
192	210915_x_at	PRSS1	0.0695	-0.0298
64	203915_at	CXCL9	0.068	-0.0292
250	223502_s_at	TNFSF13B	0.0668	-0.0286
20	228532_at	C1orf162	0.066	-0.0283
168	224356_x_at	MS4A6A	0.066	-0.0283
113	216510_x_at	IGHA1	0.0653	-0.028
169	223280_x_at	MS4A6A	0.0652	-0.0279
36	1405_i_at	CCL5	0.0632	-0.0271
185	219155_at	PITPNC1	0.0629	-0.0269
37	204655_at	CCL5	0.0625	-0.0268
79	227609_at	EPSTI1	0.0574	-0.0246
61	202902_s_at	CTSS	0.055	-0.0236
98	211795_s_at	FYB	0.051	-0.0218
70	204244_s_at	DBF4	0.0504	-0.0216
99	219815_at	GAL3ST4	0.0455	-0.0195
193	213193_x_at	PRSS1	0.0419	-0.0179
119	234764_x_at	IGLV1-44	0.0405	-0.0174
251	209670_at	TRAC	0.0398	-0.0171
200	214435_x_at	RALA	0.035	-0.015
53	208146_s_at	CPVL	0.0347	-0.0149
120	204912_at	IL10RA	0.0349	-0.0149
142	205269_at	LCP2	0.0324	-0.0139
187	203471_s_at	PLEK	0.0325	-0.0139
201	221872_at	RARRES1	0.0304	-0.013
62	232617_at	CTSS	0.0295	-0.0127
63	204533_at	CXCL10	0.0294	-0.0126
117	211881_x_at	IGLJ3	0.0285	-0.0122
194	211796_s_at	PRSS1	0.0285	-0.0122
50	209083_at	CORO1A	0.0282	-0.0121
114	216491_x_at	IGHM	0.0252	-0.0108
44	203416_at	CD53	0.0242	-0.0104
42	205831_at	CD2	0.0241	-0.0103
215	220330_s_at	SAMSN1	0.0232	-0.0099
144	213975_s_at	LILRB1	0.0224	-0.0096
24	202953_at	C1QB	0.0221	-0.0095
115	209374_s_at	IGHM	0.0198	-0.0085
195	212588_at	PTPRC	0.0181	-0.0078
38	1555759_a_at	CCL5	0.0149	-0.0064
51	224583_at	COTL1	0.0118	-0.0051
23	218232_at	C1QA	0.0105	-0.0045
105	219243_at	GIMAP4	0.0082	-0.0035
112	214916_x_at		0.0082	-0.0035
256	208997_s_at	UCP2	0.0074	-0.0032
66	203923_s_at	CYBB	0.0071	-0.003
109	206074_s_at	HMGA1	0.0028	-0.0012
43	204118_at	CD48	2.00E-04	-1.00E-04
28	218195_at	C6orf211	-1.00E-04	0
45	226185_at	CDS1	-3.00E-04	1.00E-04
238	203919_at	TCEA2	-6.00E-04	3.00E-04
158	215471_s_at	MAP7	-0.001	4.00E-04
135	229144_at	KIAA1026	-0.0014	6.00E-04
111	204703_at	IFT88	-0.0018	8.00E-04
82	202454_s_at	ERBB3	-0.0032	0.0014
122	204863_s_at	IL6ST	-0.0036	0.0015
156	223940_x_at	MALAT1	-0.0047	0.002
262	200670_at	XBP1	-0.0051	0.0022
7	221588_x_at	ALDH6A1	-0.0061	0.0026
149	225659_at	LOC339745	-0.0062	0.0027
39	208712_at	CCND1	-0.0068	0.0029
183	211778_s_at	OVOL2	-0.0069	0.003
170	225237_s_at	MSI2	-0.0073	0.0031
97	1553622_a_at	FSIP1	-0.008	0.0034
163	218259_at	MKL2	-0.0083	0.0035
121	211000_s_at	IL6ST	-0.0106	0.0045
134	213478_at	KIAA1026	-0.0108	0.0046
18	201169_s_at	BHLHB2	-0.0112	0.0048
6	216381_x_at	AKR7A3	-0.0125	0.0054
199	209123_at	QDPR	-0.0125	0.0054
75	225656_at	EFHC1	-0.0133	0.0057
91	227407_at	FLJ90013	-0.0133	0.0057
59	203657_s_at	CTSF	-0.0137	0.0059
180	220176_at	NUBPL	-0.0141	0.006
173	223130_s_at	MYLIP	-0.0141	0.0061
81	1563253_s_at	ERBB3	-0.0148	0.0063
101	213049_at	GARNL1	-0.0149	0.0064
80	226213_at	ERBB3	-0.0152	0.0065
153	218437_s_at	LZTFL1	-0.0151	0.0065
171	207847_s_at	MUC1	-0.0177	0.0076
67	223421_at	CYHR1	-0.0179	0.0077
176	203961_at	NEBL	-0.0186	0.008
15	204032_at	BCAR3	-0.0218	0.0093
16	203685_at	BCL2	-0.0224	0.0096
218	200711_s_at	SKP1A	-0.0235	0.0101
87	227811_at	FGD3	-0.0237	0.0102
136	231856_at	KIAA1244	-0.0243	0.0104
4	205355_at	ACADSB	-0.0245	0.0105
76	213712_at	ELOVL2	-0.0244	0.0105
161	225611_at	MAST4	-0.0254	0.0109
77	204398_s_at	EML2	-0.026	0.0112
255	244579_at	TRPS1	-0.0273	0.0117
126	211323_s_at	ITPR1	-0.0286	0.0122
34	212551_at	CAP2	-0.0294	0.0126
240	227279_at	TCEAL3	-0.0299	0.0128
85	235125_x_at	FAM73A	-0.0307	0.0131
9	227034_at	ANKRD57	-0.0307	0.0132
10	210085_s_at	ANXA9	-0.0311	0.0133
189	204284_at	PPP1R3C	-0.0318	0.0136
54	221139_s_at	CSAD	-0.0329	0.0141
127	225311_at	IVD	-0.033	0.0141
261	1555270_a_at	WFS1	-0.035	0.015
13	40148_at	APBB2	-0.0363	0.0155
65	202263_at	CYB5R1	-0.0384	0.0164
175	214440_at	NAT1	-0.0384	0.0165
125	210239_at	IRX5	-0.0398	0.0171
12	218261_at	AP1M2	-0.0407	0.0174
198	200635_s_at	PTPRF	-0.0419	0.018
205	226597_at	REEP6	-0.0446	0.0191
148	228051_at	LOC202451	-0.0452	0.0194
146	227550_at	LOC143381	-0.046	0.0197
263	230063_at	ZNF264	-0.0469	0.0201
197	200636_s_at	PTPRF	-0.0488	0.0209
196	200637_s_at	PTPRF	-0.0495	0.0212
73	212908_at	DNAJC16	-0.0502	0.0215
186	242323_at	PLA2G12A	-0.0504	0.0216
249	213285_at	TMEM30B	-0.0505	0.0216
188	217944_at	POMGNT1	-0.0507	0.0217
160	235141_at	MARVELD2	-0.051	0.0218
226	1555203_s_at	SLC44A4	-0.0512	0.0219
133	222468_at	KIAA0319L	-0.0515	0.0221
49	230142_s_at	CIRBP	-0.0522	0.0224
14	218471_s_at	BBS1	-0.0538	0.0231
52	226939_at	CPEB2	-0.0545	0.0233
147	224990_at	LOC201895	-0.0543	0.0233
100	214855_s_at	GARNL1	-0.0556	0.0238
157	202889_x_at	MAP7	-0.0572	0.0245
224	202088_at	SLC39A6	-0.0604	0.0259
225	205597_at	SLC44A4	-0.0607	0.026
182	227492_at	OCLN	-0.0609	0.0261
159	228423_at	MAP9	-0.061	0.0262
217	200719_at	SKP1A	-0.0633	0.0271
254	222651_s_at	TRPS1	-0.066	0.0283
131	203143_s_at	KIAA0040	-0.0677	0.029
69	228915_at	DACH1	-0.0724	0.031
124	204686_at	IRS1	-0.0729	0.0312
140	224746_at	KIAA1522	-0.0748	0.0321
229	216092_s_at	SLC7A8	-0.0756	0.0324
239	226388_at	TCEA3	-0.0791	0.0339
164	218211_s_at	MLPH	-0.0857	0.0367
25	214428_x_at	C4A	-0.0869	0.0372
154	208682_s_at	MAGED2	-0.0874	0.0375
191	227629_at	PRLR	-0.0878	0.0376
19	218792_s_at	BSPRY	-0.088	0.0377
233	226086_at	SYT13	-0.0899	0.0385
259	218807_at	VAV3	-0.09	0.0386
123	1552477_a_at	IRF6	-0.0922	0.0395
228	202752_x_at	SLC7A8	-0.0946	0.0405
11	65517_at	AP1M2	-0.0958	0.0411
210	218394_at	ROGDI	-0.0966	0.0414
90	243309_at	FLJ27352	-0.0972	0.0416
184	222125_s_at	PH-4	-0.0974	0.0417
209	213397_x_at	RNASE4	-0.0989	0.0424
141	230434_at	KLHL23	-0.0991	0.0425
86	227641_at	FBXL16	-0.1006	0.0431
155	224568_x_at	MALAT1	-0.102	0.0437
241	204653_at	TFAP2A	-0.1036	0.0444
89	218692_at	FLJ20366	-0.1042	0.0447
46	41660_at	CELSR1	-0.1056	0.0453
248	225822_at	TMEM125	-0.1081	0.0463
93	208613_s_at	FLNB	-0.1082	0.0464
258	218806_s_at	VAV3	-0.1085	0.0465
216	203453_at	SCNN1A	-0.1094	0.0469
230	243386_at	SRG	-0.1095	0.0469
139	226248_s_at	KIAA1324	-0.1118	0.0479
223	1556551_s_at	SLC39A6	-0.113	0.0484
130	227582_at	KARCA1	-0.1147	0.0491
106	205201_at	GLI3	-0.1155	0.0495
257	224221_s_at	VAV3	-0.1198	0.0513
207	227758_at	RERG	-0.1235	0.0529
145	228058_at	LOC124220	-0.1277	0.0547
190	231981_at	PRLR	-0.1317	0.0564
108	202554_s_at	GSTM3	-0.1325	0.0568
222	202089_s_at	SLC39A6	-0.135	0.0579
179	225876_at	NPAL3	-0.1361	0.0583
206	244745_at	RERG	-0.1387	0.0594
22	202597_at	C1orf74	-0.141	0.0604
26	208451_s_at	C4B	-0.143	0.0613
253	224218_s_at	TRPS1	-0.1434	0.0614
177	204862_s_at	NME3	-0.1437	0.0616
129	212496_s_at	JMJD2B	-0.1496	0.0641
227	216604_s_at	SLC7A8	-0.1527	0.0654
107	205862_at	GREB1	-0.154	0.066
202	1553986_at	RASEF	-0.1539	0.066
252	234351_x_at	TRPS1	-0.1568	0.0672
128	212492_s_at	JMJD2B	-0.1575	0.0675
242	204623_at	TFF3	-0.1604	0.0687
3	226030_at	ACADSB	-0.1621	0.0695
178	226992_at	NOSTRIN	-0.169	0.0724
47	36499_at	CELSR2	-0.1719	0.0737
221	1555460_a_at	SLC39A6	-0.1767	0.0757
174	218966_at	MYO5C	-0.1794	0.0769
95	204667_at	FOXA1	-0.1825	0.0782
138	243349_at	KIAA1324	-0.1878	0.0805
208	205158_at	RNASE4	-0.1918	0.0822
246	226506_at	THSD4	-0.1919	0.0822
104	209604_s_at	GATA3	-0.1966	0.0843
110	225792_at	HOOK1	-0.1977	0.0847
84	226863_at	FAM110C	-0.2028	0.0869
260	220917_s_at	WDR19	-0.2184	0.0936
235	212956_at	TBC1D9	-0.2205	0.0945
181	223535_at	NUDT12	-0.2257	0.0967
245	222835_at	THSD4	-0.2336	0.1001
132	217929_s_at	KIAA0319L	-0.2355	0.1009
21	210652_s_at	C1orf34	-0.2396	0.1027
103	209602_s_at	GATA3	-0.2422	0.1038
94	237086_at	FOXA1	-0.2465	0.1057
92	208614_s_at	FLNB	-0.2478	0.1062
68	227702_at	CYP4X1	-0.2485	0.1065
212	227722_at	RPS23	-0.2503	0.1073
27	221823_at	C5orf30	-0.2597	0.1113
220	235747_at	SLC25A16	-0.2636	0.113
237	225544_at	TBX3	-0.2724	0.1167
33	214164_x_at	CA12	-0.2798	0.1199
88	218532_s_at	FLJ20152	-0.296	0.1269
236	219682_s_at	TBX3	-0.3006	0.1288
32	215867_x_at	CA12	-0.3041	0.1303
137	221874_at	KIAA1324	-0.3049	0.1307
172	204798_at	MYB	-0.3131	0.1342
232	227182_at	SUSD3	-0.3146	0.1348
247	226403_at	TMC4	-0.3202	0.1372
31	203963_at	CA12	-0.3269	0.1401
2	209459_s_at	ABAT	-0.3381	0.1449
72	218976_at	DNAJC12	-0.3381	0.1449
35	227966_s_at	CCDC74B	-0.3414	0.1463
204	204364_s_at	REEP1	-0.3501	0.15
102	209603_at	GATA3	-0.3521	0.1509
1	209460_at	ABAT	-0.3535	0.1515
5	227198_at	AFF3	-0.384	0.1646
234	212960_at	TBC1D9	-0.3958	0.1696
30	204508_s_at	CA12	-0.4034	0.1729
29	210735_s_at	CA12	-0.4072	0.1745
71	223721_s_at	DNAJC12	-0.4158	0.1782
150	237339_at	LOC646360	-0.4208	0.1804
74	227081_at	DNALI1	-0.4525	0.1939
78	227803_at	ENPP5	-0.4595	0.1969
83	205225_at	ESR1	-0.5147	0.2206
17	228241_at	BCMP11	-0.5338	0.2288
8	223864_at	ANKRD30A	-0.535	0.2293
231	203438_at	STC2	-0.6935	0.2972
