Gene symbol	Description	Expression Ratio Case 7	Expression ratio Case 8
CHI3L1	Chitinase 3-like 1 (YKL-40, cartilage glycoprotein-39)	51	46
METTL1	Methyltransferase-like 1	49	44
RNF15	Ring finger protein 15	27	23
HSF2	Heat shock transcription factor 2	22	25
SPINK2	Serine protease inhibitor, Kazal type, 2	18	22
DGKD	Diacylglycerol kinase delta (130 kD)	19	21
ABR	Active BCR-related gene	18	21
ELA3A	Elastase 3A, pancreatic (protease E)	16	22
RELB	V-rel avian reticuloendotheliosis viral oncogene homolog B	14	24
GARS	Glycyl-tRNA synthetase	17	21
GSTM4	Glutathione S-transferase M4	16	21
DBP	D site of albumin promoter (albumin D-box) binding protein	17	20
AANAT	Arylalkylamine N-acetyltransferase	18	18
AOC2	Amine oxidase, copper containing 2	16	19
METAP2	Methionyl aminopeptidase 2	17 (15)	18 (15)
CRSP9	Co-factor required for Sp1 transcriptional activation, subunit 9	14	19
PPM1G	Protein phosphatase 1G, magnesium-dependent, gamma isoform	14	19
HLALS	Major histocompatibility complex, class I-like sequence	17	15
PEX13	Peroxisome biogenesis factor 13	16	16
KCNN4	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	13	18
CYBB	Cytochrome b-245, beta polypeptide	14	16
PPIB	Peptidyl-prolyl isomerase B	13	17
ADRB2	Adrenergic, beta-2-, receptor, surface	14	16
DCI	Dodecenoyl-Coenzyme A delta isomerase	11	19
EIF5	Eukaryotic translation initiation factor 5	14	15
ITGB3	Integrin beta 3	13	16
XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3	11	17
MIPEP	Mitochondrial intermediate peptidase	11	16
SFRS1	Splicing factor, arginine/serine-rich 1	14	13
CHST1	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	13	14
SCG2	Secretogranin II (chromogranin C)	13	14
POU6F1	POU domain, class 6, transcription factor 1	11	15
ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	12	14
POLR2A	Polymerase II, RNA, subunit A	10	14
HLA-DMB	Major histocompatibility complex, class II, DM beta	9	14
