Gene symbol	Gene name	Reference	Fold change	P-value	NF-kB target	Color
MARCKS	Myristoylated alanine-rich protein kinase C substrate	Wright et al., 2003	49.422	2.18E-35	No	Pink
IRF4	Interferon regulatory factor 4	Wright et al., 2003/Shipp et al., 2002/Feuerhake et al., 2005	32.201	?E-46	Yes	Pink
CD44	CD44 molecule (Indian blood group)	Alizadeh et al., 2000 /Shipp et al., 2002/Feuerhake et al., 2005	26.322	8.24E-40	Yes	Pink
CCL22	Homo sapiens chemokine (C-C motif) ligand 22	Shipp et al., 2002/Feuerkhake et al., 2005/Ngo et al., 2006	20.656	?E-46	Yes	Pink
BCL2	B-cell CLL/lymphoma 2	Wright et al., 2003/Shipp et al., 2002/Feuerhake et al., 2005	13.589	?E-46	Yes	Pink
CCR7	Chemokine (C-C motif) receptor 7	Kalaitzidis et al., 2002	6.7862	7.93E-41	Yes	Pink
TRAF1	TNF-receptor associated factor 1	Kalaitzidis et al., 2002	4.9714	1.18E-16	Yes	Pink
BIC / miR155	BIC transcript (BIC) on chromosome 21	Ngo et al., 2006	3.54559	?E-46	Yes	Pink
FLJ42287	CDNA FLJ42287 fis, clone TLIVE2005866	Ngo et al., 2006	3.3313	?E-46	No	Pink
CD83	Activated B lymphocytes, immunoglobulin superfamily	Kalaitzidis et al., 2002	3.3096	7.95E-14	Yes	Pink
NFKBIZ	Molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL), homolog of mouse	Ngo et al., 2006	3.1408	1.70E-26	Yes	Pink
BCL2A1	BCL2-related protein A1	Kalaitzidis et al., 2002	2.7843	1.19E-27	Yes	Pink
LITAF	Lipopolysaccharide-induced TNF factor	Shipp et al., 2002/Feuerkhake et al., 2005	2.6319	1.40E-12	No	Pink
FLIP / CFLAR	CASP8 and FADD-like apoptosis regulator	Alizadeh et al., 2000/Shipp et al., 2002/Feuerhake et al., 2005	2.4753	1.28E-33	Yes	Pink
ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	Wright et al., 2003	2.3873	9.75E-35	No	Pink
BCL2L1	BCL2-like 1, nuclear gene encoding mitochondrial protein	Kalaitzidis et al., 2002	2.2602	9.55E-26	Yes	Pink
BATF	Basic leucine zipper transcription factor, ATF-like	Wright et al., 2003/Ngo et al., 2006	2.1511	2.21E-29	No	Pink
BMI1	B lymphoma Mo-MLV insertion region (mouse)	Alizadeh et al., 2000	2.0915	2.15E-31	No	Pink
ICAM1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	Kalaitzidis et al., 2002	1.9896	5.90E-17	Yes	Pink
GADD34 / PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	Alizadeh et al., 2000	1.9464	3.35E-29	 No	Pink
EGR1	Homo sapiens early growth response 1	Shipp et al., 2002/Feuerkhake et al., 2005	1.8045	0.0519	Yes	None
KIAA1217	KIAA1217	Ngo et al., 2006	1.7114	0.0044	No	Pink
FLJ22662	Hypothetical protein FLJ22662	Ngo et al., 2006	1.6434	0.4797	No	None
CCDC50	Coiled-coil domain containing 50	Wright et al., 2003	1.5768	2.51E-07	No	Pink
PIM2	Pim-2 oncogene	Wright et al., 2003/Ngo et al., 2006	1.5729	6.76E-07	No	Pink
ARHGAP17	Homolog of rat nadrin	Ngo et al., 2006	1.5039	1.32E-08	No	Pink
LTA	Lymphotoxin alpha	Kalaitzidis et al., 2002	1.5025	7.12E-13	Yes	Pink
PTPN2	Protein tyrosine phosphatase, non-receptor type 2	Alizadeh et al., 2000, Shipp et al., 2002/Feuerkhake et al., 2005	1.4776	0.0014	No	Pink
PBEF1	Pre-B-cell colony enhancing factor 1, transcript variant 1	Alizadeh et al., 2000	1.46154	5.00E-05	 No	Pink
CD40	CD40 molecule, TNF receptor superfamily 5	Kalaitzidis et al., 2002	1.4479	8.97E-11	Yes	Pink
EDG1	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	Alizadeh et al., 2000	1.4157	0.6022	No	None
PARVB	Parvin, beta	Ngo et al., 2006	1.4077	0.6078	No	None
BMF	Bcl2 modifying factor	Wright et al., 2003	1.38	0.0008	No	Pink
NCF2	Homo sapiens neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	Shipp et al., 2002/Feuerkhake et al., 2005	1.371	0.0283	No	None
NFKB2	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	Kalaitzidis et al., 2002/Alizadeh et al., 2000	1.3708	0.0001	Yes	Pink
DRIL1 / ARID3A	AT-rich interactive domain 3A	Alizadeh et al., 2000/Ngo et al., 2006	1.3065	0.0487	No	None
CSNK1E	Casein kinase 1, epsilon	Wright et al., 2003	1.3061	0.0055	No	None
TGFBR2	Transforming growth factor beta receptor II	Alizadeh et al., 2000	1.2682	0.0304	No	None
NFKBIA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	Kalaitzidis et al., 2002	1.2641	0.0021	Yes	Pink
DCTD	Deoxcytidylate deaminase	Alizadeh et al., 2000	1.2342	0.0059	No	None
ACP1	Acid phosphatase 1, soluble	Wright et al., 2003	1.1716	0.0189	No	None
SEC11L3	SEC11-like 3 (S. cerevisiae)	Ngo et al., 2006	1.1695	0.0201	No	None
SLC2A5 (GLUT5)	Solute carrier family 2 (facilitated glucose/fructose transporter), member 5	Shipp et al., 2002/Feuerkhake et al., 2005	1.1611	0.5719	No	None
MZF1 / ZFP42	Zinc finger protein 42	Alizadeh et al., 2000	1.1519	0.8062	No	None
c-myc	V-myc myelocytomatosis viral oncogene homolog (avian)	Alizadeh et al., 2000	1.14565	0.498	Yes	None
