GeneID	GeneName	logFC	P.Value	adj.P.Val
ADCY9	ADENYLATE CYCLASE 9	0.472046012	8.62E-06	0.01860295
COL27A1	PROCOLLAGEN, TYPE XXVII, ALPHA 1	0.516688187	3.54E-05	0.03359685
TCF7L2	TRANSCRIPTION FACTOR 7-LIKE 2	0.608011506	5.20E-05	0.040504323
SNX6	SORTING NEXIN 6	0.72697581	8.33E-05	0.050861561
GRIK3	GLUTAMATE RECEPTOR, IONOTROPIC, KAINATE 3	0.577502915	0.000249359	0.085221002
EFNA5	EPHRIN-A5	0.332219675	0.000588901	0.134501228
PAX6	PAIRED BOX GENE 6	0.298866099	0.000650181	0.137209182
BC020523	INTEGRATOR COMPLEX SUBUNIT 7	0.498509943	0.000669782	0.137209182
SCD4	STEAROYL-COENZYME A DESATURASE 4	0.40534176	0.000923722	0.144071663
BC064430	LOC205251	0.482042742	0.000822115	0.144071663
LAX1	LYMPHOCYTE TRANSMEMBRANE ADAPTOR 1	0.323175795	0.000935538	0.144071663
NS3TP1	ASPARAGINASE SYNTHETASE DOMAIN CONTAINING 1	0.350410815	0.00077126	0.144071663
C2CD2	C2 CALCIUM-DEPENDENT DOMAIN CONTAINING 2	0.352408427	0.000932685	0.144071663
ANGPT1	ANGIOPOIETIN 1	0.238631587	0.001387363	0.168809242
PIGT	PHOSPHATIDYLINOSITOL GLYCAN, CLASS T	0.491418603	0.001705602	0.175574283
KNS2	KINESIN 2	0.448831767	0.001801092	0.181041537
RBAF600	UBIQUITIN PROTEIN LIGASE E3 COMPONENT N-RECOGNIN 4	0.435884239	0.002181439	0.184536815
INPP4B	INOSITOL POLYPHOSPHATE-4-PHOSPHATASE, TYPE II	0.318193684	0.002176272	0.184536815
PTPRJ	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, J	0.271860193	0.002152709	0.184536815
ARFIP1	ADP-RIBOSYLATION FACTOR INTERACTING PROTEIN 1	0.319924937	0.002155958	0.184536815
