Gene Name	Gene Description	Gene_Symbol [A]	GB_Gene_Name [A]	Genbank_Accession [A]	Go_Biological_Process [A]	MapLocation [A]	Average Rank	Overall Rank	11 Paired Samples Paired T-Test	11 Paired Pamples Avg Paired FC T/LN
201225_s_at	serine/arginine repetitive matrix 1	SRRM1	SRM160	NM_005839.1	GO:6371 mRNA splicing(experimental evidence)	1pter-p33	103	1	0.001586	0.72
213195_at	Homo sapiens cDNA FLJ31246 fis, clone KIDNE2005266	NA	NA	AI625844			89	2	0.005314	0.71
201704_at	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	ENTPD6	ENTPD6	NM_001247.1		20p11.2-p11.22	92	3	0.001604	1.7
217066_s_at	dystrophia myotonica-protein kinase	NA	NA	M87313.1			95	4	7.43E-04	0.35
210481_s_at	CD209 antigen-like	CD209L	NA	AF245219.2		19p13	89	5	0.005537	0.62
213787_s_at	emopamil binding protein (sterol isomerase)	NA	NA	AV702405			90	6	3.27E-04	5.89
201959_s_at	KIAA0916 protein	NA	NA	AA488899		13q22	94	7	0.002804	0.59
207200_at	ornithine carbamoyltransferase	OTC	OTC	NM_000531.2		xp21.1	95	8	2.44E-04	0.42
213169_at	Homo sapiens cDNA FLJ12815 fis, clone NT2RP2002546	NA	NA	BG109855			92	9	0.001156	0.47
49077_at	protein phosphatase methylesterase-1	PME-1		AL040538	GO:6482 protein demethylation(experimental evidence)	11q13.3	99	10	0.003291	1.41
216784_at	Homo sapiens cDNA: FLJ21769 fis, clone COLF7354	NA	NA	AK025422.1			90	11	0.001897	0.47
206664_at	sucrase-isomaltase	SI	SI	NM_001041.1		3q25.2-q26.2	94	12	4.64E-04	0.36
210313_at	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 4	NA	NA	AF041261.1		19q13.4	85	13	0.001074	0.36
210480_s_at	myosin VI	MYO6	MYO6	U90236.2	GO:7605 hearing(predicted/computed)	6q13	89	14	0.001476	3.86
201510_at	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	ELF3	ERT	AF017307.1	GO:7275 developmental processes(predicted/computed) GO:7345 embryogenesis and morphogenesis(not recorded) GO:6366 transcription from Pol II promoter(experimental evidence)	1q32.2	86	15	0.005047	1.96
65493_at	hypothetical protein FLJ22087	FLJ22087	NA	AA555088		17q23.3	89	16	0.005275	0.81
218773_s_at	pilin-like transcription factor	NA	PILB	NM_012228.1		10p12	87	17	0.003332	1.71
41577_at	protein phosphatase 1, regulatory (inhibitor) subunit 16B	PPP1R16B	NA	AB020630		20q11.23-q12	89	18	3.16E-04	0.31
208996_s_at	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	NA	NA	BC000409.1			87	19	2.84E-04	1.81
216179_x_at	Homo sapiens cDNA: FLJ23520 fis, clone LNG04926 [BLAST]	NA	NA	AK027173.1			91	20	1.40E-04	0.37
