Gene name	Symbol	Ricin mean AR VOL	Saline mean AR VOL	p-Value (ricin/saline)	Dunn-Sidak corrected p-value (ricin/saline)	Gene Function
Anti-proliferative B-cell translocation gene 2	BTG2	13.14	5.31E+00	4.62 £ 1026	5.44 £ 1023	Apoptosis
Pim1 proto-oncogene		4.76	1.88E+00	4.74 £ 1027	5.60 £ 1024	Apoptosis
Thrombospondin 1 precursor	THBS1; TSP1	13.65	2.67E+00	1.88 £ 1029	2.23 £ 1026	Apoptosis
T-cell death-associated protein	TDAG51	7.84	1.86E+00	4.44 £ 1029	5.25 £ 1026	Apoptosis
C-fos proto-oncogene		3.22	1.18E+00	2.05 £ 1026	2.42 £ 1023	Cell growth and differentiation
C-myc proto-oncogene		5.36	1.03E+00	6.08 £ 10211	7.19 £ 1028	Cell growth and differentiation
Cytokine inducible SH2-containing protein 3	CISH3	3.81	1.06E+00	5.19 £ 1029	6.13 £ 1026	Cell growth and differentiation
Fos-related antigen 2	FRA2	4.06	1.65E+00	1.86 £ 1027	2.19 £ 1024	Cell growth and differentiation
Inhibin beta-B precursor		1.75	1.02E+00	1.61 £ 1026	1.90 £ 1023	Cell growth and differentiation
Macrophage colony stimulating factor 1 precursor	MCSF	3.09	9.80E-01	3.74 £ 1029	4.42 £ 1026	Cell growth and differentiation
MAP kinase-activated protein kinase	MAPKAPK-2	2.49	1.36E+00	1.92 £ 1025	2.24 £ 1022	Cell growth and differentiation
Serine protease inhibitor 2-2	SPI2-2	3.06	8.50E-01	5.34 £ 1027	6.31 £ 1024	Cell growth and differentiation
Stimulated by Retinoic Acid Protein 14	STRA14	6.3	1.88E+00	2.02 £ 1028	2.39 £ 1025	Cell growth and differentiation
Fibronectin 1 precursor	FN1	47.89	1.47E+01	4.52 £ 1025	5.20 £ 1022	Cellular matrix
Type I cytoskeletal keratin 18	KRT1-18	2.23	1.15E+00	3.88 £ 1027	4.59 £ 1024	Cellular matrix
Ephrin type A receptor 2	EPHA2	1.43	8.40E-01	1.68 £ 1025	1.97 £ 1022	DNA repair
CD14 monocyte differentiation antigen precursor		8.4	2.15E+00	1.39 £ 1029	1.65 £ 1026	Inflammation and cell trafficking
Intercellular adhesion molecule 1 precursor	ICAM1	18.44	4.69E+00	5.24 £ 1029	6.18 £ 1026	Inflammation and cell trafficking
Interleukin-6 precursor	IL-6	1.22	4.30E-01	1.80 £ 1028	2.13 £ 1025	Inflammation and cell trafficking
Macrophage inflamatory protein 1 beta	Act 2	1.22	4.80E-01	4.15 £ 1026	4.89 £ 1023	Inflammation and cell trafficking
Monocyte chemoattractant protein 3		2.57	7.90E-01	7.42 £ 1028	8.76 £ 1025	Inflammation and cell trafficking
Tristetraproline	TTP	3.53	1.22E+00	4.47 £ 1026	5.27 £ 1023	Inflammation and cell trafficking
Integrin alpha 7		1.47	8.30E-01	2.84 £ 1025	3.30 £ 1022	Inflammation and cell trafficking
Cell surface glycoprotein MAC-1 alpha subunit precursor		1.72	8.90E-01	3.61 £ 1025	4.17 £ 1022	Inflammation and cell trafficking
Early growth response protein 1	EGR1	32.78	2.51E+00	7.39 £ 10217	1.31 £ 10213	Lung injury/healing
I-kappa B alpha subunit	IKB alpha	8.6	2.18E+00	6.64 £ 10211	7.85 £ 1028	NFKB signaling
Nuclear factor of kappa light chain protein enhancer in B-cells		2.75	1.25E+00	4.76 £ 1028	5.62 £ 1025	NFKB signaling
Transcription factor relB		1.54	7.40E-01	3.06 £ 1027	3.61 £ 1024	inhibitor alpha (IKB-beta)
Tumor necrosis factor alpha-induced protein 3	TNFAIP3	1.36	7.00E-01	2.37 £ 1026	2.79 £ 1023	inhibitor alpha (IKB-beta)
Activating transcription factor 4	mATF4	0.94	6.30E-01	3.24 £ 1025	3.76 £ 1022	Transcription factor
Albumin D box-binding protein		4.04	1.34E+00	2.50 £ 1027	2.96 £ 1024	Transcription factor
cAMP-dependent transcription factor 3	ATF3	1.31	5.60E-01	2.28 £ 10211	2.69 £ 1028	Transcription factor
Early growth response protein 2	EGR2	1.17	6.10E-01	2.48 £ 1026	2.93 £ 1023	Transcription factor
Interferon regulatory factor 1	IRF1	14.6	5.50E+00	7.07 £ 1028	8.35 £ 1025	Transcription factor
