Over-expression (Z score)	Probe set	Description	Common	GeneBank
8.006	242832_at	period homolog 1 (Drosophila)	PER1	AI743776
6.542	204621_s_at	nuclear receptor subfamily 4, group A, member 2	NR4A2	AI935096
6.105	230511_at	cAMP responsive element modulator	CREM	AI800640
6.003	209959_at	Human mitogen induced nuclear orphan receptor (MINOR) mRNA, complete cds.	NR4A3	U12767
5.878	242904_x_at	qr06h10.x1 Soares_total_fetus_Nb2HF8_9w Homo sapiens cDNA clone IMAGE:1940131 3 similar to contains MER22.t1 TAR1 repetitive element ;, mRNA sequence.	MGC8721	AI351653
5.583	1555832_s_at	MRNA; cDNA DKFZp564C2063 (from clone DKFZp564C2063)		BU683415
5.582	218723_s_at	response gene to complement 32	RGC32	NM_014059
5.544	217783_s_at	yippee protein	CGI-127	NM_016061
5.438	238633_at	enhancer of polycomb homolog 1 (Drosophila)	EPC1	W93523
5.335	212225_at	putative translation initiation factor	SUI1	AL516854
5.314	225557_at	AXIN1 up-regulated 1	AXUD1	AI091372
5.302	219228_at	zinc finger protein 331	ZNF331	NM_018555
5.256	224606_at	602363024F1 NIH_MGC_90 Homo sapiens cDNA clone IMAGE:4471541 5, mRNA sequence.		BG250721
5.211	222408_s_at	yippee protein	CGI-127	BC000836
5.209	208961_s_at	core promoter element binding protein	COPEB	AB017493
5.155	225951_s_at	chromodomain helicase DNA binding protein 2	CHD2	AV756026
4.943	1556873_at	Homo sapiens hypothetical protein LOC51320, mRNA (cDNA clone IMAGE:4828930), partial cds.	RKHD2	BC032952
4.809	202643_s_at	tumor necrosis factor, alpha-induced protein 3	TNFAIP3	AI738896
4.778	201464_x_at	v-jun sarcoma virus 17 oncogene homolog (avian)	JUN	BG491844
4.778	37028_at	protein phosphatase 1, regulatory (inhibitor) subunit 15A	PPP1R15A	U83981
4.742	209795_at	CD69 antigen (p60, early T-cell activation antigen)	CD69	L07555
4.582	36711_at	Human DNA sequence from clone CTA-447C4 on chromosome 22q12.2-13.2, complete sequence.	MAFF	AL021977
4.467	230380_at	hypothetical protein DKFZp564I0422	DKFZP564I0422	AW235671
4.456	1557257_at	B-cell CLL/lymphoma 10	BCL10	AA994334
4.308	204794_at	dual specificity phosphatase 2	DUSP2	NM_004418
4.289	202147_s_at	interferon-related developmental regulator 1	IFRD1	NM_001550
4.246	228562_at	zinc finger and BTB domain containing 10	ZBTB10	N29918
4.195	1555411_a_at	cyclin L1	CCNL1	AF367476
4.169	1559975_at	Hypothetical protein LOC256021 (LOC256021), mRNA	BTG1	BC009050
4.14	228097_at	myosin regulatory light chain interacting protein	MYLIP	AW292746
4.08	203752_s_at	jun D proto-oncogene	JUND	NM_005354
4.045	217741_s_at	zinc finger protein 216	ZNF216	AW471220
4.043	241985_at	junction-mediating and regulatory protein	JMY	AI814405
4.037	201751_at	KIAA0063 gene product	KIAA0063	NM_014876
3.966	202704_at	transducer of ERBB2, 1	TOB1	AA675892
3.94	207574_s_at	growth arrest and DNA-damage-inducible, beta	GADD45B	NM_015675
3.935	200730_s_at	602135085F1 NIH_MGC_81 Homo sapiens cDNA clone IMAGE:4290141 5, mRNA sequence.	PTP4A1	BF576710
3.935	209069_s_at	H3 histone, family 3B (H3.3B)	H3F3B	BC001124
3.922	230048_at	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only		BF061555
3.91	1554306_at	inositol 1,4,5-trisphosphate 3-kinase B	ITPKB	BC015009
3.862	230233_at	RasGEF domain family, member 1B	RASGEF1B	BF110534
3.857	211840_s_at	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	PDE4D	U50157
3.847	231182_at	Wiskott-Aldrich syndrome protein interacting protein	WASPIP	BF446719
3.838	226153_s_at	CCR4-NOT transcription complex, subunit 6-like	CNOT6L	AW514857
3.817	1568665_at	ring finger protein 103	RNF103	BC022477
3.764	227558_at	chromobox homolog 4 (Pc class homolog, Drosophila)	CBX4	AI570531
3.752	203725_at	growth arrest and DNA-damage-inducible, alpha	GADD45A	NM_001924
3.712	209510_at	ring finger 139	RNF139	AF064801
3.683	221763_at	thyroid hormone receptor interactor 8	JMJD1C	AI694023
3.65	212665_at	TCDD-inducible poly(ADP-ribose) polymerase	TIPARP	AL556438
3.627	208706_s_at	eukaryotic translation initiation factor 5	EIF5	AK026933
3.611	224569_s_at	interferon regulatory factor 2 binding protein 2	IRF2BP2	AW242432
3.575	236213_at	Transcribed sequence with strong similarity to protein ref:NP_060117.2 (H.sapiens) FtsJ homolog 3		AI809760
3.574	205214_at	serine/threonine kinase 17b (apoptosis-inducing)	STK17B	NM_004226
