Gene	Clone	UG cluster	Fold-diff L/AT	t-value
small nuclear protein PRAC	2231168	Hs.116467	20.35	11.704
serine protease inhibitor, Kazal type, 5	776793	Hs.331555	5.46	5.204
homeo box B13	1861743	Hs.66731	5.3	9.418
solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	1634540	Hs.102307	5.14	5.206
phospholipase A2, group IIA (platelets, synovial fluid)	699410	Hs.76422	4.94	6.944
ESTs	1671596	Hs.109438	4.93	14.716
connective tissue growth factor	1674454	Hs.75511	4.71	6.222
secretory leukocyte protease inhibitor (antileukoproteinase)	2510171	Hs.251754	4.62	12.476
BRCA1 associated protein	1623214	Hs.122764	4.5	7.054
S100 calcium binding protein P	2060823	Hs.2962	4.49	5.765
trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	963536		4.37	6.081
protease inhibitor 3, skin-derived (SKALP)	2503913	Hs.112341	4.33	11.007
retinoic acid receptor responder (tazarotene induced) 2	1988108	Hs.37682	4.32	9.326
leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	3508771	Hs.77062	4.08	6.57
CMP-NeuAC:(beta)-N-acetylgalactosaminide (alpha)2,6-sialyltransferase member VI	2504517	Hs.109672	4.06	8.056
gap junction protein, beta 3, 31kDa (connexin 31)	613084	Hs.98485	3.8	4.837
ribonuclease, RNase A family, 1 (pancreatic)	3086929	Hs.78224	3.53	9.475
EGF-containing fibulin-like extracellular matrix protein 1	1798209	Hs.76224	3.48	7.884
nuclear receptor subfamily 4, group A, member 1	1958560	Hs.87224	3.39	4.812
family with sequence similarity 3, member C	1926135	Hs.29882	3.26	10.712
hypothetical protein MGC10724	1886965	Hs.5378	3.2	8.145
protein phosphatase 1, regulatory (inhibitor) subunit 12B	1998571	Hs.130760	3.13	12.333
quiescin Q6	1854220	Hs.77266	3.05	7.562
kallikrein 1, renal/pancreas/salivary	1327263	Hs.123107	3.01	6.032
plasminogen activator, tissue	1900031	Hs.274404	2.96	5.694
alpha-actinin-2-associated LIM protein	1924344	Hs.135281	2.95	9.318
kinesin family member 5C	1596268	Hs.408943	2.92	5.981
lumican	1228124	Hs.79914	2.87	6.301
cysteine-rich protein 1 (intestinal)	2121863	Hs.3192	2.87	8.647
tryptase, beta (tryptase II)	2188753		2.86	5.262
alpha-2-macroglobulin	1600726	Hs.74561	2.77	11.688
sodium channel, nonvoltage-gated 1, beta (Liddle syndrome)	2121687	Hs.37129	2.77	4.647
chondroitin sulfate proteoglycan 2 (versican)	1623237	Hs.81800	2.73	6.477
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1669647	Hs.237356	2.7	6.735
immunoglobulin heavy constant gamma 3 (G3m marker)	3553751		2.67	4.855
secreted frizzled-related protein 1	428236	Hs.7306	2.67	6.762
complement component 1, s subcomponent	1904751	Hs.169756	2.66	6.022
zinc finger protein 238	2555828	Hs.69997	2.65	5.071
complement component 1, r subcomponent	1664320	Hs.1279	2.62	7.788
immunoglobulin lambda joining 3	4950102	Hs.375599	2.56	5.874
Human DNA sequence from clone 742C19 on chromosome 22q12.3-13.1. Contains a pseudogene similar to Cytochrome C Oxidase Polypeptide VB and (parts of) up to four novel genes, two with homology to Phorbolin genes and one a novel Chro	1841459		2.51	6.043
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	224996	Hs.43505	2.5	6.927
fibromodulin	1999120	Hs.230	2.5	6.17
KIAA0703 gene product	2791383	Hs.6168	2.5	9.822
collagen, type IX, alpha 3	1622535	Hs.53563	2.49	6.02
mitogen-activated protein kinase 7	1659231	Hs.3080	2.49	6.341
calponin 1, basic, smooth muscle	2696735	Hs.21223	2.48	6.111
macrophage myristoylated alanine-rich C kinase substrate	2135733	Hs.75061	2.46	8.096
mucin 1, transmembrane	2957567	Hs.89603	2.44	7.896
vimentin	1522716		2.43	5.518
protein S (alpha)	2592991	Hs.64016	2.43	4.916
procollagen C-endopeptidase enhancer	1672920	Hs.202097	2.41	6.94
F lambda 8=Ig lambda-like gene/beta-glucuronidase exon 11 homolog {5 region} [human, fetal liver, mRNA Partial, 452 nt]	1682769	Hs.350074	2.4	5.49
syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1782172	Hs.1501	2.4	6.302
ribonuclease, RNase A family, 4	1858905	Hs.283749	2.38	11.505
nicotinamide N-methyltransferase	604856	Hs.76669	2.38	5.493
platelet-derived growth factor receptor, alpha polypeptide	1705274	Hs.74615	2.36	4.616
collagen, type VI, alpha 1	2062088	Hs.108885	2.36	7.929
collagen, type I, alpha 1	782235	Hs.172928	2.35	11.207
downregulated in ovarian cancer 1	1685173	Hs.15432	2.34	5.471
matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	1558081	Hs.111301	2.34	7.955
delta sleep inducing peptide, immunoreactor	2307314	Hs.75450	2.33	6.367
regulator of G-protein signalling 2, 24kDa	1218114	Hs.78944	2.33	9.339
nidogen (enactin)	2175008	Hs.348994	2.32	7.235
anterior gradient 2 homolog (Xenepus laevis)	1998428	Hs.91011	2.32	4.627
glutathione peroxidase 2 (gastrointestinal)	1475331	Hs.2704	2.31	5.664
peripheral myelin protein 22	587154	Hs.103724	2.31	6.12
transgelin	4049957	Hs.75777	2.31	5.636
angiogenin, ribonuclease, RNase A family, 5	2263493	Hs.332764	2.3	8.52
BTG family, member 3	637576	Hs.77311	2.3	11.356
macrophage myristoylated alanine-rich C kinase substrate	320332	Hs.75061	2.29	7.156
SEC24 related gene family, member D (S. cerevisiae)	1511120	Hs.19822	2.29	9.744
frizzled-related protein	1657792	Hs.153684	2.29	11.577
cyclin D2	1618422	Hs.75586	2.28	7.559
disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	1976279	Hs.81988	2.28	7.142
crystallin, alpha B	3016305	Hs.1940	2.28	6.071
midkine (neurite growth-promoting factor 2)	940845	Hs.82045	2.27	7.885
S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	1222317	Hs.81256	2.26	6.154
mitogen inducible 2	1466649	Hs.75260	2.23	7.149
caldesmon 1	1319608	Hs.325474	2.19	6.856
thrombospondin 1	2055534	Hs.87409	2.18	9.224
KIAA1324 protein	1808121	Hs.104696	2.17	8.885
immunoglobulin kappa constant	2996770	Hs.306357	2.16	6.522
left-right determination, factor B	1865634	Hs.25195	2.14	6.036
BTG family, member 2	1598617	Hs.75462	2.14	5.933
tumor necrosis factor receptor superfamily, member 6	2205246	Hs.82359	2.13	4.344
wingless-type MMTV integration site family, member 5B	2367733	Hs.306051	2.12	4.655
Incyte EST	1605140		2.12	7.727
gelsolin (amyloidosis, Finnish type)	238278	Hs.290070	2.11	7.17
defensin, alpha 4, corticostatin	174705	Hs.2582	2.1	9.338
transforming, acidic coiled-coil containing protein 1	1943595	Hs.173159	2.1	8.9
myosin, light polypeptide kinase	1720149	Hs.211582	2.1	6.679
immunoglobulin lambda joining 3	537100	Hs.375599	2.09	4.826
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1736734	Hs.237356	2.09	8.625
SPARC-like 1 (mast9, hevin)	3721788	Hs.75445	2.08	7.964
transmembrane 4 superfamily member tetraspan NET-6	1850531	Hs.284243	2.07	8.833
RNA binding motif, single stranded interacting protein 1	1686916	Hs.241567	2.06	5.707
pyruvate dehydrogenase phosphatase	1819282	Hs.22265	2.06	7.06
chloride intracellular channel 4	1381346	Hs.25035	2.06	6.303
