AFFY_ID	DESCR	Mean (Spheroids)	Mean (EGCG)	Change factor Spheroids (EGCG)	P value Spheroids (EGCG)
37456_at	lectin, galactoside-binding, soluble, 2 (galectin 2)	337.2	77.2	-3.37	0.00146
1462_s_at	polymerase (dna directed), delta 1, catalytic subunit 125kda	301.9	69.5	-3.34	0.00747
32320_at	annexin a13	915.2	222.1	-3.12	0.00374
34151_at	dkfzp586m1019 protein	401.1	111	-2.61	0.011
38087_s_at	s100 calcium binding protein a4 (calcium protein, calvasculin, metastasin, murine placental homolog)	2953	1105.3	-1.67	0.0015
40026_g_at	mitochondrial atp synthase regulatory component factor b	183.3	71.8	-1.55	0.00941
37897_s_at	trefoil factor 3 (intestinal)	526.1	206.9	-1.54	0.00869
41770_at	monoamine oxidase a	218.2	87.2	-1.5	0.01901
40856_at	serine (or cysteine) proteinase inhibitor, clade f (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	160.3	64.4	-1.49	0.04231
38860_at	phosphodiesterase 4c, camp-specific (phosphodiesterase e1 dunce homolog, drosophila)	132.4	53.4	-1.48	0.02427
40297_at	six transmembrane epithelial antigen of the prostate	244.7	102.7	-1.38	0.01119
37880_at	alanine-glyoxylate aminotransferase (oxalosis i; hyperoxaluria i; glycolicaciduria; serine-pyruvate aminotransferase)	123.7	52.9	-1.34	0.00414
163_at	dishevelled, dsh homolog 1 (drosophila)	145.9	63.9	-1.28	0.00385
41772_at	monoamine oxidase a	555.3	244.4	-1.27	0.01053
35726_at	s100 calcium binding protein a2	273.6	122.2	-1.24	0.02184
1333_f_at	breakpoint cluster region	115.5	51.8	-1.23	0.04485
39014_at	fc fragment of igg binding protein	185.9	83.8	-1.22	0.02378
41629_at	transmembrane 4 superfamily member 4	5826.6	2654.9	-1.19	0.00041
40729_s_at	cluster incl y14768:homo sapiens dna, cosmid clones tn62 and tn82 /cds=(10,744) /gb=y14768 /gi=3805800 /ug=hs.890 /len=896	125.2	57.6	-1.17	0.0359
37102_at	breast cancer metastasis-suppressor 1	181.9	84.8	-1.15	0.04095
1647_at	iq motif containing gtpase activating protein 2	317.4	148.8	-1.13	0.00136
35345_at	3-hydroxy-3-methylglutaryl-coenzyme a synthase 2 (mitochondrial)	182.7	855.9	-1.13	0.00011
41383_at	cluster incl aj001403:homo sapiens mnra for muc5ac protein (placental) /cds=(0,3245) /gb=aj001403 /gi=3334746 /ug=hs.103707 /len=3681	1254.5	590.5	-1.12	0.02907
32901_s_at	interferon-related developmental regulator 1	169.7	81.6	-1.08	0.00052
33843_g_at	hypothetical protein flj11560	216.7	106.7	-1.03	0.00372
38037_at	diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)	146.9	72.5	-1.03	0.018
2027_at	s100 calcium binding protein a2	599.7	298.9	-1.01	0.00659
36105_at	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	1263.2	631.2	-1	0.0005
38384_at	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	394.3	197	-1	0.00984
