Gene symbol	Gene name	Fold increase in signal intensity in serum-activated fibroblasts versus serum depleted fibroblasts (P < 0.001)
LOXL2	Lysyl oxidase-like 2	8.2
PLOD2	Procollagen-lysine, 2 oxoglutarate 5-dioxygenase	16
PLAUR	Plasminogen activator urokinase receptor	5.3
TAGLN	Transgelin	6.0
TPM2	Tropomysin 2 (beta)	4.6
MYL6	Myosin, light polypeptide 6, alkaline, smooth muscle	5.7
TFPI2	Tissue factor pathway inhibitor 2	4.8
SMAD3	Mothers against decapentaplegic homolog 3 (Drosophila)	4.0
CXCL12	Chemokine (C-X-C motif) ligand 12	4.5
TGFB1	TGF-?, induced	26.5
LTBP2	Latent TGF-? binding protein 2	30.2
COX2	Cyclo-oxygenase-2	16.4
CLIC4	Chloride intracellular channel 4	32
