Affymetrix Probeset	Symbol	Description
222150 s at	LOC54103
204882 at	ARHGAP25	Rho GTPase activating protein 25
213142 x at	LOC54103
212063 at	CD44	CD44 antigen (homing function and Indian blood group system)
209835 x at	CD44	CD44 antigen (homing function and Indian blood group system)
212014 x at	CD44	CD44 antigen (homing function and Indian blood group system)
208991 at	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)
205681 at	BCL2A1	BCL2-related protein A1
38149 at	ARHGAP25	Rho GTPase activating protein 25
204490 s at	CD44	CD44 antigen (homing function and Indian blood group system)
201502 s at	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells in-hibitor, alpha
205081 at	CRIP1	cysteine-rich protein 1 (intestinal)
204489 s at	CD44	CD44 antigen (homing function and Indian blood group system)
211862 x at	CFLAR	CASP8 and FADD-like apoptosis regulator
212288 at	FNBP1	formin binding protein 1
202295 s at	CTSH	cathepsin H
201471 s at	SQSTM1	sequestosome 1
200660 at	S100A11	S100 calcium binding protein A11 (calgizzarin)
211317 s at	CFLAR	CASP8 and FADD-like apoptosis regulator
204908 s at	BCL3	B-cell CLL/lymphoma 3
215346 at	CD40	CD40 antigen (TNF receptor superfamily member 5)
211675 s at	MDFIC	MyoD family inhibitor domain containing
208992 s at	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)
210563 x at	CFLAR	CASP8 and FADD-like apoptosis regulator
