Average Fold Decrease	Gene Symbol	Gene Title
-157.6	BARD1	BRCA1 associated RING domain 1
-111.4	FOXM1	forkhead box M1
-81.6	PLK4	polo-like kinase 4
-78.8	KNTC2	kinetochore associated 2
-66.3	SEPP1	selenoprotein P, plasma, 1
-32.0	CDC45L	CDC45 cell division cycle 45-like
-29.9	CDCA8	cell division cycle associated 8
-26.9	COL15A1	collagen, type XV, alpha 1
-26.9	TACC3	transforming, acidic coiled-coil containing protein 3
-26.0	KIF20A	kinesin family member 20A
-21.1	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1
-19.7	DCN	decorin
-17.1	HELLS	helicase, lymphoid-specific
-17.1	RAI3	retinoic acid induced 3
-17.1	RAMP	RA-regulated nuclear matrix-associated protein
-16.6	Pfs2	DNA replication complex GINS protein PSF2
-16.0	KCNK2	potassium channel, subfamily K, member 2
-15.5	LMOD1	leiomodin 1
-14.9	PRC1	protein regulator of cytokinesis 1
-14.9	BRRN1	barren homolog
-14.9	NUSAP1	nucleolar and spindle associated protein 1
-14.4	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog
-14.4	TOP2A	topoisomerase II alpha
-14.4	BIRC5	baculoviral IAP repeat-containing 5 (survivin)
-14.4	SHCBP1	likely ortholog of mouse Shc SH2-domain binding protein 1
-13.9	CDC25A	cell division cycle 25A
-13.9	FBXO5	F-box only protein 5
-13.9	HMGB2	high-mobility group box 2
-13.9	MCM5	MCM5 minichromosome maintenance deficient 5
-13.5	ASPM	asp (abnormal spindle)-like, microcephaly associated
-13.0	COL3A1	collagen, type III, alpha 1
-13.0	HCAP-G	chromosome condensation protein G
-13.0	TOPK	T-LAK cell-originated protein kinase
-12.6	PTN	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
-12.6	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
-12.6	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta
-12.6	CDC2	cell division cycle 2
-12.1	GTSE1	G-2 and S-phase expressed 1
-12.1	WDHD1	WD repeat and HMG-box DNA binding protein 1
-11.7	CENPE	centromere protein E
-11.7	MCM10	MCM10 minichromosome maintenance deficient 10
-10.9	IMPA2	inositol(myo)-1(or 4)-monophosphatase 2
-10.6	CCNE2	cyclin E2
-10.6	HMMR	hyaluronan-mediated motility receptor
-10.6	FBLN1	fibulin 1
-10.6	RASA4	RAS p21 protein activator 4
-10.6	TTK	TTK protein kinase
-10.2	C1R	complement component 1, r subcomponent
-10.2	EDNRA	endothelin receptor type A
-10.2	EDNRB	endothelin receptor type B
-10.2	MFAP4	microfibrillar-associated protein 4
-9.8	CRLF1	cytokine receptor-like factor 1
-9.8	PIPPIN	RNA-binding protein pippin
-9.5	BTN3A3	butyrophilin, subfamily 3, member A3
-9.5	DLG7	discs, large homolog 7
-9.5	KIF11	kinesin family member 11
-9.5	KIF4A	kinesin family member 4A
-9.5	TRO	trophinin
-9.2	BST1	bone marrow stromal cell antigen 1
-9.2	GPR161	G protein-coupled receptor 161
-9.2	KIF23	kinesin family member 23
-9.2	KLIP1	KSHV latent nuclear antigen interacting protein 1
-8.9	MPHOSPH9	M-phase phosphoprotein 9
-8.9	PMSCL1	polymyositis/scleroderma autoantigen 1
-8.9	C17	cytokine-like protein C17
-8.9	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase)
-7.7	RRM2	ribonucleotide reductase M2 polypeptide
-8.6	ARHGAP19	Rho GTPase activating protein 19
-8.6	CXCL12	chemokine (C-X-C motif) ligand 12
-8.6	FANCA	Fanconi anemia, complementation group A
-8.6	NR5A2	nuclear receptor subfamily 5, group A, member 2
-8.6	TMSNB	thymosin, beta, identified in neuroblastoma cells
-8.3	CDC6	CDC6 cell division cycle 6 homolog
-8.3	CENPF	centromere protein F
-8.3	PLXND1	plexin D1
-8.0	CDC20	CDC20 cell division cycle 20 homolog
-8.0	SIX1	sine oculis homeobox homolog 1
-8.0	ZFPM2	zinc finger protein, multitype 2
-7.7	PRG1	proteoglycan 1, secretory granule
-7.5	COL1A2	collagen, type I, alpha 2
-7.5	ELF4	E74-like factor 4
-7.5	FST	follistatin
-7.5	NEK2	NIMA (never in mitosis gene a)-related kinase 2
-7.5	POLE2	polymerase (DNA directed), epsilon 2
-7.5	CASP1	caspase 1, apoptosis-related cysteine protease
-7.2	FGL2	fibrinogen-like 2
-7.2	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
-7.2	PRRX2	paired related homeobox 2
-7.2	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1
-7.0	CDH6	cadherin 6, type 2, K-cadherin
-7.0	COL1A1	collagen, type I, alpha 1
-7.0	CUEDC1	CUE domain containing 1
-7.0	DZIP3	zinc finger DAZ interacting protein 3
-7.0	GMNN	geminin, DNA replication inhibitor
-7.0	LBH	likely ortholog of mouse limb-bud and heart gene
-7.0	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
-6.7	CDC25C	cell division cycle 25C
-6.7	PIR51	RAD51-interacting protein
-6.7	SV2A	synaptic vesicle glycoprotein 2A
-6.7	TYMS	thymidylate synthetase
-6.5	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
-6.5	CDKN3	cyclin-dependent kinase inhibitor 3
-6.5	CNN1	calponin 1, basic, smooth muscle
-6.5	FZD2	frizzled homolog 2 (Drosophila)
-6.5	LEPREL1	leprecan-like 1
-6.5	LRRN3	leucine rich repeat neuronal 3
-6.5	MCM6	MCM6 minichromosome maintenance deficient 6
-6.5	MTB	more than blood homolog
-6.5	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1
-6.5	RUFY2	RUN and FYVE domain containing 2
-6.3	CCNA2	cyclin A2
-6.3	DKK1	dickkopf homolog 1
-6.3	FLOT1	flotillin 1
-6.3	PIGN	phosphatidylinositol glycan, class N
-6.3	GNRH1	gonadotropin-releasing hormone 1
-6.1	CHAF1A	chromatin assembly factor 1
-6.1	GBP1	guanylate binding protein 1, interferon-inducible
-6.1	LCAT	lecithin-cholesterol acyltransferase
-6.1	MELK	maternal embryonic leucine zipper kinase
-6.1	NADSYN1	NAD synthetase 1
-6.1	RACGAP1	Rac GTPase activating protein 1
-6.1	TEK	TEK tyrosine kinase, endothelial
-6.1	CDCA3	cell division cycle associated 3
-5.9	AURKB	aurora kinase B
-5.9	COL14A1	collagen, type XIV, alpha 1
