Genes	Cytogenetic location	Average log2 ratio BfHLs	Average log2 ratio controls
CP	3q23-q25	-0.95154	-3.83016
IL6ST	5q11	-0.76103	-3.06365
PHGDH	1p12	0.006492	-1.66086
FANCD2	3p26	0.112089	-0.70743
S100A8	1q21	-2.25609	-4.26865
S100A9	1q21	-2.10548	-3.70796
ASNS	7q21.3	-0.14952	-1.01481
GALNT14	2p23.1	0.00933	-0.80297
KIF20A	5q31	0.264407	-0.58956
MARCO	2q12-q13	-0.1805	-1.53156
PTTG2	4p12	0.388895	-0.29774
SLC7A11	4q28-q32	-0.39306	-1.32889
IGFBP5	2q33-q36	-0.54312	-2.08523
MPHOSPH6	16q23.3	0.197516	-0.49254
MRPL15	8q11.2-q13	0.129507	-0.53319
HMG4L	20q11.22	0.270492	-0.51402
NANOS1	10q26.11	-0.05887	-0.87278
PTTG2	4p12	0.723252	-0.30023
