HGNC	EnsEMBL ID	Description	Fold Difference	P-value	Corrected p-value
FCRL1	ENSG00000163534	Fc receptor-like 1	32.1	2.30E-12	1.10E-05
FCRL1	ENSG00000167483	B-cell novel protein 1	21.7	3.70E-12	1.10E-05
PAX5	ENSG00000196092	Paired box protein Pax-5 (B-cell-specific transcription factor) (BSAP).	8.3	4.90E-12	2.20E-05
BCL11A	ENSG00000119866	B-cell lymphoma/leukemia 11A (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein) (EVI-9).	12	1.10E-11	1.10E-05
BACH2	ENSG00000112182	Transcription regulator protein BACH2 (BTB and CNC homolog 2).	10.4	6.20E-11	3.20E-05
MEF2C	ENSG00000081189	Myocyte-specific enhancer factor 2C.	5.6	8.60E-11	3.20E-05
GNG7	ENSG00000176533	Guanine nucleotide-binding protein G(I)/G(S)/G(O) gamma-7 subunit precursor.	6.2	1.90E-10	2.20E-05
FGFR1OP	ENSG00000112486	C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (LARC receptor) (GPR-CY4) (GPRCY4) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (CD196 antigen).	23.4	2.10E-10	2.20E-05
MOBKL2B	ENSG00000120162	Mps one binder kinase activator-like 2B (Mob1 homolog 2b) (Protein Mob3B).	11	2.20E-10	3.20E-05
FCER2	ENSG00000104921	Low affinity immunoglobulin epsilon Fc receptor (Lymphocyte IgE receptor) (Fc-epsilon-RII) (BLAST-2) (Immunoglobulin E-binding factor) (CD23 antigen) [Contains: Low affinity immunoglobulin epsilon Fc receptor membrane-bound form; Low affinity immunoglobul	14	2.30E-10	3.20E-05
MBD4	ENSG00000129071	Methyl-CpG-binding domain protein 4 (EC 3.2.2.-) (Methyl-CpG-binding protein MBD4) (Methyl-CpG-binding endonuclease 1) (Mismatch-specific DNA N-	1.9	7.50E-10	3.20E-05
KLHL14	ENSG00000197705	Kelch-like protein 14.	11.8	8.70E-10	6.50E-05
KIAA1370	ENSG00000047346	NA	2.1	9.30E-10	5.40E-05
CD37	ENSG00000104894	Leukocyte antigen CD37 (Tetraspanin-26) (Tspan-26).	3.2	1.00E-09	5.40E-05
UBTF	ENSG00000108312	Nucleolar transcription factor 1 (Upstream-binding factor 1) (UBF-1) (Autoantigen NOR-90).	1.8	1.10E-09	8.70E-05
FAM62B	ENSG00000117868	family with sequence similarity 62 (C2 domain containing) member B	1.9	1.20E-09	8.70E-05
SFPQ	ENSG00000116560	Splicing factor, proline-and glutamine-rich (Polypyrimidine tract-binding protein-associated splicing factor) (PTB-associated splicing factor) (PSF) (DNA-binding  p52/p100 complex, 100 kDa subunit) (100-kDa DNA-pairing protein) (hPOMp100).	2.1	1.60E-09	9.70E-05
MKL2	ENSG00000186260	MKL/myocardin-like protein 2 (Myocardin-related transcription factor B) (MRTF-B) (Megakaryoblastic leukemia 2).	2.6	1.60E-09	6.50E-05
MS4A1	ENSG00000156738	B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Leu-16) (Bp35).	5.5	1.70E-09	3.20E-05
ANP32B	ENSG00000136938	Acidic leucine-rich nuclear phosphoprotein 32 family member B (PHAPI2 protein) (Silver-stainable protein SSP29) (Acidic protein rich in leucines).	1.6	2.00E-09	4.30E-05
CD79A	ENSG00000105369	B-cell antigen receptor complex-associated protein alpha-chain precursor (Ig-alpha) (MB-1 membrane glycoprotein) (Surface IgM-associated protein) (Membrane-bound immunoglobulin-associated protein) (CD79a antigen).	12.4	2.20E-09	3.20E-05
CD22	ENSG00000012124	B-cell receptor CD22 precursor (Leu-14) (B-lymphocyte cell adhesion molecule) (BL-CAM) (Siglec-2).	15	2.40E-09	3.20E-05
PPP1CC	ENSG00000186298	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (EC 3.1.3.16) (PP-1G) (Protein phosphatase 1C catalytic subunit).	1.6	3.10E-09	9.70E-05
OXCT1	ENSG00000083720	Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial precursor (EC 2.8.3.5) (Somatic-type succinyl CoA:3-oxoacid CoA-transferase) (Scot-S).	1.6	3.30E-09	9.70E-05
PPAPDC1B	ENSG00000147535	HTPAP protein	2	3.90E-09	9.70E-05
CHMP7	ENSG00000147457	Protein CHMP7.	2.5	4.60E-09	6.50E-05
EEF2	ENSG00000167658	Elongation factor 2 (EF-2).	1.7	4.90E-09	9.70E-05
ALS2CR13	ENSG00000138439	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 13	4.3	6.00E-09	9.70E-05
SNORD50B	ENSG00000201865	U50 small nucleolar RNA	2.7	6.30E-09	1.50E-04
RABEP2	ENSG00000177548	Rab GTPase-binding effector protein 2 (Rabaptin-5beta).	2.6	6.40E-09	1.20E-04
SYTL1	ENSG00000142765	Synaptotagmin-like protein 1 (Exophilin-7) (JFC1 protein) (SB146).	3.9	7.10E-09	8.70E-05
C1orf109	ENSG00000116922	NA	1.6	7.40E-09	8.70E-05
FBL	ENSG00000105202	Fibrillarin (34 kDa nucleolar scleroderma antigen).	2.2	8.00E-09	1.60E-04
RBM6	ENSG00000004534	RNA-binding protein 6 (RNA-binding motif protein 6) (RNA-binding protein DEF-3) (Lung cancer antigen NY-LU-12) (Protein G16).	1.6	8.10E-09	1.60E-04
ZNF395	ENSG00000186918	F-box only protein 16.	6.4	8.30E-09	1.80E-04
HOOK1	ENSG00000134709	Hook homolog 1 (h-hook1) (hHK1).	4.1	9.50E-09	1.30E-04
PNN	ENSG00000100941	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Domain-rich serine protein) (DRS-protein) (DRSP) (Melanoma metastasis clone A protein) (Desmosome-associated protein) (SR-like protein) (Nuclear protein SDK3).	1.9	9.60E-09	1.80E-04
SMARCE1	ENSG00000073584	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57).	1.4	9.70E-09	2.50E-04
ATP2A3	ENSG00000074370	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (EC 3.6.3.8) (Calcium pump 3) (SERCA3) (SR Ca(2+)-ATPase 3).	2.4	9.70E-09	1.60E-04
ABLIM1	ENSG00000099204	Actin-binding LIM protein 1 (Actin-binding LIM protein family member 1) (abLIM-1) (Actin-binding double-zinc-finger protein) (LIMAB1) (Limatin).	3.2	1.00E-08	1.10E-04
UBE2D2	ENSG00000131508	ubiquitin-conjugating enzyme E2D 2 isoform 2	1.4	1.00E-08	2.50E-04
C7orf30	ENSG00000156928	NA	1.3	1.10E-08	9.70E-05
TBL1X	ENSG00000101849	F-box-like/WD repeat protein TBL1X (Transducin beta-like 1X protein) (Transducin-beta-like 1, X-linked) (SMAP55).	2.3	1.10E-08	1.50E-04
CRLF3	ENSG00000176390	cytokine receptor-like factor 3	1.6	1.10E-08	2.90E-04
CRLF3	ENSG00000187904	NA	2.6	1.30E-08	9.70E-05
OFD1	ENSG00000046651	Oral-facial-digital syndrome 1 protein (Protein 71-7A).	2.5	1.30E-08	9.70E-05
SLTM	ENSG00000137776	modulator of estrogen induced transcription isoform c	1.5	1.60E-08	2.70E-04
RNF44	ENSG00000146083	ring finger protein 44	1.6	1.60E-08	1.60E-04
RNPC1	ENSG00000132819	RNA-binding region-containing protein 1 (HSRNASEB) (ssDNA binding protein SEB4) (CLL-associated antigen KW-5).	2.1	1.60E-08	4.00E-04
