Case no.	P1	P2	Up/down	Unigene ID	Symbol	Definition
1	0.0016	0.0118	Down	Hs.1579	TRIM25	Human mRNA for estrogen responsive finger protein, complete cds
2	0.0046	0.0499	Up	Hs.211539	EIF2S3	ESTs, weakly similar to I38022 hypothetical protein (Homo sapiens)
3	0.0049	0.008	Down	Hs.54403	CLECSF14	Human mRNA for macrophage lectin 2, complete cds
4	0.0068	0.0497	Down	Hs.21595	DXYS155E	Human lymphocyte surface protein exons 1–5, complete cds
5	0.0076	0.0183	Up	Hs.303157		T-cell receptor beta locus
6	0.0081	0.0035	Up		GIF2H2	Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes, complete cds
7	0.0104	0.0025	Up	Hs.306919	SPON2	Human cDNA: FLJ22401 fis, clone HRC08032, highly similar to AB027466 human SPON2 mRNA for spondin 2
8	0.0115	0.0256	Up	Hs.355927	VDAC2	ESTs, moderately similar to A45972 mitochondrial porin, long form (Homo sapiens)
9	0.012	0.049	Up	Hs.237856	SLC15A3	Human mRNA for peptide transporter 3, complete cds
10	0.013	0.0089	Up	Hs.10882	HBP1	HMG-box containing protein 1
11	0.0145	0.0006	Up	Hs.170121	PTPRC	Protein tyrosine phosphatase, receptor type, C
12	0.0177	0.0028	Up		FES	Human c-fes/fps proto-oncogene
13	0.0179	0.0274	Up	Hs.155174	CDC5L	CDC5 (cell division cycle 5, S. pombe, homolog)-like
14	0.0191	0.0271	Up	Hs.83968	ITGB2	Human, integrin, beta 2 (antigen CD18 [p95], lymphocyte function-associated antigen 1; macrophage antigen 1 [mac-1] beta subunit), clone MGC:3628 IMAGE:3532902, mRNA, complete cds
15	0.0191	0.0015	Up	Hs.1861	MPP1	Human palmitoylated erythrocyte membrane protein (MPP1) mRNA, complete cds
16	0.0204	0.0383	Up	Hs.163867	NDUFA2	NADH dehydrogenase (ubiquinone) 1 a subcomplex, 2 (8 kDa, B8)
17	0.0209	0.0142	Up	Hs.4113	AHCYL1	S-Adenosylhomocysteine hydrolase-like 1
18	0.0216	0.0214	Down	Hs.179600	CNP	Human, 2,3-cyclic nucleotide 3 phosphodiesterase, clone MGC:2262 IMAGE:3051112, mRNA, complete cds
19	0.0228	0.0386	Up	Hs.71465	SQLE	Squalene epoxidase
20	0.0322	0.0021	Up	Hs.1608	RPA3	Replication protein A3 (14 kDa)
21	0.0325	0.0363	Up	Hs.227751	LGALS1	Human, lectin, galactoside-binding, soluble, 1 (galectin 1), clone MGC:1818 IMAGE:2967299, mRNA, complete cds
22	0.0348	0.0072	Up	Hs.198253	HLA-DQA1	Human mRNA for DCclass II histocompatibility antigen a chain
23	0.0349	0.0005	Up	Hs.250811	STMN1	Stathmin 1/oncoprotein 18
24	0.0358	0.0324	Down	Hs.202097	PCOLCE	Human mRNA for type 1 procollagen C-protease enhancer protein, complete cds
25	0.0395	0.0063	Up	Hs.13273	LOC387680	KIAA0592 protein
26	0.0411	0.0232	Up		DPT	Human mRNA; cDNA DKFZp586D2322 (from clone DKFZp586D2322)
27	0.0421	0.0401	Up	Hs.348733	SLK	Homo sapiens CTCL tumor antigen se20-9 mRNA, complete cds
28	0.044	0.0014	Up	Hs.3631	IGBP1	Immunoglobulin (CD79A) binding protein 1
29	0.0445	0.0044	Up	Hs.77496	SNRPG	Small nuclear ribonucleoprotein polypeptide G
30	0.0456	0.0298	Down			Human alpha1-antitrypsin gene (S variant), complete cds
31	0.0456	0.0333	Up	Hs.74562	SIAHBP1	Siah binding protein 1; FBP interacting repressor; pyrimidine tract binding splicing factor; Ro ribonucleoprotein-binding protein 1
32	0.0461	0.0169	Up	Hs.172613	SLC12A7	Solute carrier family 12 (potassium/chloride transporters), member 7
33	0.0475	0.0393	Up	Hs.76507	LITAF	Human LPS-induced TNF-a factor (LITAF) mRNA, complete cds
34	0.0488	0.0089	Down	Hs.1361	CYP1A2	Human cytochrome P3 450 mRNA, complete cds
35	0.0489	0.0319	Up	Hs.15154	SRPX	Sushi-repeat-containing protein, X chromosome
36	0.0493	0.0009	Up	Hs.153837	MNDA	Human myeloid cell nuclear differentiation antigen mRNA, complete cds
