Category	Symbol	Gene description	Corrrelation	Unigene
Transcription	Satb1	Special AT-rich sequence binding protein 1	0.955	Mm.4381
Membrane Association	Ptpro	Protein tyrosine phosphatase, receptor type, O	0.999	Mm.4715
Membrane Association	Sell	Selectin, lymphocyte	0.988	Mm.1461
Signal Transduction	Ccl9	Chemokine (C-C motif) ligand 9	0.988	Mm.2271
Protein Binding	Cnn3	Calponin 3, acidic	0.988	Mm.22171
Protein Binding	Lgals3	Lectin, galactose binding, soluble 3	0.971	Mm.2970
Cell Growth	Mki67	Antigen identified by monoclonal antibody Ki 67	0.998	Mm.4078
Cell Growth	Bin1	Bridging integrator 1	0.977	Mm.4383
Catalytic Activity	Sult4a1	Sulfotransferase family 4A, member 1	1	Mm.20451
Catalytic Activity	Hdc	Histidine decarboxylase0.996Mm	0.996	Mm.18603
