Probeset	V3 CR Gene Symbol	Univariate P Value	Unique GS Best P value	Significant ?0.05?	Found in Chung	ID_REF	Univariate P Value	Unique GS Best P value	Significant ?0.05?
230735_at	IFNAR2	0.0075	0.0075	yes	IFNAR2	9351	0.024	0.024	yes
206693_at	IL7	0.0075	0.0075	yes	IL7	14187	0.79	0.79	no
207339_s_at	LTB	0.013	0.013	yes	LTB	1201	0.037	0.037	yes
207536_s_at	TNFRSF9	0.016	0.016	yes	TNFRSF9	640	0.16	0.16	no
207085_x_at	CSF2RA	0.017	0.017	yes	CSF2RA	12772	0.01	0.01	yes
204116_at	IL2RG	0.017	0.017	yes					no
204606_at	CCL21	0.023	0.023	yes	CCL21	1294	0.84	0.84	no
221658_s_at	IL21R	0.025	0.025	yes					no
205159_at	CSF2RB	0.026	0.026	yes	CSF2RB	5785	0.0028	0.0028	yes
205291_at	IL2RB	0.038	0.038	yes	IL2RB	3236	0.71	0.71	no
204864_s_at	IL6ST	0.045	0.045	yes	IL6ST	8109	0.058	0.058	no
206150_at	TNFRSF7	0.047	0.047	yes					no
204933_s_at	TNFRSF11B	0.048	0.048	yes	TNFRSF11B	2121	0.071	0.071	no
206341_at	IL2RA	0.053	0.053	no	IL2RA	855	0.062	0.062	no
210072_at	CCL19	0.056	0.056	no	CCL19	2953	0.92	0.92	no
206978_at	CCR2	0.059	0.059	no	CCR2	9202	0.5	0.5	no
206126_at	BLR1	0.06	0.06	no					no
206983_at	CCR6	0.082	0.082	no	CCR6	3742	0.13	0.13	no
205798_at	IL7R	0.098	0.098	no	IL7R	11275	0.00087	0.00087	yes
203915_at	CXCL9	0.12	0.12	no	CXCL9	5251	0.12	0.12	no
206991_s_at	CCR5	0.13	0.13	no	CCR5	5254	0.1	0.1	no
206337_at	CCR7	0.13	0.13	no	CCR7	11276	0.46	0.46	no
241819_at	TNFSF8	0.13	0.13	no					no
205898_at	CX3CR1	0.14	0.14	no	CX3CR1	8728	0.46	0.46	no
204912_at	IL10RA	0.15	0.15	no	IL10RA	1376	0.76	0.76	no
227771_at	LIFR	0.16	0.16	no	LIFR	3346	0.05	0.05	yes
205242_at	CXCL13	0.17	0.17	no	CXCL13	5603	0.39	0.39	no
207426_s_at	TNFSF4	0.17	0.17	no	TNFSF4	3652	0.04	0.04	yes
206641_at	TNFRSF17	0.19	0.19	no	TNFRSF17	12854	0.11	0.11	no
209201_x_at	CXCR4	0.28	0.28	no	CXCR4	1181	0.89	0.89	no
210643_at	TNFSF11	0.29	0.29	no	TNFSF11	5818	0.099	0.099	no
1555759_a_at	CCL5	0.36	0.36	no	CCL5	13448	0.041	0.041	yes
223501_at	TNFSF13B	0.37	0.37	no					no
209687_at	CXCL12	0.66	0.66	no	CXCL12	4539	0.014	0.014	yes
