FC	p value	Gene Name	Gene Symbol
1.881	0	olfactory receptor, family 2, subfamily A, member 7	OR2A7
1.872	0.005	paternally expressed transcript PAR-SN	PAR-SN
1.591	0	tubulin tyrosine ligase-like family, member 7	TTLL7
1.579	0.005	CTAGE family, member 4	CTAGE4
1.528	0.002	chromosome 7 open reading frame 41	C7orf41
1.524	0.002	alcohol dehydrogenase, iron containing, 1	ADHFE1
1.498	0.004	family with sequence similarity 86, member A pseudogene	hCG_1990547
1.491	0.003	dpy-19-like 2 pseudogene 1 (C. elegans)	DPY19L2P1
1.464	0.009	Ef-hand calcium binding domain 2	EFCAB2
1.439	0.007	RUN domain containing 2C	RUNDC2C
1.439	0.004	zinc finger, DBF-type containing 2	ZDBF2
1.432	0.004	multiple PDZ domain protein	MPDZ
1.422	0.005	spectrin repeat containing, nuclear envelope 1	SYNE1
1.421	0.008	syntaxin binding protein 4	STXBP4
1.419	0.005	thyroid hormone receptor, beta	THRB
1.418	0.004	G protein-coupled receptor 125	GPR125
1.376	0	SRY (sex determining region Y)-box 5	SOX5
1.353	0.003	Abelson helper integration site 1	AHI1
1.352	0.005	solute carrier family 26, member 5 (prestin)	SLC26A5
1.351	0.007	GLI-Kruppel family member HKR1	HKR1
1.334	0.004	InaD-like (Drosophila)	INADL
1.332	0.009	KIAA1328	KIAA1328
1.324	0.003	CDC42 binding protein kinase alpha (DMPK-like)	CDC42BPA
1.315	0.005	destrin (actin depolymerizing factor)	DSTN
1.312	0.004	WD repeat domain 27	WDR27
1.312	0.006	hypothetical LOC349196	LOC349196
1.311	0.007	CMT1A duplicated region transcript 4	CDRT4
1.311	0.005	furry homolog (Drosophila)	FRY
1.307	0.009	BMS1 pseudogene 4	BMS1P4
1.297	0.001	zinc finger protein 507	ZNF507
1.275	0.008	oral-facial-digital syndrome 1	OFD1
1.267	0.002	kelch-like 23 (Drosophila)	KLHL23
1.263	0.008	zinc finger protein 608	ZNF608
1.263	0.008	golgi autoantigen, golgin subfamily a, 2-like 1	GOLGA2L1
1.261	0.006	chromosome 6 open reading frame 124	C6orf124
1.255	0.003	cubilin (intrinsic factor-cobalamin receptor)	CUBN
1.255	0.001	protein kinase, AMP-activated, beta 2 non-catalytic subunit	PRKAB2
1.249	0.003	bone morphogenetic protein receptor, type 1A	BMPR1A
1.239	0.007	zinc finger protein 285A	ZNF285A
1.235	0.005	olfactory receptor, family 7, subfamily E, member 13 pseudogene	OR7E13P
1.234	0.009	chromosome X open reading frame 42	CXorf42
1.23	0.009	olfactory receptor, family 51, subfamily I, member 2	OR51I2
1.213	0.001	melanoma antigen family A, 5	MAGEA5
1.21	0.01	inhibitor of growth family, member 5	ING5
1.209	0.007	olfactory receptor, family 2, subfamily C, member 1	OR2C1
1.206	0.009	zinc finger protein 512	ZNF512
1.202	0.008	zinc finger protein 250	ZNF250
1.186	0.006	Sec61 alpha 2 subunit (S. cerevisiae)	SEC61A2
1.18	0.01	family with sequence similarity 27-like	FAM27L
1.178	0.006	chromodomain helicase DNA binding protein 6	CHD6
1.176	0.008	chromosome 2 open reading frame 14	C2orf14
