Gene description	Gene symbol	Image ID	Hazard ratio	Lower 95% CIa	Upper 95% CI	P	Expression level
v-Ras neuroblastoma RAS oncogene homologue	NRAS	272189	5.4	2.1	13.8	0.0002	-1.6 +/- 1.3
Protein phosphatase 2, regulatory subunit A	PPP2R1A	770027	3.6	1.8	7.1	0.0003	1.5 +/- 1.4
Mitogen-activated protein kinase 6	MAPK6	117238	3.4	1.7	7	0.0006	1.2 +/- 1.7
O6-methylguanine-DNA methyltransferase	MGMT	114760	4.1	1.6	10.5	0.001	1.0 +/- 1.3
N-Ethylmaleimide-sensitive factor	NSF	48794	5.4	1.7	16.9	0.002	1.3 +/- 1.5
Cytochrome P450, subfamily IVB, polypeptide 1	CYP4B1	724888	3.6	1.5	8.4	0.002	1.4 +/- 1.5
Interleukin 13 receptor, alpha 2	IL13RA2	41648	3.5	1.5	8.3	0.002	1.2 +/- 1.4
Ras homologue enriched in brain 2	RHEB2	380852	3.2	1.5	6.5	0.002	-1.2 +/- 1.7
Death-associated protein 6	DAXX	214957	4.1	1.5	11.4	0.004	-1.1 +/- 1.3
Acetaldehyde dehydrogenase 1	ALDH1A1	840887	4	1.4	12	0.004	1.2 +/- 1.3
Chemokine (C-X-C motif) ligand 3	CXCL3	1556433	3.6	1.5	8.7	0.004	1.3 +/- 1.4
Myeloproliferative leukemia virus oncogene	MPL	2340423	3	1.4	6.3	0.004	1.0 +/- 1.3
Minichromosome maintenance-deficient 5	MCM5	112115	2.7	1.3	5.6	0.004	-1.7 +/- 1.3
LIM homeobox protein 1	LHX1	773263	4.5	1.4	14.3	0.005	1.1 +/- 1.4
v-akt murine thymoma viral oncogene homologue 2	AKT2	340655	3.2	1.4	7.5	0.005	-1.1 +/- 1.3
Proteasome subunit beta type 1	PSMB1	487241	3.6	1.4	9	0.005	1.0 +/- 1.5
Serine/threonine kinase 15	STK15	843097	2.6	1	6.8	0.005	-1.3 +/- 1.5
Aldehyde oxidase 1	AOX1	114043	3.9	1.5	10.6	0.007	1.2 +/- 3.2
Catenin (cadherin-associated protein), delta 1	CTNND1	109331	2.9	1.3	6.1	0.007	1.2 +/- 1.4
