Gene	Description
USMG5	Upregulated during skeletal muscle growth 5 homolog (mouse)
URG4	Up-regulated gene 4
ATP5L	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G
MGST3	Microsomal glutathione S-transferase 3
SIN3B	SIN3 homolog B, transcription regulator (yeast)
GPR27	G protein-coupled receptor 27
LOC152217	Hypothetical protein BC007882
KIF1A	Kinesin family member 1A
C14orf2	Chromosome 14 open reading frame 2
RPS23	Ribosomal protein S23
KIAA0644	KIAA0644 gene product
C12orf34	Chromosome 12 open reading frame 34
CASP4	Caspase 4, apoptosis-related cysteine peptidase
BCAS3	Breast carcinoma amplified sequence 3
CYC1	Cytochrome c-1
C19orf56	Chromosome 19 open reading frame 56
MBP	Myelin basic protein
MGC16121	Hypothetical protein MGC16121
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)
RPS6KB2	Ribosomal protein S6 kinase, 70kDa, polypeptide 2
TMEM54	Transmembrane protein 54
APBA3	Amyloid beta (A4) precursor protein-binding, family A, member 3 (X11-like 2)
C2orf24	Chromosome 2 open reading frame 24
TMEM18	Transmembrane protein 18
PEG10	Paternally expressed 10
AP2S1	Adaptor-related protein complex 2, sigma 1 subunit
SERF2	Small EDRK-rich factor 2
FBLN1	Fibulin 1
HSH2D	Hematopoietic SH2 domain containing
ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
FOXB1	Forkhead box B1
HINT1	Histidine triad nucleotide binding protein 1
LY6G6C	Lymphocyte antigen 6 complex, locus G6C
CHCHD6	Coiled-coil-helix-coiled-coil-helix domain containing 6
